WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,RelativeHumidity,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,WindSpeed,MeanSeaLevelPressure,StationPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-31-2019,04:00:00,22.5,84,25.5,8.00,0.80,000,0.0,1005.28,974.37,27.29
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-31-2019,04:00:00,17.6,99,17.8,7.00,1.50,300,14.8,1004.64,843.26,20.15
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.60,07-31-2019,04:00:00,23.2,93,24.4,10.00,12.80,000,0.0,1003.67,960.02,28.45
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.60,07-31-2019,04:00:00,23.0,96,23.6,10.00,11.20,000,0.0,1003.67,958.00,28.09
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,15.80,07-31-2019,04:00:00,23.0,100,23.0,4.00,37.00,000,0.0,1003.96,966.11,28.07
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.10,07-31-2019,04:00:00,23.4,97,23.8,10.00,8.80,120,5.6,1003.97,958.76,28.69
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,21.40,07-31-2019,04:00:00,22.7,97,23.2,5.00,42.90,000,0.0,1004.19,977.29,27.66
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.60,07-31-2019,04:00:00,22.6,92,23.9,10.00,0.60,000,0.0,1004.99,983.10,27.34
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-31-2019,04:00:00,22.4,89,24.3,5.00,0.40,000,0.0,1007.24,982.98,27.01
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.50,07-31-2019,04:00:00,23.5,92,25.0,10.00,4.70,000,0.0,1004.93,970.38,29.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.80,07-31-2019,04:00:00,23.8,93,25.0,10.00,1.90,000,0.0,1004.70,977.12,29.52
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.20,07-31-2019,04:00:00,23.2,91,24.8,10.00,3.00,000,0.0,1004.76,971.13,28.38
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.20,07-31-2019,04:00:00,24.3,96,25.0,10.00,10.80,240,1.9,1004.25,985.71,30.32
48331,NAN,น่าน,น่าน,18.77972,100.77778,8.20,07-31-2019,04:00:00,23.3,98,23.6,5.00,35.00,000,0.0,1003.98,981.01,28.60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,6.50,07-31-2019,04:00:00,23.8,96,24.5,5.00,35.40,000,0.0,1005.88,975.85,29.41
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.20,07-31-2019,04:00:00,24.3,96,25.0,4.00,0.40,000,0.0,1004.67,969.11,30.32
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.40,07-31-2019,04:00:00,23.0,94,24.0,6.00,4.20,000,0.0,1003.36,973.53,28.01
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,2.20,07-31-2019,04:00:00,23.5,92,25.0,6.00,7.30,000,0.0,1005.48,998.14,29.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-31-2019,04:00:00,23.9,92,25.4,10.00,20.60,260,7.4,1003.16,983.25,29.72
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.50,07-31-2019,04:00:00,24.3,97,24.9,10.00,33.90,170,5.6,1003.89,983.65,30.40
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-31-2019,04:00:00,24.2,93,25.5,10.00,1.30,000,0.0,1003.16,981.43,30.17
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-31-2019,04:00:00,24.2,92,25.7,10.00,3.10,320,3.7,1002.57,983.10,30.28
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.20,07-31-2019,04:00:00,24.3,96,25.0,10.00,2.10,310,3.7,1003.66,986.87,30.32
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-31-2019,04:00:00,24.2,93,25.4,10.00,4.50,000,0.0,1003.51,986.08,30.25
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.60,07-31-2019,04:00:00,24.9,99,25.1,7.00,12.80,290,11.1,1004.26,978.41,31.58
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-31-2019,04:00:00,23.3,80,27.0,10.00,0.00,000,0.0,1004.86,999.08,28.67
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-31-2019,04:00:00,23.3,80,27.0,10.00,0.00,000,0.0,1004.02,997.85,28.67
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,2.20,07-31-2019,04:00:00,22.6,89,24.5,7.00,4.00,000,0.0,1004.65,988.11,27.35
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-31-2019,04:00:00,22.5,93,23.7,10.00,6.80,000,0.0,1005.20,982.68,27.25
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-31-2019,04:00:00,21.5,70,27.5,10.00,0.00,280,13.0,1005.51,991.18,25.65
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-31-2019,04:00:00,21.0,70,27.0,7.00,0.00,120,14.8,1003.77,987.44,24.79
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.10,07-31-2019,04:00:00,24.3,94,25.3,10.00,2.40,000,0.0,1005.01,999.76,30.34
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,2.20,07-31-2019,04:00:00,23.5,92,25.0,10.00,2.20,000,0.0,1003.61,990.37,29.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-31-2019,04:00:00,21.3,70,27.3,10.00,0.00,000,0.0,1004.36,995.07,25.31
