WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,AirTemperature,LandVisibility,RelativeHumidity,StationPressure,Rainfall24Hr,DewPoint,MinimumTemperature,WindDirection,Rainfall,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-31-2019,07:00:00,28.29,24.6,5.00,92,975.24,4.00,23.1,22.5,000,3.20,1006.28
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,07-31-2019,07:00:00,20.02,17.7,7.00,99,843.46,8.50,17.5,17.6,300,7.00,1004.94
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.9,07-31-2019,07:00:00,29.16,24.8,10.00,93,960.38,16.30,23.6,24.2,100,3.50,1003.99
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-31-2019,07:00:00,28.53,24.0,15.00,96,958.41,16.20,23.3,23.4,000,5.00,1004.04
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-31-2019,07:00:00,28.07,23.0,8.00,100,966.87,28.10,23.0,22.7,000,5.10,1004.75
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,07-31-2019,07:00:00,28.09,23.6,10.00,96,959.49,27.10,23.0,23.2,000,18.30,1004.76
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,07-31-2019,07:00:00,28.00,23.4,4.00,97,977.87,101.30,22.9,23.0,020,68.60,1004.77
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,07-31-2019,07:00:00,28.27,24.0,12.00,95,983.53,0.80,23.1,23.6,000,0.20,1005.42
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-31-2019,07:00:00,28.11,24.5,7.00,91,982.88,0.40,23.0,23.0,000,0.00,1007.12
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-31-2019,07:00:00,29.25,24.7,10.00,94,970.77,12.80,23.7,24.5,000,8.10,1005.38
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-31-2019,07:00:00,29.41,24.5,8.00,96,978.03,2.80,23.8,24.0,000,0.90,1005.68
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-31-2019,07:00:00,28.79,24.3,6.00,95,971.72,6.40,23.4,24.1,000,3.40,1005.43
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,07-31-2019,07:00:00,29.69,24.8,3.00,95,985.99,13.20,23.9,24.6,000,2.40,1004.56
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-31-2019,07:00:00,28.77,23.7,5.00,98,981.43,52.20,23.4,23.4,000,17.70,1004.39
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-31-2019,07:00:00,27.41,23.2,5.00,96,974.14,68.70,22.6,23.0,000,35.50,1004.25
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-31-2019,07:00:00,27.50,23.7,4.00,94,969.81,1.40,22.7,23.7,000,1.00,1005.54
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,07-31-2019,07:00:00,28.61,23.9,12.00,97,974.06,6.10,23.3,23.5,000,1.90,1003.92
