WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,AirTemperature,DewPoint,WindSpeed,StationPressure,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,WindDirection,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,83,07-31-2019,10:00:00,0.30,27.3,24.1,0.0,975.89,4.30,10.00,1006.67,000,30.04
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,07-31-2019,10:00:00,0.00,18.2,18.0,14.8,844.41,8.50,7.00,1005.78,270,20.67
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,82,07-31-2019,10:00:00,0.00,28.2,24.8,11.1,961.42,16.30,10.00,1004.57,130,31.23
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,81,07-31-2019,10:00:00,0.00,27.5,24.0,0.0,959.50,16.20,15.00,1004.64,000,29.88
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,97,07-31-2019,10:00:00,25.50,24.8,24.4,0.0,968.14,53.60,12.00,1005.84,000,30.48
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,97,07-31-2019,10:00:00,3.00,24.0,23.4,5.6,960.54,30.10,8.00,1005.80,140,28.78
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,97,07-31-2019,10:00:00,27.00,24.3,23.9,0.0,979.47,122.60,6.00,1006.34,000,29.57
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,80,07-31-2019,10:00:00,0.00,26.7,23.0,0.0,984.49,0.80,10.00,1006.20,000,28.13
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,81,07-31-2019,10:00:00,0.00,27.0,23.5,0.0,983.47,0.40,8.00,1007.53,000,28.94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,90,07-31-2019,10:00:00,0.40,25.1,23.3,0.0,972.12,13.20,10.00,1006.72,000,28.66
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,91,07-31-2019,10:00:00,1.60,25.1,23.5,0.0,979.12,4.40,8.00,1006.75,000,28.92
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,88,07-31-2019,10:00:00,1.30,25.5,23.3,0.0,972.80,7.70,8.00,1006.40,000,28.59
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,92,07-31-2019,10:00:00,2.50,26.0,24.6,3.7,987.58,15.70,3.00,1006.10,260,30.84
48331,NAN,น่าน,น่าน,18.77972,100.77778,97,07-31-2019,10:00:00,9.80,24.2,23.6,0.0,982.89,57.70,6.00,1005.85,000,29.13
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,97,07-31-2019,10:00:00,14.00,23.8,23.4,0.0,975.63,78.00,6.00,1005.73,000,28.69
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,87,07-31-2019,10:00:00,1.00,25.4,23.0,0.0,970.75,2.40,6.00,1006.32,000,28.15
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,86,07-31-2019,10:00:00,0.00,27.4,24.8,3.7,974.70,5.40,14.00,1004.23,140,31.33
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,86,07-31-2019,10:00:00,0.01,26.5,23.9,0.0,998.48,8.30,7.00,1005.79,000,29.62
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,77,07-31-2019,10:00:00,0.00,28.8,24.3,7.4,984.63,0.60,15.00,1004.34,260,30.46
48353,LOEI,เลย,เลย,17.45000,101.73333,77,07-31-2019,10:00:00,0.00,27.6,23.2,3.7,976.31,7.70,13.00,1004.81,130,28.45
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,81,07-31-2019,10:00:00,0.00,28.0,24.4,9.3,984.81,27.80,15.00,1004.85,250,30.56
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,74,07-31-2019,10:00:00,0.00,29.3,24.3,7.4,983.07,0.90,12.00,1004.57,280,30.32
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,75,07-31-2019,10:00:00,0.00,28.9,24.0,5.6,984.95,2.80,15.00,1004.25,300,29.82
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,81,07-31-2019,10:00:00,0.00,28.1,24.5,5.6,988.05,0.90,12.00,1004.69,290,30.75
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,85,07-31-2019,10:00:00,0.20,27.8,25.1,0.0,987.56,2.60,12.00,1004.87,000,31.84
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,85,07-31-2019,10:00:00,0.01,27.9,25.2,5.6,978.43,13.90,15.00,1004.04,260,32.03
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,76,07-31-2019,10:00:00,0.00,29.8,25.1,0.0,1000.44,0.00,10.00,1006.17,000,31.89
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,73,07-31-2019,10:00:00,0.00,29.5,24.2,0.0,999.57,0.00,10.00,1005.71,000,30.16
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,81,07-31-2019,10:00:00,0.20,27.2,23.6,0.0,990.31,4.50,8.00,1006.72,000,29.04
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,84,07-31-2019,10:00:00,0.60,26.5,23.6,0.0,983.91,8.20,10.00,1006.24,000,29.08
48376,TAK,ตาก,ตาก,16.87833,99.14333,60,07-31-2019,10:00:00,0.00,29.9,21.4,18.5,992.38,0.00,10.00,1006.62,260,25.50
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,54,07-31-2019,10:00:00,0.00,32.1,21.6,11.1,989.28,0.00,12.00,1005.36,260,25.82
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,75,07-31-2019,10:00:00,0.01,29.4,24.5,0.0,1000.89,2.40,10.00,1006.07,000,30.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,81,07-31-2019,10:00:00,0.00,28.0,24.4,0.0,991.75,2.20,12.00,1004.87,000,30.56
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,64,07-31-2019,10:00:00,0.00,30.0,22.4,5.6,996.77,0.00,12.00,1005.99,220,27.01
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,77,07-31-2019,10:00:00,0.01,28.2,23.9,7.4,983.40,13.40,10.00,1004.95,270,29.57
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,83,07-31-2019,10:00:00,0.00,28.0,24.8,3.7,988.24,23.30,10.00,1005.65,230,31.39
