WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,Rainfall,WindDirection,Rainfall24Hr,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,974.88,08-01-2019,10:00:00,86,24.2,1005.68,0.0,30.26,0.00,000,32.70,10.00,26.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.78,08-01-2019,10:00:00,93,19.6,1002.37,9.3,22.79,0.00,300,0.00,6.00,20.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.11,08-01-2019,10:00:00,78,23.5,1004.32,0.0,28.90,0.00,000,27.00,12.00,27.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.45,08-01-2019,10:00:00,82,23.3,1004.71,0.0,28.65,0.00,000,49.20,15.00,26.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.35,08-01-2019,10:00:00,81,24.9,1004.55,0.0,31.54,0.00,000,33.00,12.00,28.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.98,08-01-2019,10:00:00,82,24.8,1004.57,5.6,31.23,0.00,180,33.00,12.00,28.2
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.01,08-01-2019,10:00:00,81,24.2,1005.55,0.0,30.26,0.00,000,21.00,8.00,27.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.66,08-01-2019,10:00:00,61,21.3,1005.16,9.3,25.30,0.00,250,0.01,15.00,29.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,982.28,08-01-2019,10:00:00,83,23.5,1006.34,0.0,29.00,0.00,000,9.40,8.00,26.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.96,08-01-2019,10:00:00,87,23.8,1005.41,0.0,29.41,1.40,000,10.60,10.00,26.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.95,08-01-2019,10:00:00,83,24.0,1005.35,0.0,29.85,0.00,000,8.00,10.00,27.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,971.82,08-01-2019,10:00:00,84,24.1,1005.22,0.0,30.02,0.90,000,6.50,10.00,27.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.00,08-01-2019,10:00:00,86,24.7,1005.42,9.3,31.14,0.20,270,45.10,10.00,27.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.41,08-01-2019,10:00:00,86,24.2,1005.16,0.0,30.26,0.00,000,51.60,10.00,26.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.42,08-01-2019,10:00:00,89,24.0,1005.28,0.0,29.76,0.40,000,22.00,8.00,26.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,970.14,08-01-2019,10:00:00,89,24.4,1005.58,0.0,30.59,0.00,000,5.60,7.00,26.3
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.70,08-01-2019,10:00:00,95,24.4,1004.44,3.7,30.60,0.70,140,1.80,13.00,25.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,998.70,08-01-2019,10:00:00,86,24.2,1006.01,0.0,30.26,0.01,000,27.50,8.00,26.7
