WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,VaporPressure,MaximumTemperature,WindSpeed,Rainfall,Rainfall24Hr,DewPoint,LandVisibility,RelativeHumidity,AirTemperature,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,972.10,08-01-2019,19:00:00,000,30.40,32.1,0.0,0.40,33.40,24.3,10.00,89,26.2,1002.87
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,840.65,08-01-2019,19:00:00,260,21.19,22.1,7.4,0.00,30.10,18.4,8.00,99,18.6,1001.06
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,957.44,08-01-2019,19:00:00,250,27.69,33.3,11.1,0.00,26.80,22.8,15.00,80,26.6,1000.65
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,956.27,08-01-2019,19:00:00,000,28.01,32.4,0.0,0.00,47.60,23.0,15.00,82,26.2,1001.45
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,964.62,08-01-2019,19:00:00,000,31.59,33.0,0.0,0.00,31.80,25.0,12.00,83,28.1,1001.76
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,957.76,08-01-2019,19:00:00,160,29.50,28.0,9.3,0.00,16.90,23.8,10.00,88,26.0,1002.58
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,976.04,08-01-2019,19:00:00,170,29.57,33.4,3.7,0.00,17.80,23.9,12.00,77,28.2,1002.46
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,981.91,08-01-2019,19:00:00,210,31.63,32.3,1.9,0.00,7.50,25.0,12.00,90,26.7,1003.57
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,979.70,08-01-2019,19:00:00,000,30.02,32.0,0.0,0.00,7.90,24.1,8.00,84,27.0,1003.66
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,967.86,08-01-2019,19:00:00,000,30.07,31.9,0.0,0.20,11.20,24.1,10.00,86,26.6,1002.14
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,975.24,08-01-2019,19:00:00,000,31.79,34.0,0.0,8.60,16.50,25.1,10.00,92,26.5,1002.63
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,968.86,08-01-2019,19:00:00,000,30.89,33.2,0.0,0.00,6.30,24.6,12.00,84,27.6,1002.09
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,984.32,08-01-2019,19:00:00,220,31.22,32.2,7.4,0.00,42.60,24.8,10.00,87,27.2,1002.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,979.61,08-01-2019,19:00:00,000,33.08,31.1,0.0,0.00,44.20,25.7,10.00,81,29.4,1002.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,972.67,08-01-2019,19:00:00,000,29.43,31.0,0.0,0.00,16.00,23.8,10.00,86,26.4,1002.41
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,967.20,08-01-2019,19:00:00,000,32.20,31.0,0.0,8.90,23.30,25.3,5.00,96,26.0,1002.56
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,972.03,08-01-2019,19:00:00,270,28.28,31.5,7.4,0.00,1.80,23.1,15.00,76,27.8,1001.44
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,995.98,08-01-2019,19:00:00,000,32.03,32.5,0.0,5.50,33.00,25.2,7.00,85,27.9,1003.24
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,981.52,08-01-2019,19:00:00,200,31.98,33.3,3.7,0.00,8.70,25.2,14.00,80,29.0,1001.16
48353,LOEI,เลย,เลย,17.45000,101.73333,973.35,08-01-2019,19:00:00,170,30.34,30.8,7.4,0.00,0.30,24.3,15.00,78,28.6,1001.66
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,981.98,08-01-2019,19:00:00,220,28.33,32.1,5.6,0.00,27.80,23.1,15.00,73,28.4,1001.94
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,980.78,08-01-2019,19:00:00,000,31.58,32.2,0.0,2.60,17.20,24.9,12.00,88,27.1,1002.38
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,982.12,08-01-2019,19:00:00,090,29.88,31.1,3.7,0.00,4.30,24.0,12.00,81,27.5,1001.46
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,985.46,08-01-2019,19:00:00,210,30.56,30.7,5.6,0.00,24.10,24.4,11.00,81,28.0,1002.06
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,984.95,08-01-2019,19:00:00,000,31.16,30.2,0.0,0.00,3.80,24.7,10.00,84,27.6,1002.23
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,976.02,08-01-2019,19:00:00,120,29.28,31.4,3.7,0.00,8.50,23.7,12.00,78,27.9,1001.56
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,997.13,08-01-2019,19:00:00,000,33.37,32.5,0.0,0.00,1.30,25.9,10.00,88,28.0,1002.87
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,997.47,08-01-2019,19:00:00,250,32.12,30.2,9.3,0.00,0.60,25.2,8.00,86,27.8,1003.62
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,987.86,08-01-2019,19:00:00,000,30.81,29.0,0.0,0.30,16.70,24.5,8.00,88,26.7,1004.26
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.18,08-01-2019,19:00:00,210,26.91,27.2,5.6,23.40,56.40,22.3,7.00,93,23.5,1004.71
48376,TAK,ตาก,ตาก,16.87833,99.14333,990.28,08-01-2019,19:00:00,270,28.67,30.4,9.3,0.00,6.60,23.3,6.00,80,27.0,1004.63
