WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,LandVisibility,Rainfall,MeanSeaLevelPressure,DewPoint,WindSpeed,WindDirection,AirTemperature,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,974.14,08-01-2019,22:00:00,31.80,10.00,0.00,1005.02,24.6,0.0,000,25.8,93,31.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.51,08-01-2019,22:00:00,30.10,8.00,0.00,1003.22,18.5,11.1,260,18.7,99,21.33
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.07,08-01-2019,22:00:00,26.80,12.00,0.00,1003.63,22.5,0.0,000,25.0,86,27.19
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.74,08-01-2019,22:00:00,47.60,12.00,0.00,1004.38,22.8,0.0,000,24.0,93,27.76
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.77,08-01-2019,22:00:00,26.20,8.00,0.00,1004.21,24.5,0.0,000,26.4,89,30.78
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.64,08-01-2019,22:00:00,13.10,10.00,0.00,1004.70,23.5,14.8,110,25.0,92,29.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.36,08-01-2019,22:00:00,7.80,8.00,0.00,1004.95,24.4,0.0,000,27.0,86,30.56
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.98,08-01-2019,22:00:00,7.50,12.00,0.00,1005.75,23.9,1.9,030,25.7,90,29.74
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,982.58,08-01-2019,22:00:00,8.00,8.00,0.40,1006.73,24.0,0.0,000,25.5,92,29.91
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.48,08-01-2019,22:00:00,11.80,10.00,0.60,1004.94,24.5,0.0,000,25.8,93,30.73
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.15,08-01-2019,22:00:00,24.50,7.00,8.00,1004.69,24.8,0.0,000,25.5,96,31.25
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,971.13,08-01-2019,22:00:00,6.50,10.00,0.20,1004.56,25.1,0.0,000,26.5,92,31.79
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.42,08-01-2019,22:00:00,42.60,10.00,0.00,1004.88,24.3,11.1,260,26.5,88,30.43
48331,NAN,น่าน,น่าน,18.77972,100.77778,981.80,08-01-2019,22:00:00,17.80,10.00,0.00,1004.54,24.5,0.0,000,26.7,88,30.81
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,974.91,08-01-2019,22:00:00,4.30,8.00,0.00,1004.83,23.4,0.0,000,25.2,90,28.83
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.39,08-01-2019,22:00:00,38.10,5.00,14.80,1004.90,24.8,0.0,000,25.5,96,31.25
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.09,08-01-2019,22:00:00,1.80,12.00,0.00,1003.75,24.3,0.0,000,25.8,92,30.46
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,998.39,08-01-2019,22:00:00,28.80,8.00,0.01,1005.70,24.5,0.0,000,26.5,89,30.70
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,983.14,08-01-2019,22:00:00,0.90,13.00,0.00,1002.88,25.4,3.7,210,28.0,86,32.52
48353,LOEI,เลย,เลย,17.45000,101.73333,975.65,08-01-2019,22:00:00,0.30,13.00,0.00,1004.23,22.8,0.0,000,26.5,80,27.77
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,983.63,08-01-2019,22:00:00,21.70,13.00,0.00,1003.72,23.2,7.4,240,27.0,80,28.41
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,982.51,08-01-2019,22:00:00,13.10,10.00,0.00,1004.20,22.1,7.4,270,26.4,77,26.56
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,983.98,08-01-2019,22:00:00,2.90,10.00,0.00,1003.39,22.6,3.7,310,26.9,77,27.44
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,987.53,08-01-2019,22:00:00,24.10,10.00,0.00,1004.20,24.0,0.0,000,27.2,83,29.85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,987.04,08-01-2019,22:00:00,3.30,10.00,0.00,1004.40,24.5,0.0,000,26.8,87,30.72
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.23,08-01-2019,22:00:00,8.50,10.00,0.00,1003.96,23.6,0.0,000,26.5,84,29.08
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.96,08-01-2019,22:00:00,1.30,10.00,0.00,1005.74,23.4,5.6,210,27.2,80,28.78
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.41,08-01-2019,22:00:00,0.80,7.00,0.20,1005.58,25.1,0.0,000,27.5,87,31.80
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,990.18,08-01-2019,22:00:00,12.40,8.00,0.01,1006.70,24.1,9.3,170,25.4,92,29.99
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.25,08-01-2019,22:00:00,56.20,7.00,7.20,1006.83,22.0,3.7,300,23.4,92,26.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.47,08-01-2019,22:00:00,7.80,6.00,1.20,1006.90,21.8,11.1,260,26.0,78,26.12
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.14,08-01-2019,22:00:00,0.50,8.00,0.10,1005.48,22.0,0.0,000,27.4,73,26.51
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1001.35,08-01-2019,22:00:00,2.40,10.00,0.00,1006.60,24.6,0.0,000,26.0,92,30.84
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.85,08-01-2019,22:00:00,7.20,10.00,1.00,1005.09,24.3,0.0,000,25.5,93,30.44
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.99,08-01-2019,22:00:00,10.00,10.00,1.50,1006.30,25.6,0.0,000,27.0,92,32.77
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.91,08-01-2019,22:00:00,7.20,10.00,0.00,1004.58,23.6,11.1,240,26.5,84,29.08
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,986.93,08-01-2019,22:00:00,5.20,10.00,0.00,1004.38,24.1,22.2,220,27.0,84,30.02
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,987.71,08-01-2019,22:00:00,59.00,10.00,0.00,1003.47,23.2,9.3,250,27.2,79,28.51
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.25,08-01-2019,22:00:00,1.20,8.00,0.00,1003.05,24.1,9.3,200,27.0,84,30.02
