WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,LandVisibility,Rainfall24Hr,Rainfall,WindSpeed,RelativeHumidity,WindDirection,StationPressure,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.9,08-02-2019,04:00:00,24.8,6.00,5.00,0.70,0.0,95,000,973.21,1004.16,29.69
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.2,08-02-2019,04:00:00,18.4,8.00,30.10,0.00,5.6,99,260,842.21,1003.04,20.93
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.9,08-02-2019,04:00:00,24.5,10.00,0.30,0.00,0.0,86,000,958.82,1002.40,26.34
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.8,08-02-2019,04:00:00,23.5,12.00,0.00,0.00,0.0,96,000,957.18,1002.83,27.66
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.2,08-02-2019,04:00:00,25.4,6.00,0.00,0.00,0.0,99,000,965.59,1003.12,32.15
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,08-02-2019,04:00:00,24.5,8.00,1.80,0.00,0.0,94,000,958.00,1003.07,28.89
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.8,08-02-2019,04:00:00,26.0,7.00,0.20,0.00,0.0,88,000,977.17,1003.82,29.50
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.9,08-02-2019,04:00:00,24.8,10.00,7.50,0.00,0.0,95,000,982.24,1004.04,29.69
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.2,08-02-2019,04:00:00,24.2,6.00,5.90,0.40,0.0,94,000,980.86,1005.08,28.36
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.0,08-02-2019,04:00:00,25.2,10.00,12.80,1.80,0.0,93,000,968.64,1003.11,29.89
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.9,08-02-2019,04:00:00,24.3,10.00,18.70,0.00,0.0,97,000,977.15,1004.80,29.57
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.9,08-02-2019,04:00:00,25.8,10.00,4.30,0.00,0.0,89,000,969.69,1003.15,29.66
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.1,08-02-2019,04:00:00,25.6,10.00,0.00,0.00,0.0,92,000,980.64,1003.44,30.09
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.7,08-02-2019,04:00:00,24.6,8.00,0.40,0.00,0.0,95,000,973.37,1003.31,29.33
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.8,08-02-2019,04:00:00,25.5,6.00,33.60,0.00,0.0,96,000,968.07,1003.53,31.25
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.4,08-02-2019,04:00:00,24.8,12.00,1.80,0.00,0.0,87,000,971.84,1001.53,27.10
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.4,08-02-2019,04:00:00,25.2,8.00,5.50,0.00,0.0,90,000,996.66,1003.99,28.83
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,23.6,08-02-2019,04:00:00,26.4,11.00,0.90,0.00,3.7,85,260,982.13,1001.95,29.17
48353,LOEI,เลย,เลย,17.45000,101.73333,20.5,08-02-2019,04:00:00,26.6,13.00,0.30,0.00,11.1,69,200,973.94,1002.46,24.12
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.2,08-02-2019,04:00:00,25.6,12.00,3.70,0.00,5.6,87,200,982.35,1002.50,28.51
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.6,08-02-2019,04:00:00,25.4,10.00,8.40,0.00,3.7,84,260,981.20,1002.94,27.38
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.8,08-02-2019,04:00:00,25.5,10.00,2.90,0.00,0.0,85,000,982.16,1001.62,27.81
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.2,08-02-2019,04:00:00,25.2,10.00,26.50,0.80,0.0,94,000,985.88,1002.64,30.15
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.4,08-02-2019,04:00:00,25.4,10.00,3.80,0.50,0.0,94,000,985.27,1002.68,30.52
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.7,08-02-2019,04:00:00,24.7,9.00,4.80,0.00,0.0,94,000,976.31,1002.14,29.25
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.6,08-02-2019,04:00:00,26.0,10.00,1.30,0.00,0.0,92,000,998.02,1003.80,30.84
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.6,08-02-2019,04:00:00,26.0,7.00,1.10,0.00,0.0,92,000,997.20,1003.39,30.84
