WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,VaporPressure,LandVisibility,Rainfall24Hr,RelativeHumidity,DewPoint,MinimumTemperature,MeanSeaLevelPressure,StationPressure,WindDirection,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-02-2019,07:00:00,0.0,29.34,6.00,5.00,93,23.7,23.0,1004.27,973.33,000,24.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-02-2019,07:00:00,9.3,20.80,8.00,30.10,99,18.1,18.2,1003.55,842.60,250,18.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-02-2019,07:00:00,0.0,28.67,12.00,0.00,88,23.3,24.3,1003.08,959.60,000,25.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-02-2019,07:00:00,0.0,28.53,15.00,0.00,96,23.3,22.0,1003.81,958.19,000,24.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-02-2019,07:00:00,0.0,29.52,10.00,0.00,93,23.8,24.8,1004.29,966.67,000,25.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-02-2019,07:00:00,7.4,29.00,8.00,1.80,92,23.5,23.5,1004.29,959.24,140,25.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-02-2019,07:00:00,5.6,28.51,10.00,0.20,87,23.2,25.3,1004.87,978.16,180,25.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-02-2019,07:00:00,3.7,28.20,15.00,7.50,92,23.1,24.2,1004.82,982.97,090,24.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.70,08-02-2019,07:00:00,0.0,28.11,5.00,6.20,91,23.0,22.3,1005.77,981.55,000,24.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.10,08-02-2019,07:00:00,0.0,30.52,10.00,4.50,94,24.4,24.6,1003.93,969.45,000,25.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-02-2019,07:00:00,0.0,30.20,7.00,16.80,98,24.2,23.9,1005.60,977.95,000,24.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-02-2019,07:00:00,0.0,29.91,10.00,1.10,92,24.0,25.3,1003.73,970.21,000,25.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-02-2019,07:00:00,0.0,29.00,10.00,0.20,92,23.5,24.6,1004.61,986.06,000,25.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-02-2019,07:00:00,0.0,28.59,10.00,0.00,88,23.3,24.8,1004.13,981.31,000,25.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-02-2019,07:00:00,0.0,29.41,9.00,0.40,96,23.8,24.4,1004.38,974.39,000,24.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-02-2019,07:00:00,0.0,29.04,5.00,33.20,97,23.6,24.0,1004.14,968.48,000,24.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-02-2019,07:00:00,5.6,26.78,14.00,0.70,84,22.2,23.8,1002.73,973.03,320,25.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-02-2019,07:00:00,0.0,29.89,6.00,5.50,93,24.0,25.0,1005.13,997.79,000,25.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-02-2019,07:00:00,7.4,29.41,15.00,0.20,87,23.8,25.8,1002.70,982.84,240,26.1
