WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MeanSeaLevelPressure,LandVisibility,Rainfall,WindDirection,VaporPressure,StationPressure,RelativeHumidity,AirTemperature,WindSpeed,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.00,08-02-2019,10:00:00,1005.38,6.00,0.00,000,31.49,974.64,87,27.2,0.0,24.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,30.10,08-02-2019,10:00:00,1003.19,8.00,0.00,270,21.54,842.88,95,19.5,20.4,18.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-02-2019,10:00:00,1004.23,10.00,0.00,200,29.19,961.06,77,28.0,9.3,23.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-02-2019,10:00:00,1004.08,15.00,0.00,000,28.51,958.93,79,27.2,0.0,23.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-02-2019,10:00:00,1004.92,12.00,0.00,000,30.18,967.50,86,26.8,0.0,24.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1.80,08-02-2019,10:00:00,1004.19,9.00,0.00,130,29.60,959.51,81,27.5,7.4,23.9
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.20,08-02-2019,10:00:00,1005.15,10.00,0.00,000,29.04,978.58,81,27.2,0.0,23.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.50,08-02-2019,10:00:00,1005.41,16.00,0.00,230,28.00,983.86,71,28.8,13.0,22.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,08-02-2019,10:00:00,1007.25,6.00,1.80,000,29.00,983.05,92,25.0,0.0,23.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.10,08-02-2019,10:00:00,1004.47,12.00,0.00,210,29.00,970.48,69,29.9,3.7,23.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,16.80,08-02-2019,10:00:00,1005.03,10.00,0.00,000,30.15,977.75,78,28.5,0.0,24.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.20,08-02-2019,10:00:00,1004.42,10.00,0.00,000,28.12,971.29,69,29.3,0.0,23.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-02-2019,10:00:00,1004.79,12.00,0.00,270,28.54,986.47,72,28.8,5.6,23.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-02-2019,10:00:00,1004.83,10.00,0.00,160,29.38,982.19,77,28.1,7.4,23.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-02-2019,10:00:00,1005.09,10.00,0.00,000,28.51,975.35,79,27.2,0.0,23.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,33.20,08-02-2019,10:00:00,1004.88,7.00,0.00,000,30.56,969.66,81,28.0,0.0,24.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-02-2019,10:00:00,1002.69,15.00,0.00,310,28.84,973.56,64,31.1,9.3,23.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,5.50,08-02-2019,10:00:00,1006.00,8.00,0.00,200,29.98,998.75,76,28.7,11.1,24.1
