WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,Rainfall,StationPressure,WindSpeed,RelativeHumidity,LandVisibility,Rainfall24Hr,WindDirection,DewPoint,AirTemperature,MinimumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1005.06,08-03-2019,07:00:00,27.18,0.00,974.04,0.0,89,10.00,7.90,000,22.5,24.4,22.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1002.25,08-03-2019,07:00:00,20.49,0.00,841.30,33.3,100,.80,4.40,300,17.9,17.9,17.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1002.59,08-03-2019,07:00:00,28.22,0.00,959.08,0.0,89,10.00,2.10,000,23.1,25.0,24.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1002.61,08-03-2019,07:00:00,28.53,0.00,957.05,0.0,96,12.00,13.50,000,23.3,24.0,22.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1003.95,08-03-2019,07:00:00,29.41,0.00,966.29,0.0,96,10.00,0.00,000,23.8,24.5,23.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1003.55,08-03-2019,07:00:00,27.29,0.00,958.61,0.0,84,8.00,0.00,000,22.5,25.5,24.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1003.38,08-03-2019,07:00:00,29.00,0.00,976.66,0.0,92,6.00,0.00,000,23.5,25.0,24.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1004.13,08-03-2019,07:00:00,19.99,0.00,982.53,9.3,54,14.00,0.00,240,17.5,27.8,25.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1006.96,08-03-2019,07:00:00,26.01,0.00,982.68,0.0,87,10.00,13.00,000,21.7,24.0,21.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1004.25,08-03-2019,07:00:00,26.43,0.00,969.72,0.0,83,10.00,1.40,000,22.0,25.0,24.5
