WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,VaporPressure,Rainfall,LandVisibility,RelativeHumidity,StationPressure,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-04-2019,01:00:00,25.8,28.34,0.00,8.00,85,972.81,1003.64,0.0,0.01,23.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,300,08-04-2019,01:00:00,18.9,21.82,1.50,8.00,100,840.54,1000.75,55.6,2.70,18.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,08-04-2019,01:00:00,27.0,30.29,0.01,8.00,85,957.53,1000.68,0.0,0.01,24.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-04-2019,01:00:00,25.8,30.46,0.20,8.00,92,955.61,1000.83,0.0,0.20,24.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-04-2019,01:00:00,24.7,30.30,0.60,6.00,97,964.58,1002.16,0.0,0.60,24.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,100,08-04-2019,01:00:00,27.0,26.06,0.00,7.00,73,956.37,1000.98,5.6,0.00,21.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,08-04-2019,01:00:00,25.4,29.19,0.60,7.00,90,975.17,1001.81,0.0,0.90,23.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,240,08-04-2019,01:00:00,27.7,24.98,0.00,15.00,67,981.29,1002.86,14.8,0.00,21.1
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-04-2019,01:00:00,24.6,28.03,0.00,6.00,91,981.29,1005.48,0.0,0.50,23.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-04-2019,01:00:00,27.4,26.25,0.00,10.00,72,967.99,1002.18,0.0,0.00,21.9
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-04-2019,01:00:00,28.0,25.76,0.00,10.00,68,974.56,1001.78,0.0,0.00,21.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-04-2019,01:00:00,27.4,24.47,0.00,10.00,67,968.88,1002.13,0.0,0.00,20.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,270,08-04-2019,01:00:00,26.7,27.86,0.00,15.00,80,983.16,1001.55,3.7,0.00,22.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-04-2019,01:00:00,26.1,31.03,1.40,6.00,92,978.68,1001.40,0.0,1.40,24.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-04-2019,01:00:00,25.0,30.05,1.20,7.00,95,971.84,1001.69,0.0,1.20,24.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-04-2019,01:00:00,26.8,27.52,0.00,6.00,78,966.73,1001.98,0.0,0.00,22.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-04-2019,01:00:00,24.9,27.79,1.30,10.00,88,971.37,1001.05,0.0,1.30,22.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-04-2019,01:00:00,27.5,25.65,0.00,9.00,70,995.02,1002.28,0.0,0.00,21.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,08-04-2019,01:00:00,26.8,29.37,0.00,10.00,83,981.06,1000.83,0.0,0.00,23.7
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-04-2019,01:00:00,26.6,26.39,0.10,12.00,76,972.82,1001.31,0.0,0.10,22.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,220,08-04-2019,01:00:00,26.2,26.72,0.00,12.00,79,980.88,1000.97,7.4,0.00,22.2
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,170,08-04-2019,01:00:00,25.7,25.36,2.20,10.00,77,979.85,1001.54,11.1,2.20,21.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,240,08-04-2019,01:00:00,25.9,26.20,1.60,10.00,78,981.08,1000.50,9.3,1.60,21.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,140,08-04-2019,01:00:00,25.2,29.36,0.20,10.00,92,985.11,1001.86,3.7,6.30,23.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-04-2019,01:00:00,25.3,30.07,1.00,8.00,93,984.63,1002.04,0.0,3.80,24.1
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-04-2019,01:00:00,25.0,26.69,0.60,8.00,84,975.67,1001.45,0.0,0.60,22.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,210,08-04-2019,01:00:00,28.0,26.80,0.00,10.00,71,996.86,1002.60,24.1,0.40,22.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,280,08-04-2019,01:00:00,27.5,26.17,0.00,10.00,71,996.76,1002.91,5.6,0.20,21.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-04-2019,01:00:00,27.5,25.65,0.00,8.00,70,987.10,1003.44,0.0,0.00,21.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-04-2019,01:00:00,23.5,27.66,0.40,6.00,96,982.05,1004.57,0.0,44.70,22.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,280,08-04-2019,01:00:00,27.8,25.41,0.00,6.00,68,989.52,1003.82,18.5,0.00,21.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,120,08-04-2019,01:00:00,27.7,26.78,0.00,7.00,72,986.42,1002.69,18.5,0.00,22.2
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,260,08-04-2019,01:00:00,27.8,26.70,0.00,10.00,71,998.40,1003.60,3.7,0.60,22.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-04-2019,01:00:00,26.9,27.96,0.00,10.00,79,988.88,1002.01,0.0,0.00,22.9
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,08-04-2019,01:00:00,27.0,27.88,0.00,11.00,78,994.30,1003.59,0.0,0.40,22.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,210,08-04-2019,01:00:00,27.7,24.98,0.01,9.00,67,980.68,1002.21,9.3,0.01,21.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,210,08-04-2019,01:00:00,28.0,28.12,0.00,10.00,74,985.28,1002.64,7.4,0.00,23.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,220,08-04-2019,01:00:00,28.4,26.21,0.00,10.00,68,985.58,1001.25,9.3,0.00,21.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,190,08-04-2019,01:00:00,28.0,29.19,0.00,8.00,77,982.44,1001.15,7.4,0.00,23.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,08-04-2019,01:00:00,27.0,31.38,0.00,6.00,88,999.51,1003.45,0.0,0.60,24.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,230,08-04-2019,01:00:00,20.2,23.20,2.30,.05,98,909.70,1005.00,22.2,8.10,19.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-04-2019,01:00:00,26.5,28.03,0.00,6.00,81,986.43,1002.37,0.0,0.00,23.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-04-2019,01:00:00,29.5,27.96,0.00,10.00,68,999.78,1003.77,0.0,0.30,22.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-04-2019,01:00:00,27.2,26.93,0.00,7.00,75,995.02,1005.67,0.0,0.20,22.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,200,08-04-2019,01:00:00,27.0,27.10,0.00,9.00,76,1002.96,1004.88,11.1,0.00,22.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,210,08-04-2019,01:00:00,27.1,26.75,0.00,10.00,75,982.82,1003.60,5.6,2.20,22.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,220,08-04-2019,01:00:00,27.0,26.84,0.01,10.00,75,984.66,1002.24,9.3,0.01,22.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,240,08-04-2019,01:00:00,28.2,25.59,0.00,10.00,67,985.87,1001.88,7.4,0.00,21.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,240,08-04-2019,01:00:00,28.0,25.24,0.00,10.00,67,988.97,1002.90,9.3,4.60,21.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-04-2019,01:00:00,27.8,28.02,0.00,10.00,75,989.19,1003.93,0.0,5.60,23.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,240,08-04-2019,01:00:00,27.2,27.98,0.70,6.00,78,988.95,1003.56,11.1,3.70,22.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-04-2019,01:00:00,28.7,26.48,0.00,10.00,67,1001.13,1004.12,0.0,0.01,22.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,170,08-04-2019,01:00:00,28.0,28.12,0.00,7.00,74,995.78,1003.68,5.6,0.00,23.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,210,08-04-2019,01:00:00,26.9,29.02,0.00,6.00,82,1004.42,1005.53,16.7,0.00,23.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-04-2019,01:00:00,27.2,31.22,0.00,8.00,87,989.42,1004.05,0.0,0.10,24.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,280,08-04-2019,01:00:00,18.7,21.11,0.00,.05,98,871.81,1007.15,13.0,0.00,18.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,220,08-04-2019,01:00:00,27.9,26.36,0.00,10.00,70,998.60,1004.45,9.3,0.00,22.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,210,08-04-2019,01:00:00,27.2,27.72,0.01,3.00,77,1005.34,1006.14,1.9,0.01,22.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-04-2019,01:00:00,28.3,28.95,0.00,10.00,75,1005.68,1006.12,22.2,0.00,23.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-04-2019,01:00:00,23.5,27.66,12.00,4.00,96,996.33,1007.77,0.0,20.80,22.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,190,08-04-2019,01:00:00,26.5,28.03,0.00,10.00,81,1004.94,1005.96,3.7,0.50,23.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,190,08-04-2019,01:00:00,27.5,25.91,0.00,7.00,71,1003.53,1005.34,9.3,0.00,21.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-04-2019,01:00:00,26.1,27.06,0.00,5.00,80,1005.14,1005.90,0.0,0.01,22.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,220,08-04-2019,01:00:00,27.7,27.83,0.00,10.00,75,1005.65,1006.35,18.5,0.00,22.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,270,08-04-2019,01:00:00,27.5,28.00,0.00,7.00,76,1004.94,1005.64,7.4,0.00,22.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,270,08-04-2019,01:00:00,27.4,27.55,0.01,7.00,76,982.98,1004.04,9.3,0.30,22.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,08-04-2019,01:00:00,27.4,26.77,0.00,6.00,73,987.26,1003.90,0.0,0.10,22.2
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-04-2019,01:00:00,27.0,27.36,0.00,7.00,77,987.98,1004.37,3.7,0.01,22.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,280,08-04-2019,01:00:00,27.7,25.23,0.00,10.00,68,982.52,1004.27,13.0,0.01,21.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,220,08-04-2019,01:00:00,25.9,23.71,0.00,10.00,71,961.66,1004.96,25.9,0.00,20.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,220,08-04-2019,01:00:00,28.0,23.97,0.00,10.00,63,983.44,1003.86,14.8,0.20,20.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,220,08-04-2019,01:00:00,26.4,28.11,0.00,8.00,82,984.35,1005.16,13.0,2.60,23.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,230,08-04-2019,01:00:00,26.1,29.41,0.00,10.00,87,1006.21,1006.65,9.3,0.10,23.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,270,08-04-2019,01:00:00,27.0,30.29,0.00,6.00,85,1003.88,1005.29,3.7,0.00,24.3
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,190,08-04-2019,01:00:00,27.0,26.06,0.00,7.00,73,1000.48,1005.41,3.7,0.00,21.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,08-04-2019,01:00:00,26.3,27.93,0.10,10.00,82,1002.81,1006.10,0.0,0.20,22.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-04-2019,01:00:00,26.2,26.72,0.00,10.00,79,1005.45,1006.56,0.0,0.01,22.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,220,08-04-2019,01:00:00,28.3,28.68,0.00,10.00,75,1006.16,1006.46,7.4,0.01,23.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,210,08-04-2019,01:00:00,27.8,24.90,0.00,10.00,67,1005.78,1006.26,9.3,0.00,21.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,200,08-04-2019,01:00:00,28.1,27.24,0.00,10.00,72,1004.89,1006.30,14.8,0.00,22.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,180,08-04-2019,01:00:00,26.5,25.46,0.00,10.00,74,999.62,1007.64,7.4,0.00,21.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-04-2019,01:00:00,27.7,30.81,0.00,10.00,83,1006.04,1006.33,0.0,0.00,24.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,260,08-04-2019,01:00:00,29.0,25.71,0.00,10.00,64,1003.45,1006.56,7.4,0.00,21.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,260,08-04-2019,01:00:00,27.0,30.56,0.40,10.00,86,999.73,1006.67,9.3,0.40,24.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,300,08-04-2019,01:00:00,27.3,26.33,0.00,7.00,73,1001.48,1007.07,7.4,0.00,21.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,180,08-04-2019,01:00:00,24.9,27.79,0.00,8.00,88,1005.83,1007.10,11.1,0.60,22.8
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,200,08-04-2019,01:00:00,25.7,28.16,0.80,11.00,85,1006.22,1006.65,13.0,3.40,23.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-04-2019,01:00:00,24.0,28.78,0.50,8.00,97,994.73,1007.11,0.0,12.50,23.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,08-04-2019,01:00:00,26.0,30.84,0.20,10.00,92,1006.04,1006.75,0.0,8.70,24.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,200,08-04-2019,01:00:00,27.5,29.60,0.01,10.00,81,1004.82,1007.26,3.7,0.01,23.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,250,08-04-2019,01:00:00,28.5,31.54,0.00,10.00,81,1006.42,1006.94,18.5,0.00,24.9
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,200,08-04-2019,01:00:00,27.2,28.78,0.00,9.00,80,1001.90,1007.05,1.9,0.00,23.4
