WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,VaporPressure,AirTemperature,Rainfall,LandVisibility,Rainfall24Hr,RelativeHumidity,StationPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1003.48,08-04-2019,10:00:00,000,24.0,29.76,26.0,0.10,10.00,0.10,89,972.67,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1000.56,08-04-2019,10:00:00,300,18.0,20.62,18.0,11.60,.10,19.60,100,839.94,57.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1000.66,08-04-2019,10:00:00,240,22.8,27.75,23.4,5.20,8.00,9.40,96,957.00,5.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1000.94,08-04-2019,10:00:00,260,23.3,28.53,24.0,8.60,4.00,13.40,96,955.46,3.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1001.71,08-04-2019,10:00:00,160,23.0,28.07,23.0,13.80,6.00,24.30,100,963.94,7.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1001.99,08-04-2019,10:00:00,040,23.4,28.78,24.0,12.60,6.00,16.30,97,956.90,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1001.55,08-04-2019,10:00:00,190,23.1,28.27,24.0,16.30,6.00,26.70,95,974.79,5.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1003.36,08-04-2019,10:00:00,080,23.7,29.38,25.5,0.90,9.00,0.90,90,981.63,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1004.49,08-04-2019,10:00:00,000,24.1,30.02,27.0,0.20,8.00,0.70,84,980.51,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.07,08-04-2019,10:00:00,000,23.2,28.48,25.0,2.70,7.00,2.70,90,968.58,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.47,08-04-2019,10:00:00,000,23.1,28.28,24.3,3.80,5.00,4.10,93,975.86,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.01,08-04-2019,10:00:00,240,23.4,28.83,25.2,1.00,10.00,1.00,90,969.49,5.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1002.78,08-04-2019,10:00:00,300,23.8,29.41,24.5,4.80,5.00,9.00,96,984.24,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,1001.65,08-04-2019,10:00:00,240,23.5,28.88,24.2,8.50,7.00,20.50,96,978.78,5.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1001.57,08-04-2019,10:00:00,000,22.8,27.67,23.8,9.60,7.00,24.60,94,971.61,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1003.06,08-04-2019,10:00:00,000,24.8,31.25,25.5,2.00,6.00,2.00,96,967.62,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1001.36,08-04-2019,10:00:00,100,23.5,28.88,24.2,4.70,6.00,17.80,96,971.61,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1003.51,08-04-2019,10:00:00,000,24.0,29.79,25.0,3.00,7.00,5.50,94,996.19,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1001.41,08-04-2019,10:00:00,230,24.1,29.99,25.4,3.40,5.00,9.90,92,981.53,11.1
48353,LOEI,เลย,เลย,17.45000,101.73333,1001.97,08-04-2019,10:00:00,000,23.5,29.00,25.0,2.50,4.00,9.30,92,973.32,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1001.48,08-04-2019,10:00:00,230,23.5,28.90,27.7,0.01,15.00,0.60,78,981.48,9.3
