WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,StationPressure,VaporPressure,WindSpeed,WindDirection,RelativeHumidity,Rainfall,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.5,08-04-2019,16:00:00,7.00,969.75,30.67,0.0,000,90,3.80,8.00,26.2,1000.44
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.4,08-04-2019,16:00:00,.10,838.19,21.14,18.5,300,100,5.90,33.00,18.4,998.25
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.7,08-04-2019,16:00:00,8.00,953.94,29.26,3.7,180,92,0.70,20.70,25.0,997.23
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.5,08-04-2019,16:00:00,6.00,952.53,28.90,5.6,250,92,1.20,30.00,24.8,997.75
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.0,08-04-2019,16:00:00,4.00,961.57,28.07,20.4,160,100,23.30,65.20,23.0,999.25
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.4,08-04-2019,16:00:00,6.00,954.21,28.70,3.7,100,96,12.00,48.80,24.1,999.16
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.2,08-04-2019,16:00:00,4.00,972.88,28.44,9.3,180,95,19.90,59.60,24.1,999.59
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.7,08-04-2019,16:00:00,8.00,979.38,31.08,3.7,210,89,1.20,2.20,26.7,1000.98
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.2,08-04-2019,16:00:00,6.00,977.63,30.26,0.0,000,86,2.40,4.50,26.7,1001.56
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.4,08-04-2019,16:00:00,7.00,966.11,28.72,0.0,000,92,7.00,12.80,24.7,1000.55
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.9,08-04-2019,16:00:00,5.00,973.21,29.69,0.0,000,95,2.40,10.10,24.8,1000.70
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.2,08-04-2019,16:00:00,10.00,967.00,30.15,0.0,000,94,5.80,11.20,25.2,1000.44
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.1,08-04-2019,16:00:00,4.00,982.19,29.97,3.7,250,94,2.50,14.30,25.1,1000.66
