WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,RelativeHumidity,WindDirection,StationPressure,LandVisibility,AirTemperature,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.10,08-05-2019,01:00:00,10.00,95,000,969.35,7.00,25.3,0.0,30.60,24.4,1000.13
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,4.00,08-05-2019,01:00:00,42.20,100,300,838.04,.10,18.1,24.1,20.75,18.1,998.24
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,18.40,08-05-2019,01:00:00,49.00,96,150,955.68,6.00,23.5,7.4,27.92,22.9,999.26
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,11.40,08-05-2019,01:00:00,51.80,96,210,954.09,3.00,23.0,7.4,27.07,22.4,999.66
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,3.80,08-05-2019,01:00:00,80.80,100,000,964.62,4.00,22.8,0.0,27.74,22.8,1002.44
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.50,08-05-2019,01:00:00,61.10,98,140,955.33,5.00,23.1,7.4,27.74,22.8,1000.49
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,19.00,08-05-2019,01:00:00,101.00,96,180,975.33,4.00,23.5,3.7,27.92,22.9,1002.16
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,2.10,08-05-2019,01:00:00,7.70,97,000,979.78,8.00,24.3,0.0,29.31,23.7,1001.57
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.50,08-05-2019,01:00:00,5.90,93,000,976.98,6.00,24.5,0.0,28.63,23.3,1001.08
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1.00,08-05-2019,01:00:00,16.60,97,000,965.87,8.00,24.2,0.0,29.13,23.6,1000.36
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-05-2019,01:00:00,12.20,96,000,974.34,7.00,24.0,0.0,28.53,23.3,1001.93
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.50,08-05-2019,01:00:00,15.00,94,000,976.79,10.00,24.8,0.0,29.42,23.8,1010.61
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.80,08-05-2019,01:00:00,21.10,97,270,982.56,8.00,24.2,5.6,29.13,23.6,1001.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,7.50,08-05-2019,01:00:00,66.40,98,000,978.61,7.00,23.5,0.0,28.42,23.2,1001.53
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.90,08-05-2019,01:00:00,66.00,96,000,971.60,5.00,23.3,0.0,27.33,22.5,1001.62
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.80,08-05-2019,01:00:00,12.80,96,000,966.02,5.00,24.0,0.0,28.53,23.3,1001.58
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-05-2019,01:00:00,19.00,96,000,973.07,12.00,24.0,0.0,28.53,23.3,1002.88
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1.00,08-05-2019,01:00:00,10.90,95,000,994.63,7.00,25.0,0.0,30.05,24.1,1001.94
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-05-2019,01:00:00,11.80,95,000,982.31,10.00,26.0,0.0,31.93,25.1,1002.16
48353,LOEI,เลย,เลย,17.45000,101.73333,0.60,08-05-2019,01:00:00,12.30,91,000,974.11,13.00,24.5,0.0,28.11,23.0,1002.84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.20,08-05-2019,01:00:00,0.80,89,000,982.28,12.00,26.0,0.0,29.76,24.0,1002.41
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-05-2019,01:00:00,1.40,93,000,981.56,10.00,25.0,0.0,29.52,23.8,1003.34
