WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,Rainfall,VaporPressure,RelativeHumidity,Rainfall24Hr,WindDirection,StationPressure,WindSpeed,MeanSeaLevelPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,08-05-2019,04:00:00,24.1,0.00,30.05,95,10.00,000,968.31,0.0,999.08,25.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,8.00,08-05-2019,04:00:00,22.6,20.40,27.41,96,65.60,120,955.73,14.8,999.36,23.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1.00,08-05-2019,04:00:00,22.2,26.20,26.82,97,75.80,000,953.91,0.0,999.53,22.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,4.00,08-05-2019,04:00:00,22.8,8.40,27.74,100,88.40,000,964.28,0.0,1002.09,22.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.00,08-05-2019,04:00:00,22.8,4.00,27.82,99,64.70,130,955.11,13.0,1000.27,23.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,4.00,08-05-2019,04:00:00,22.8,10.50,27.66,96,111.20,130,975.05,5.6,1001.87,23.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.00,08-05-2019,04:00:00,23.5,4.20,28.95,98,11.90,000,979.17,0.0,1000.98,23.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,08-05-2019,04:00:00,23.1,0.80,28.20,92,6.70,000,975.72,0.0,999.80,24.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,8.00,08-05-2019,04:00:00,23.5,0.10,28.88,96,16.70,000,965.87,0.0,1000.36,24.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,7.00,08-05-2019,04:00:00,23.1,3.40,28.26,96,15.60,000,973.51,0.0,1001.11,23.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-05-2019,04:00:00,23.7,0.00,29.25,94,15.00,000,967.03,0.0,1000.53,24.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,7.00,08-05-2019,04:00:00,23.5,0.00,28.88,96,21.10,300,981.94,5.6,1000.46,24.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,5.00,08-05-2019,04:00:00,22.0,3.20,26.41,93,68.80,000,971.24,0.0,1001.26,23.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,5.00,08-05-2019,04:00:00,23.8,0.80,29.41,96,13.60,000,965.08,0.0,1000.55,24.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,4.00,08-05-2019,04:00:00,22.9,2.20,27.91,98,15.70,140,972.53,5.6,1002.42,23.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.00,08-05-2019,04:00:00,23.5,5.90,28.88,96,16.80,000,993.96,0.0,1001.29,24.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10.00,08-05-2019,04:00:00,24.8,0.00,31.25,96,7.60,220,982.01,3.7,1001.89,25.5
48353,LOEI,เลย,เลย,17.45000,101.73333,4.00,08-05-2019,04:00:00,22.7,0.70,27.50,94,9.80,170,973.85,3.7,1002.65,23.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-05-2019,04:00:00,23.5,0.00,29.00,92,0.80,000,981.88,0.0,1002.07,25.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,08-05-2019,04:00:00,23.1,0.00,28.27,95,1.40,000,980.77,0.0,1002.60,24.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,08-05-2019,04:00:00,24.3,0.00,30.38,98,2.40,170,982.62,3.7,1002.16,24.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-05-2019,04:00:00,23.4,0.00,28.81,93,13.30,110,986.20,1.9,1003.00,24.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,08-05-2019,04:00:00,23.5,0.00,29.00,92,0.70,000,974.92,0.0,1000.69,25.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,6.00,08-05-2019,04:00:00,24.7,9.00,31.20,99,13.90,140,995.73,5.6,1001.52,24.9
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,6.00,08-05-2019,04:00:00,24.3,6.20,30.32,96,11.90,000,994.71,0.0,1000.91,25.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,8.00,08-05-2019,04:00:00,23.9,3.30,29.57,97,4.30,000,986.60,0.0,1003.11,24.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.00,08-05-2019,04:00:00,22.8,10.30,27.66,96,54.10,180,977.61,9.3,1000.03,23.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.00,08-05-2019,04:00:00,23.7,3.60,29.25,94,12.20,000,987.24,0.0,1001.66,24.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,6.00,08-05-2019,04:00:00,23.1,1.50,28.18,96,5.40,000,984.18,0.0,1000.63,23.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,6.00,08-05-2019,04:00:00,24.0,3.70,29.77,96,6.50,000,996.74,0.0,1001.99,24.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-05-2019,04:00:00,23.6,1.40,29.16,93,15.70,000,988.62,0.0,1001.84,24.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,4.00,08-05-2019,04:00:00,24.2,3.50,30.23,95,3.50,150,992.09,3.7,1001.42,25.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.00,08-05-2019,04:00:00,22.7,0.00,27.55,84,0.20,210,980.72,7.4,1002.41,25.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,7.00,08-05-2019,04:00:00,22.3,0.00,26.88,80,0.01,200,985.02,3.7,1002.50,26.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-05-2019,04:00:00,23.7,0.00,29.29,89,0.00,000,986.20,0.0,1002.03,25.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,08-05-2019,04:00:00,24.7,0.00,31.11,93,0.00,200,982.67,5.6,1001.51,26.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.00,08-05-2019,04:00:00,20.2,1.30,23.62,87,15.80,000,952.30,0.0,1003.89,22.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,08-05-2019,04:00:00,24.0,0.01,29.91,92,0.01,000,997.99,0.0,1001.95,25.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.20,08-05-2019,04:00:00,20.1,4.20,23.49,98,29.50,000,906.59,0.0,1001.49,20.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,6.00,08-05-2019,04:00:00,23.8,0.00,29.44,92,0.20,000,986.58,0.0,1002.59,25.1
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,8.00,08-05-2019,04:00:00,24.6,0.10,30.85,97,0.20,180,998.03,3.7,1002.07,25.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,6.00,08-05-2019,04:00:00,23.2,0.20,28.47,92,14.10,000,993.10,0.0,1003.82,24.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,8.00,08-05-2019,04:00:00,23.1,1.50,28.22,89,1.80,180,1000.65,7.4,1002.59,25.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-05-2019,04:00:00,22.9,0.00,27.88,88,0.00,220,982.04,3.7,1002.95,25.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-05-2019,04:00:00,22.8,0.00,27.81,85,0.10,000,984.73,0.0,1002.40,25.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-05-2019,04:00:00,23.0,0.00,28.01,82,0.00,000,986.61,0.0,1002.74,26.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-05-2019,04:00:00,22.6,0.00,27.49,81,2.40,220,989.37,3.7,1003.39,26.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,8.00,08-05-2019,04:00:00,23.3,0.00,28.59,88,0.40,000,989.76,0.0,1004.62,25.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,7.00,08-05-2019,04:00:00,23.3,0.00,28.69,87,0.00,000,989.95,0.0,1004.65,25.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-05-2019,04:00:00,23.8,0.40,29.44,92,8.60,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",999.08,0.0,1002.10,25.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,08-05-2019,04:00:00,23.4,0.00,28.75,89,0.00,000,994.83,0.0,1002.79,25.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,08-05-2019,04:00:00,23.3,0.00,28.67,88,1.60,180,1002.66,7.4,1003.77,25.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-05-2019,04:00:00,23.4,0.00,28.70,85,0.00,100,989.99,3.7,1004.69,26.0
