WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,Rainfall24Hr,WindSpeed,VaporPressure,AirTemperature,Rainfall,LandVisibility,StationPressure,MeanSeaLevelPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.9,08-05-2019,16:00:00,76,10.60,3.7,33.34,30.5,0.01,10.00,967.73,997.92,020
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,08-05-2019,16:00:00,100,52.90,5.6,21.95,19.0,3.80,.10,839.00,998.86,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.8,08-05-2019,16:00:00,88,62.20,9.3,29.50,26.0,0.80,10.00,957.79,1001.10,120
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.8,08-05-2019,16:00:00,90,53.60,0.0,29.56,25.6,1.60,8.00,955.67,1000.92,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.3,08-05-2019,16:00:00,88,38.60,7.4,30.43,26.5,0.20,7.00,965.06,1002.43,150
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.3,08-05-2019,16:00:00,88,18.70,9.3,30.43,26.5,1.10,7.00,956.57,1001.26,150
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.9,08-05-2019,16:00:00,90,60.90,5.6,31.55,26.8,2.10,8.00,976.41,1002.96,190
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.8,08-05-2019,16:00:00,78,16.50,3.7,29.46,28.0,0.00,12.00,980.01,1001.53,030
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.3,08-05-2019,16:00:00,96,21.70,0.0,30.32,25.0,5.20,6.00,976.82,1000.87,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.7,08-05-2019,16:00:00,94,21.50,3.7,31.08,25.7,5.80,8.00,966.61,1000.95,120
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.1,08-05-2019,16:00:00,79,54.90,0.0,30.01,28.0,0.00,10.00,974.41,1001.63,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.6,08-05-2019,16:00:00,77,25.30,0.0,29.19,28.0,0.00,12.00,967.05,1000.18,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.9,08-05-2019,16:00:00,76,11.40,1.9,29.60,28.5,0.00,10.00,983.29,1001.57,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.3,08-05-2019,16:00:00,83,26.60,1.9,30.42,27.5,1.10,10.00,979.75,1002.39,220
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,08-05-2019,16:00:00,91,32.10,0.0,31.71,26.6,1.10,8.00,972.77,1002.49,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.0,08-05-2019,16:00:00,92,40.80,0.0,29.91,25.5,0.40,6.00,979.66,1015.54,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.4,08-05-2019,16:00:00,73,3.20,3.7,30.47,29.8,0.00,15.00,972.12,1001.33,050
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.5,08-05-2019,16:00:00,75,13.00,0.0,30.72,29.5,0.00,8.00,995.49,1002.70,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.4,08-05-2019,16:00:00,73,0.00,0.0,32.51,30.8,0.00,20.00,982.18,1001.72,000
48353,LOEI,เลย,เลย,17.45000,101.73333,24.4,08-05-2019,16:00:00,73,2.70,5.6,30.55,29.7,0.60,12.00,973.52,1001.73,160
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.3,08-05-2019,16:00:00,71,1.20,3.7,30.31,30.0,1.00,10.00,982.18,1002.04,120
