WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,MeanSeaLevelPressure,AirTemperature,StationPressure,RelativeHumidity,LandVisibility,Rainfall24Hr,WindDirection,DewPoint,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.25,08-06-2019,01:00:00,0.60,1002.81,25.5,971.97,96,6.00,9.20,000,24.8,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.75,08-06-2019,01:00:00,0.50,1002.55,18.1,841.66,100,.10,46.20,120,18.1,3.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.78,08-06-2019,01:00:00,0.00,1004.41,24.6,960.76,90,10.00,33.90,000,22.8,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.27,08-06-2019,01:00:00,0.00,1004.31,24.0,958.67,95,10.00,31.80,000,23.1,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.46,08-06-2019,01:00:00,0.00,1003.18,24.5,965.54,99,5.00,22.70,000,24.3,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.76,08-06-2019,01:00:00,0.00,1004.72,24.0,959.51,93,10.00,6.50,170,22.8,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.32,08-06-2019,01:00:00,0.00,1005.59,25.0,978.81,96,6.00,18.60,000,24.3,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.40,08-06-2019,01:00:00,0.00,1004.81,24.9,983.00,97,10.00,11.60,000,24.3,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.41,08-06-2019,01:00:00,0.70,1004.47,24.5,980.29,96,6.00,23.60,000,23.8,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.64,08-06-2019,01:00:00,0.01,1004.10,24.8,969.55,92,10.00,18.30,000,23.3,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.32,08-06-2019,01:00:00,0.60,1004.99,25.0,977.40,96,7.00,53.40,000,24.3,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,29.69,08-06-2019,01:00:00,0.10,1004.27,24.8,970.66,95,9.00,21.80,000,23.9,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.52,08-06-2019,01:00:00,0.00,1004.83,25.0,986.27,93,10.00,4.60,270,23.8,5.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.48,08-06-2019,01:00:00,1.40,1005.18,24.8,982.28,97,10.00,7.50,000,24.4,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.07,08-06-2019,01:00:00,0.00,1005.52,24.6,975.52,94,6.00,9.00,000,23.6,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,29.93,08-06-2019,01:00:00,0.20,1003.63,24.5,968.05,97,2.00,38.20,000,24.1,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,30.85,08-06-2019,01:00:00,0.60,1004.74,25.0,974.97,97,8.00,3.80,000,24.6,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.92,08-06-2019,01:00:00,0.40,1005.78,25.9,998.46,93,7.00,9.70,000,24.6,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.19,08-06-2019,01:00:00,0.00,1005.02,26.5,985.14,96,11.00,3.00,000,25.8,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,30.84,08-06-2019,01:00:00,0.10,1005.18,26.0,976.53,92,10.00,2.40,000,24.6,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.38,08-06-2019,01:00:00,0.00,1005.50,26.0,985.31,93,10.00,1.30,000,24.8,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.20,08-06-2019,01:00:00,0.00,1005.82,26.0,984.06,96,10.00,48.00,000,25.3,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.63,08-06-2019,01:00:00,0.00,1004.99,25.7,985.47,96,10.00,29.40,000,25.0,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.00,08-06-2019,01:00:00,0.01,1005.57,25.0,988.75,92,10.00,0.01,330,23.5,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.32,08-06-2019,01:00:00,1.30,1005.74,25.0,988.25,96,10.00,1.40,000,24.3,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.51,08-06-2019,01:00:00,0.50,1003.61,26.4,977.89,89,9.00,0.50,110,24.4,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.51,08-06-2019,01:00:00,0.01,1005.11,26.1,999.32,99,8.00,17.50,000,25.9,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.08,08-06-2019,01:00:00,0.00,1004.11,25.7,997.91,94,7.00,15.10,000,24.7,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.66,08-06-2019,01:00:00,0.00,1006.08,25.8,989.60,89,8.00,3.80,000,23.9,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.25,08-06-2019,01:00:00,8.30,1004.15,23.7,981.65,93,7.00,37.70,210,22.5,5.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,31.25,08-06-2019,01:00:00,3.80,1004.96,25.5,990.53,96,8.00,10.10,000,24.8,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,30.02,08-06-2019,01:00:00,2.90,1005.08,24.4,988.59,98,6.00,13.80,000,24.1,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.97,08-06-2019,01:00:00,0.01,1005.34,27.3,1000.13,88,7.00,4.70,160,25.2,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.67,08-06-2019,01:00:00,0.00,1004.36,26.2,991.17,90,10.00,6.50,000,24.5,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.35,08-06-2019,01:00:00,0.40,1004.84,26.5,995.52,93,2.00,5.20,000,25.4,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.84,08-06-2019,01:00:00,0.00,1005.53,26.8,983.87,82,10.00,0.01,000,23.4,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.34,08-06-2019,01:00:00,0.00,1003.24,26.6,985.78,87,12.00,0.00,200,24.3,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.66,08-06-2019,01:00:00,38.00,1005.48,23.5,989.48,96,6.00,38.00,000,22.8,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.46,08-06-2019,01:00:00,0.00,1004.59,26.9,985.75,89,8.00,0.40,000,24.9,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.76,08-06-2019,01:00:00,3.50,1005.75,22.8,954.11,93,4.00,15.50,000,21.6,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.53,08-06-2019,01:00:00,0.10,1004.85,26.7,1000.90,87,7.00,0.10,180,24.4,16.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.34,08-06-2019,01:00:00,9.00,1005.54,20.3,910.22,98,2.50,27.40,000,20.0,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.60,08-06-2019,01:00:00,0.50,1005.27,25.4,989.23,97,6.00,2.50,000,25.0,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,34.24,08-06-2019,01:00:00,1.40,1006.38,26.6,1002.35,98,8.00,1.60,300,26.3,1.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.86,08-06-2019,01:00:00,0.00,1006.68,26.2,995.98,88,8.00,0.60,000,24.0,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.43,08-06-2019,01:00:00,0.00,1006.26,26.5,1004.32,88,9.00,1.50,190,24.3,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.47,08-06-2019,01:00:00,0.00,1001.51,27.5,980.80,75,10.00,0.00,260,22.6,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.01,08-06-2019,01:00:00,0.00,1005.01,25.7,987.31,91,10.00,0.00,000,24.1,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.05,08-06-2019,01:00:00,0.00,1004.85,26.3,988.69,88,10.00,0.00,000,24.1,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.53,08-06-2019,01:00:00,0.00,1005.49,27.7,991.51,82,10.00,0.00,000,24.4,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.63,08-06-2019,01:00:00,0.00,1006.03,26.7,991.20,90,8.00,0.00,000,25.0,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.46,08-06-2019,01:00:00,0.00,1005.59,26.9,990.93,89,10.00,0.00,200,24.9,5.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.00,08-06-2019,01:00:00,0.20,1005.41,26.8,1002.39,88,8.00,0.90,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.6,0.0
