WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,MinimumTemperature,Rainfall,LandVisibility,StationPressure,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,AirTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-06-2019,07:00:00,0.0,22.9,0.10,4.00,973.01,23.9,1003.95,13.20,95,24.8,29.69
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,100,08-06-2019,07:00:00,3.7,17.9,0.60,.30,841.63,17.7,1002.58,16.50,98,18.0,20.20
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,08-06-2019,07:00:00,0.0,24.3,0.00,12.00,961.36,23.1,1005.02,3.00,91,24.7,28.21
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-06-2019,07:00:00,0.0,22.8,0.00,12.00,959.33,22.8,1005.10,2.60,96,23.4,27.75
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-06-2019,07:00:00,0.0,22.5,6.70,6.00,967.70,22.8,1005.61,25.10,99,23.0,27.82
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,150,08-06-2019,07:00:00,5.6,23.5,0.00,10.00,959.74,23.6,1004.85,1.40,93,24.8,29.16
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,08-06-2019,07:00:00,0.0,24.0,1.40,5.00,979.23,23.6,1006.09,17.00,97,24.2,29.13
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-06-2019,07:00:00,0.0,24.3,0.40,10.00,983.40,23.8,1005.25,1.50,97,24.4,29.49
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-06-2019,07:00:00,0.0,22.0,2.40,5.00,980.49,23.1,1004.72,22.40,95,24.0,28.27
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-06-2019,07:00:00,0.0,23.9,0.00,10.00,970.10,23.5,1004.70,18.30,94,24.5,28.89
