WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,WindSpeed,Rainfall,DewPoint,MeanSeaLevelPressure,StationPressure,WindDirection,AirTemperature,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,94,08-06-2019,10:00:00,10.00,0.0,0.00,27.2,1004.14,973.54,000,28.3,36.04,11.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,08-06-2019,10:00:00,.30,5.6,0.00,18.5,1003.40,842.67,110,18.7,21.33,11.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,80,08-06-2019,10:00:00,12.00,7.4,0.00,23.5,1005.03,961.73,140,27.3,28.96,1.50
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,82,08-06-2019,10:00:00,15.00,0.0,0.00,23.4,1005.06,959.80,000,26.8,28.84,1.80
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,90,08-06-2019,10:00:00,7.00,0.0,0.00,24.3,1006.60,969.02,000,26.0,30.30,23.40
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,74,08-06-2019,10:00:00,10.00,9.3,0.00,23.7,1004.76,960.25,160,28.8,29.35,1.30
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,89,08-06-2019,10:00:00,7.00,0.0,6.50,24.9,1006.75,980.10,000,26.9,31.46,21.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,84,08-06-2019,10:00:00,10.00,3.7,0.00,24.7,1005.93,984.29,350,27.7,31.08,1.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,88,08-06-2019,10:00:00,5.00,0.0,3.10,23.4,1005.50,981.39,000,25.6,28.77,22.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,77,08-06-2019,10:00:00,10.00,3.7,0.00,23.4,1005.23,970.98,210,27.8,28.82,11.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,78,08-06-2019,10:00:00,10.00,0.0,0.00,24.7,1005.63,978.38,000,29.0,31.13,6.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,78,08-06-2019,10:00:00,10.00,0.0,0.00,24.8,1004.58,971.41,000,28.9,31.21,3.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,81,08-06-2019,10:00:00,15.00,11.1,0.10,24.6,1005.62,987.25,250,28.2,30.95,4.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,81,08-06-2019,10:00:00,10.00,0.0,0.40,24.2,1006.16,983.45,000,27.7,30.26,5.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,89,08-06-2019,10:00:00,7.00,3.7,0.90,23.9,1006.52,976.61,260,25.9,29.58,6.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,79,08-06-2019,10:00:00,6.00,0.0,0.20,24.6,1005.27,970.11,000,28.6,30.90,11.80
