WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,MeanSeaLevelPressure,WindDirection,VaporPressure,StationPressure,WindSpeed,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,9.00,08-06-2019,13:00:00,25.1,1004.07,000,31.95,973.44,0.0,2.70,85,13.80,28.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,.30,08-06-2019,13:00:00,19.8,1001.81,000,23.12,842.11,0.0,0.50,97,10.00,20.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,08-06-2019,13:00:00,23.4,1003.24,160,28.70,960.48,7.4,0.10,65,0.90,30.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,08-06-2019,13:00:00,22.5,1003.18,000,27.27,958.62,0.0,0.00,61,1.80,31.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10.00,08-06-2019,13:00:00,24.3,1004.69,000,30.31,967.66,0.0,0.00,71,20.70,30.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,08-06-2019,13:00:00,23.6,1003.84,200,29.09,959.65,5.6,0.00,66,1.20,30.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,08-06-2019,13:00:00,25.1,1005.00,180,31.88,978.71,3.7,0.00,73,19.20,30.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,8.00,08-06-2019,13:00:00,23.7,1005.47,270,29.30,983.88,5.6,0.01,77,1.00,28.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,08-06-2019,13:00:00,24.6,1004.72,000,30.97,980.69,0.0,1.00,89,15.50,26.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-06-2019,13:00:00,23.8,1004.55,220,29.50,970.60,5.6,0.00,68,6.70,30.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-06-2019,13:00:00,23.7,1005.03,000,29.30,977.91,0.0,0.00,68,5.10,30.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-06-2019,13:00:00,24.0,1004.41,000,29.88,971.31,0.0,0.00,72,1.80,29.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,15.00,08-06-2019,13:00:00,23.5,1004.61,280,29.01,986.42,9.3,0.00,65,4.00,30.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-06-2019,13:00:00,23.6,1004.60,000,29.17,982.16,0.0,0.00,66,4.80,30.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,9.00,08-06-2019,13:00:00,24.3,1004.81,000,30.31,975.35,0.0,0.00,71,4.00,30.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,08-06-2019,13:00:00,23.9,1004.83,000,29.68,969.78,0.0,0.20,72,1.80,29.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,17.00,08-06-2019,13:00:00,25.4,1003.74,080,32.34,974.57,5.6,0.00,72,2.30,31.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,08-06-2019,13:00:00,23.7,1005.16,000,29.32,997.97,0.0,0.00,65,27.80,31.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,15.00,08-06-2019,13:00:00,25.1,1003.34,200,31.94,983.86,5.6,0.00,66,3.00,32.2
48353,LOEI,เลย,เลย,17.45000,101.73333,17.00,08-06-2019,13:00:00,23.9,1003.87,140,29.63,975.76,5.6,0.00,64,1.10,31.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,08-06-2019,13:00:00,24.4,1004.27,280,30.48,984.51,9.3,0.00,63,1.30,32.2
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,15.00,08-06-2019,13:00:00,24.9,1003.71,310,31.52,982.42,3.7,0.00,66,48.00,32.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,08-06-2019,13:00:00,24.5,1003.65,050,30.65,984.55,7.4,0.00,64,29.40,32.0
