WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,DewPoint,Rainfall,MaximumTemperature,LandVisibility,StationPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,84,08-06-2019,19:00:00,12.90,24.5,0.01,30.1,10.00,972.60,0.0,27.5,30.70,000,1003.25
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,98,08-06-2019,19:00:00,17.90,18.9,0.00,21.3,8.00,842.21,0.0,19.2,21.79,000,1002.57
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,86,08-06-2019,19:00:00,10.30,24.7,5.00,32.5,10.00,959.65,0.0,27.3,31.14,000,1002.86
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,87,08-06-2019,19:00:00,0.00,24.3,0.00,31.4,15.00,957.75,0.0,26.6,30.34,000,1002.94
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,92,08-06-2019,19:00:00,20.80,25.6,0.20,30.5,8.00,966.87,0.0,27.0,32.77,000,1004.24
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,78,08-06-2019,19:00:00,0.00,23.2,0.00,32.5,12.00,958.41,5.6,27.3,28.43,180,1003.06
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,79,08-06-2019,19:00:00,17.10,25.8,0.00,32.3,12.00,977.14,0.0,29.9,33.25,000,1003.44
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,82,08-06-2019,19:00:00,0.40,24.0,0.01,29.7,10.00,982.77,0.0,27.3,29.77,000,1004.40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,94,08-06-2019,19:00:00,17.00,24.2,6.50,27.5,5.00,980.49,0.0,25.2,30.15,000,1004.62
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,77,08-06-2019,19:00:00,0.60,23.6,0.00,30.7,10.00,969.80,0.0,28.0,29.19,000,1003.99
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,76,08-06-2019,19:00:00,5.10,23.5,0.00,31.5,10.00,976.82,0.0,28.2,29.03,000,1004.10
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,88,08-06-2019,19:00:00,2.00,25.4,0.30,30.5,10.00,970.22,0.0,27.5,32.36,000,1003.51
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,82,08-06-2019,19:00:00,4.00,24.9,0.00,31.9,15.00,985.55,0.0,28.2,31.51,000,1003.90
48331,NAN,น่าน,น่าน,18.77972,100.77778,71,08-06-2019,19:00:00,3.70,24.2,0.00,34.0,10.00,980.96,0.0,30.1,30.22,000,1003.43
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,73,08-06-2019,19:00:00,2.90,24.5,0.00,31.9,10.00,973.73,0.0,29.9,30.67,000,1003.15
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,89,08-06-2019,19:00:00,2.20,25.2,0.00,29.8,6.00,970.17,0.0,27.2,32.05,000,1005.49
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,67,08-06-2019,19:00:00,2.30,21.8,0.00,33.8,15.00,974.04,0.0,28.5,26.13,000,1003.43
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,78,08-06-2019,19:00:00,27.80,24.7,0.00,33.5,10.00,996.62,0.0,29.0,31.13,000,1003.86
