WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,MeanSeaLevelPressure,WindSpeed,AirTemperature,VaporPressure,RelativeHumidity,DewPoint,WindDirection,Rainfall,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,08-07-2019,04:00:00,5.00,1005.57,0.0,24.7,28.98,93,23.5,000,3.20,974.57
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,15.50,08-07-2019,04:00:00,8.00,1004.08,7.4,18.0,20.20,98,17.7,290,0.00,842.89
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.30,08-07-2019,04:00:00,12.00,1004.57,0.0,25.2,29.36,92,23.7,000,0.00,960.99
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-07-2019,04:00:00,12.00,1004.46,0.0,24.6,28.81,93,23.4,000,0.00,958.90
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,7.10,08-07-2019,04:00:00,5.00,1003.14,0.0,23.5,28.68,99,23.3,000,0.00,965.38
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-07-2019,04:00:00,10.00,1005.01,7.4,25.0,29.52,93,23.8,110,0.00,959.93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.90,08-07-2019,04:00:00,7.00,1005.33,0.0,25.5,30.17,93,24.2,000,0.00,978.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,4.50,08-07-2019,04:00:00,7.00,1006.12,0.0,24.6,30.38,98,24.3,000,2.30,984.26
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.80,08-07-2019,04:00:00,4.00,1006.41,0.0,23.7,28.77,98,23.4,000,5.80,982.12
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.40,08-07-2019,04:00:00,10.00,1006.19,3.7,24.8,27.61,88,22.7,230,0.10,971.57
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-07-2019,04:00:00,10.00,1006.96,0.0,24.8,29.16,93,23.6,000,0.00,979.30
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.70,08-07-2019,04:00:00,6.00,1005.68,0.0,24.5,29.41,96,23.8,000,0.10,971.99
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.30,08-07-2019,04:00:00,10.00,1005.38,3.7,25.8,29.13,88,23.6,260,0.00,986.87
48331,NAN,น่าน,น่าน,18.77972,100.77778,2.30,08-07-2019,04:00:00,10.00,1005.47,0.0,25.8,31.00,93,24.6,000,0.00,982.64
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,2.30,08-07-2019,04:00:00,7.00,1005.57,0.0,24.1,28.44,95,23.2,000,0.00,975.52
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,2.20,08-07-2019,04:00:00,5.00,1005.59,0.0,24.4,29.49,97,23.8,000,0.60,969.93
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1.70,08-07-2019,04:00:00,10.00,1004.22,0.0,24.8,26.85,86,22.3,000,0.00,974.44
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,4.60,08-07-2019,04:00:00,8.00,1005.19,0.0,26.5,29.08,84,23.6,000,0.00,997.89
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-07-2019,04:00:00,10.00,1003.80,0.0,26.8,29.37,83,23.7,000,0.00,983.97
48353,LOEI,เลย,เลย,17.45000,101.73333,0.20,08-07-2019,04:00:00,10.00,1004.32,0.0,26.8,26.23,74,21.9,000,0.00,975.77
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-07-2019,04:00:00,12.00,1004.16,1.9,26.6,29.80,86,24.0,280,0.00,984.03
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-07-2019,04:00:00,12.00,1004.03,0.0,26.1,30.76,91,24.5,000,0.00,982.32
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.70,08-07-2019,04:00:00,10.00,1003.59,0.0,26.4,31.88,93,25.1,000,0.70,984.14
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,2.00,08-07-2019,04:00:00,10.00,1003.99,0.0,26.5,32.35,93,25.4,000,0.00,987.27
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1.50,08-07-2019,04:00:00,10.00,1004.27,0.0,24.8,29.95,96,24.1,000,0.00,986.79
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.60,08-07-2019,04:00:00,10.00,1003.56,0.0,25.2,30.15,94,24.2,000,0.00,977.74
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,4.50,08-07-2019,04:00:00,8.00,1006.13,0.0,25.4,31.87,98,25.1,000,2.10,1000.31
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,6.90,08-07-2019,04:00:00,10.00,1005.66,0.0,25.3,31.41,97,24.9,000,1.00,999.45
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1.70,08-07-2019,04:00:00,8.00,1005.94,0.0,26.2,30.67,90,24.5,000,0.00,989.48
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.90,08-07-2019,04:00:00,6.00,1005.12,0.0,23.5,27.66,96,22.8,000,2.10,982.58
48376,TAK,ตาก,ตาก,16.87833,99.14333,14.60,08-07-2019,04:00:00,4.00,1006.22,0.0,24.8,29.69,95,23.9,000,4.50,991.74
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,17.70,08-07-2019,04:00:00,6.00,1005.91,0.0,24.2,29.66,98,23.9,000,2.70,989.40
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.60,08-07-2019,04:00:00,8.00,1005.93,0.0,26.9,32.30,91,25.3,000,0.01,1000.71
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.60,08-07-2019,04:00:00,10.00,1004.09,0.0,26.2,30.67,90,24.5,000,0.00,990.90
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.60,08-07-2019,04:00:00,7.00,1005.96,0.0,25.6,31.98,97,25.2,000,1.10,996.61
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-07-2019,04:00:00,9.00,1004.52,1.9,27.3,27.90,77,22.9,190,0.00,982.92
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-07-2019,04:00:00,10.00,1003.93,0.0,26.0,28.18,84,23.1,000,0.00,986.43
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.50,08-07-2019,04:00:00,10.00,1002.73,0.0,26.5,31.79,92,25.1,000,0.00,986.94
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-07-2019,04:00:00,8.00,1003.65,5.6,27.5,28.00,76,22.9,250,0.00,984.86
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.80,08-07-2019,04:00:00,4.00,1009.12,0.0,22.2,25.77,96,21.6,000,4.00,957.21
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.10,08-07-2019,04:00:00,7.00,1005.55,5.6,26.4,31.88,93,25.1,190,0.00,1001.59
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,17.10,08-07-2019,04:00:00,2.50,1006.67,9.3,20.9,23.54,95,20.1,220,0.80,911.43
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.10,08-07-2019,04:00:00,5.00,1004.50,0.0,25.9,31.46,94,24.9,000,0.00,988.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,4.00,08-07-2019,04:00:00,8.00,1005.86,3.7,26.6,31.71,91,25.0,190,0.00,1001.83
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-07-2019,04:00:00,7.00,1007.47,0.0,25.5,29.91,92,24.0,000,0.00,996.74
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-07-2019,04:00:00,7.00,1006.74,3.7,26.0,29.50,88,23.8,180,0.00,1004.81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-07-2019,04:00:00,10.00,1005.51,9.3,26.8,28.31,80,23.1,240,0.00,984.67
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1.20,08-07-2019,04:00:00,10.00,1004.32,0.0,25.9,29.58,89,23.9,000,0.00,986.64
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,3.80,08-07-2019,04:00:00,10.00,1004.04,0.0,26.3,31.96,93,25.1,000,0.00,987.89
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1.60,08-07-2019,04:00:00,10.00,1004.58,5.6,26.5,30.16,87,24.2,240,0.50,990.56
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.00,08-07-2019,04:00:00,8.00,1005.24,0.0,25.8,30.46,92,24.3,000,0.00,990.38
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,2.60,08-07-2019,04:00:00,6.00,1005.29,3.7,26.0,32.20,96,25.3,240,1.00,990.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.10,08-07-2019,04:00:00,10.00,1006.09,0.0,26.4,30.78,89,24.5,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1003.07
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-07-2019,04:00:00,7.00,1005.89,0.0,26.7,29.45,84,23.8,000,0.00,997.94
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.60,08-07-2019,04:00:00,6.00,1006.42,13.0,26.7,31.63,90,25.0,210,0.20,1005.31
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,18.10,08-07-2019,04:00:00,8.00,1005.60,0.0,26.1,28.88,85,23.5,000,0.00,990.89
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,15.00,08-07-2019,04:00:00,.05,1007.99,7.4,19.0,21.73,99,18.8,270,1.40,872.66
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.01,08-07-2019,04:00:00,10.00,1006.38,7.4,26.6,30.62,88,24.4,220,0.00,1000.50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.40,08-07-2019,04:00:00,8.00,1007.15,5.6,26.3,31.96,93,25.1,230,0.20,1006.35
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,3.20,08-07-2019,04:00:00,5.00,1004.80,0.0,27.3,31.41,87,24.9,000,0.40,1004.36
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.80,08-07-2019,04:00:00,3.00,1008.02,0.0,23.9,28.35,96,23.2,000,0.00,996.59
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,16.30,08-07-2019,04:00:00,10.00,1007.06,3.7,25.8,30.19,91,24.2,180,0.00,1006.04
