WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,WindSpeed,Rainfall,DewPoint,VaporPressure,AirTemperature,RelativeHumidity,StationPressure,Rainfall24Hr,MinimumTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-07-2019,07:00:00,1005.58,0.0,0.40,23.9,29.59,24.6,96,974.57,6.30,22.6,5.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,08-07-2019,07:00:00,1003.76,5.6,0.00,17.7,20.24,18.2,97,842.72,14.90,18.0,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,170,08-07-2019,07:00:00,1004.68,1.9,0.00,23.8,29.46,25.4,91,961.13,10.30,24.6,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-07-2019,07:00:00,1004.60,0.0,0.00,23.6,29.16,24.8,93,959.06,0.00,23.4,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-07-2019,07:00:00,1006.21,0.0,0.00,24.8,31.39,25.0,99,968.52,0.40,22.5,7.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,08-07-2019,07:00:00,1005.34,0.0,0.00,23.0,28.13,24.8,90,960.21,0.00,23.8,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,08-07-2019,07:00:00,1005.92,0.0,0.00,24.2,30.28,25.7,92,979.19,6.50,25.3,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-07-2019,07:00:00,1006.03,0.0,1.20,24.0,29.77,24.7,96,984.18,5.30,24.4,5.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-07-2019,07:00:00,1006.48,0.0,2.40,23.3,28.61,23.9,97,982.20,25.80,23.0,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-07-2019,07:00:00,1005.70,0.0,0.20,23.2,28.36,24.2,94,971.03,0.60,24.0,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-07-2019,07:00:00,1006.95,0.0,0.50,24.0,29.85,24.6,97,979.27,0.50,24.0,8.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-07-2019,07:00:00,1005.53,0.0,0.50,23.9,29.66,24.2,98,971.80,1.20,23.0,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,270,08-07-2019,07:00:00,1005.25,1.9,0.00,24.1,30.09,25.6,92,986.72,0.10,25.4,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-07-2019,07:00:00,1005.61,0.0,0.00,24.2,30.17,25.5,93,982.75,0.40,24.9,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-07-2019,07:00:00,1005.57,0.0,0.00,23.9,29.69,24.8,95,975.58,0.90,24.0,9.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-07-2019,07:00:00,1005.89,0.0,0.20,23.6,29.13,24.2,97,970.20,2.40,24.0,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-07-2019,07:00:00,1004.64,0.0,0.00,23.5,29.00,25.0,92,974.87,0.80,24.1,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-07-2019,07:00:00,1005.49,0.0,0.00,23.7,29.31,25.9,88,998.17,0.90,25.7,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,08-07-2019,07:00:00,1004.24,0.0,0.00,24.8,31.27,26.8,89,984.40,0.00,26.5,13.00
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-07-2019,07:00:00,1004.90,0.0,0.00,22.6,27.40,26.0,82,976.25,0.20,25.4,10.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,250,08-07-2019,07:00:00,1004.50,9.3,0.00,23.8,29.52,27.6,80,984.43,0.00,25.4,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-07-2019,07:00:00,1004.96,0.0,0.00,23.0,28.11,26.4,82,983.25,0.00,25.5,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,260,08-07-2019,07:00:00,1004.09,3.7,0.00,23.7,29.37,26.8,83,984.66,0.70,25.3,15.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-07-2019,07:00:00,1004.50,0.0,0.00,25.8,33.17,27.9,88,987.86,2.00,25.8,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-07-2019,07:00:00,1004.84,0.0,0.00,25.8,33.19,26.5,96,987.45,3.00,24.5,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,260,08-07-2019,07:00:00,1004.15,3.7,0.00,24.4,30.60,25.3,95,978.32,0.60,25.0,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,08-07-2019,07:00:00,1005.21,0.0,0.40,25.5,32.62,25.5,100,999.40,4.40,23.1,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-07-2019,07:00:00,1005.59,0.0,0.40,24.5,30.73,24.5,100,999.36,7.10,24.5,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-07-2019,07:00:00,1006.12,0.0,0.00,23.8,29.50,26.0,88,989.65,0.00,25.0,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,120,08-07-2019,07:00:00,1005.47,3.7,1.30,22.8,27.66,23.5,96,982.93,26.00,23.0,7.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-07-2019,07:00:00,1006.34,0.0,5.00,23.8,29.41,24.5,96,991.84,18.80,24.0,4.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-07-2019,07:00:00,1005.77,0.0,2.70,23.8,29.41,24.5,96,989.27,18.90,23.6,6.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,08-07-2019,07:00:00,1005.97,0.0,0.60,25.7,32.99,26.4,96,1000.73,0.80,25.6,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-07-2019,07:00:00,1004.33,0.0,0.00,24.4,30.57,26.0,91,991.13,0.20,25.4,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,08-07-2019,07:00:00,1005.94,0.0,1.20,25.1,31.79,25.5,97,996.58,2.60,25.1,6.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,230,08-07-2019,07:00:00,1004.78,9.3,0.00,22.9,27.88,27.0,78,983.14,0.00,26.1,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,200,08-07-2019,07:00:00,1004.21,9.3,0.00,22.5,27.19,27.2,75,986.77,0.00,25.2,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,210,08-07-2019,07:00:00,1003.80,3.7,0.00,24.3,30.43,26.5,88,987.99,3.40,25.6,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,08-07-2019,07:00:00,1003.90,0.0,0.00,23.2,28.35,27.4,78,985.11,0.00,26.2,10.00
