WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall24Hr,DewPoint,WindSpeed,StationPressure,MaximumTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,08-07-2019,19:00:00,32.07,11.60,25.2,0.0,972.98,29.8,1.50,000,1003.75,26.5,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,95,08-07-2019,19:00:00,21.54,4.40,18.7,9.3,841.43,21.3,0.40,270,1001.46,19.5,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,66,08-07-2019,19:00:00,27.71,3.10,22.8,5.6,958.24,32.4,0.00,230,1001.02,29.8,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,71,08-07-2019,19:00:00,28.00,0.00,22.9,0.0,956.27,32.2,0.00,000,1001.06,28.8,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,84,08-07-2019,19:00:00,30.02,0.00,24.1,0.0,965.87,33.0,0.00,000,1003.21,27.0,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,83,08-07-2019,19:00:00,32.10,0.20,25.2,5.6,957.76,32.0,0.00,210,1002.20,28.5,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,81,08-07-2019,19:00:00,32.96,0.01,25.7,0.0,976.41,32.9,0.00,000,1002.75,29.2,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,89,08-07-2019,19:00:00,29.39,6.70,23.8,1.9,982.37,30.4,0.80,140,1004.10,25.8,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,97,08-07-2019,19:00:00,29.93,22.10,24.1,0.0,981.20,28.0,3.60,000,1005.41,24.5,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,80,08-07-2019,19:00:00,29.52,0.60,23.8,5.6,968.77,30.5,0.01,210,1002.96,27.6,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,80,08-07-2019,19:00:00,30.48,0.70,24.4,0.0,976.22,31.0,0.00,000,1003.49,28.1,10.00
