WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindSpeed,AirTemperature,LandVisibility,MeanSeaLevelPressure,Rainfall,Rainfall24Hr,RelativeHumidity,DewPoint,WindDirection,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.79,08-08-2019,01:00:00,0.0,25.0,8.00,1005.50,0.00,11.90,94,24.0,000,974.53
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.63,08-08-2019,01:00:00,18.5,18.5,8.00,1002.99,0.00,4.80,97,18.0,270,842.23
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.98,08-08-2019,01:00:00,3.7,26.3,10.00,1003.80,0.00,3.10,85,23.5,260,960.42
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.74,08-08-2019,01:00:00,0.0,25.7,12.00,1003.67,0.00,0.00,90,23.9,000,958.31
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.41,08-08-2019,01:00:00,0.0,24.5,7.00,1002.67,0.00,0.00,96,23.8,000,965.05
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.97,08-08-2019,01:00:00,5.6,26.0,8.00,1003.96,0.00,0.20,86,23.5,150,959.08
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.83,08-08-2019,01:00:00,0.0,27.0,7.00,1004.73,0.00,0.01,87,24.5,000,978.15
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.13,08-08-2019,01:00:00,0.0,24.2,10.00,1005.98,2.00,8.10,97,23.6,000,984.09
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.04,08-08-2019,01:00:00,0.0,24.0,5.00,1006.86,3.50,27.40,97,23.6,000,982.58
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.99,08-08-2019,01:00:00,0.0,25.6,10.00,1005.14,0.00,0.30,85,22.9,000,970.64
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.50,08-08-2019,01:00:00,0.0,26.0,10.00,1006.17,0.00,0.70,88,23.8,000,978.64
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.07,08-08-2019,01:00:00,0.0,25.5,10.00,1005.05,0.00,0.60,86,23.0,000,971.49
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.33,08-08-2019,01:00:00,0.0,26.2,10.00,1004.63,0.00,0.60,86,23.7,000,986.15
