WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,Rainfall24Hr,RelativeHumidity,LandVisibility,WindSpeed,WindDirection,MeanSeaLevelPressure,AirTemperature,DewPoint,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.60,08-08-2019,10:00:00,30.67,9.20,85,10.00,0.0,000,1006.70,27.2,24.5,975.91
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-08-2019,10:00:00,20.89,5.10,88,8.00,22.2,270,1003.36,20.3,18.2,843.42
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-08-2019,10:00:00,29.33,3.10,71,12.00,0.0,000,1004.11,29.5,23.7,961.16
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-08-2019,10:00:00,28.78,0.00,74,15.00,0.0,000,1005.01,28.5,23.4,960.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-08-2019,10:00:00,31.95,0.00,85,10.00,0.0,000,1005.66,28.0,25.1,968.36
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-08-2019,10:00:00,28.50,0.20,65,12.00,5.6,120,1004.76,30.5,23.2,960.48
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-08-2019,10:00:00,30.32,0.01,74,12.00,3.7,160,1005.66,29.3,24.3,979.25
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-08-2019,10:00:00,29.63,4.30,79,15.00,1.9,280,1006.12,27.8,23.9,984.49
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.20,08-08-2019,10:00:00,30.02,19.50,84,6.00,0.0,000,1007.33,27.0,24.1,983.27
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,08-08-2019,10:00:00,28.09,0.01,66,10.00,3.7,030,1005.55,30.0,23.0,971.53
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-08-2019,10:00:00,29.11,0.00,72,10.00,0.0,000,1006.09,29.1,23.6,978.84
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.01,08-08-2019,10:00:00,29.08,0.01,69,12.00,0.0,000,1005.68,29.8,23.6,972.57
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-08-2019,10:00:00,28.70,0.60,73,12.00,1.9,270,1005.72,28.6,23.4,987.37
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-08-2019,10:00:00,28.70,0.01,65,10.00,0.0,000,1005.14,30.6,23.4,982.68
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-08-2019,10:00:00,28.78,0.00,66,12.00,0.0,000,1005.09,30.5,23.4,975.67
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-08-2019,10:00:00,31.13,2.40,78,8.00,0.0,000,1005.50,29.0,24.7,970.38
