WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,MeanSeaLevelPressure,LandVisibility,DewPoint,AirTemperature,Rainfall24Hr,VaporPressure,Rainfall,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-09-2019,10:00:00,973.54,1004.20,10.00,25.7,27.7,11.10,33.05,0.00,0.0,89
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,280,08-09-2019,10:00:00,841.43,1001.70,.10,18.9,19.1,6.60,21.87,4.10,18.5,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,250,08-09-2019,10:00:00,958.64,1001.79,10.00,24.1,27.4,0.30,29.96,0.00,9.3,82
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-09-2019,10:00:00,957.39,1002.50,12.00,24.1,27.0,0.50,30.02,0.50,0.0,84
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-09-2019,10:00:00,964.90,1001.98,12.00,25.4,28.7,0.00,32.51,0.00,0.0,83
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,08-09-2019,10:00:00,958.07,1002.61,8.00,23.6,28.0,3.20,29.19,3.20,0.0,77
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,180,08-09-2019,10:00:00,976.07,1002.46,6.00,25.6,28.6,2.00,32.88,2.00,3.7,84
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,280,08-09-2019,10:00:00,982.37,1003.96,10.00,24.5,27.8,0.20,30.72,0.10,5.6,82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-09-2019,10:00:00,981.49,1005.49,6.00,24.1,27.0,1.30,30.02,0.30,0.0,84
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,340,08-09-2019,10:00:00,969.29,1003.34,10.00,24.7,29.0,0.00,31.13,0.00,3.7,78
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-09-2019,10:00:00,976.33,1003.60,10.00,24.6,28.0,0.10,30.84,0.10,0.0,82
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-09-2019,10:00:00,969.67,1002.72,10.00,24.6,29.5,0.40,31.00,0.01,0.0,75
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,260,08-09-2019,10:00:00,984.45,1002.77,15.00,25.1,28.1,0.40,31.87,0.40,9.3,84
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-09-2019,10:00:00,980.43,1003.02,6.00,25.8,28.3,1.00,33.12,1.00,0.0,86
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-09-2019,10:00:00,972.97,1002.63,8.00,24.8,27.2,1.00,31.22,1.00,0.0,87
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-09-2019,10:00:00,968.22,1003.38,6.00,25.4,28.0,0.80,32.52,0.20,0.0,86
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,270,08-09-2019,10:00:00,972.75,1002.25,3.00,25.4,27.0,2.00,32.49,2.00,3.7,91
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-09-2019,10:00:00,995.76,1003.04,7.00,25.6,27.0,7.40,32.77,6.70,0.0,92
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,08-09-2019,10:00:00,982.01,1001.86,6.00,25.6,26.0,14.30,32.76,14.20,0.0,98
48353,LOEI,เลย,เลย,17.45000,101.73333,330,08-09-2019,10:00:00,974.05,1002.53,5.00,24.1,27.0,0.40,30.02,0.40,7.4,84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,290,08-09-2019,10:00:00,981.92,1001.78,15.00,26.5,30.0,3.30,34.64,0.01,11.1,82
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,210,08-09-2019,10:00:00,981.33,1002.73,15.00,25.1,30.1,24.50,31.93,0.00,3.7,75
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,240,08-09-2019,10:00:00,982.47,1001.61,18.00,24.9,30.6,2.40,31.51,0.00,3.7,72
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-09-2019,10:00:00,986.17,1002.65,13.00,25.1,30.5,2.70,31.88,0.00,0.0,73
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,120,08-09-2019,10:00:00,985.49,1002.72,12.00,24.9,28.6,13.60,31.46,0.00,3.7,80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,110,08-09-2019,10:00:00,976.25,1001.73,9.00,26.6,28.7,1.00,34.82,0.80,3.7,88
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,280,08-09-2019,10:00:00,997.18,1002.92,10.00,26.4,28.2,1.90,34.36,1.60,11.1,90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-09-2019,10:00:00,997.41,1003.56,8.00,25.7,27.7,5.00,33.05,4.50,0.0,89
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-09-2019,10:00:00,987.06,1003.34,10.00,24.1,28.7,0.00,29.98,0.00,0.0,76
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,270,08-09-2019,10:00:00,981.75,1004.04,10.00,23.3,26.5,1.10,28.55,0.00,3.7,83
48376,TAK,ตาก,ตาก,16.87833,99.14333,270,08-09-2019,10:00:00,989.85,1004.10,10.00,23.2,29.0,1.40,28.37,0.00,13.0,71
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-09-2019,10:00:00,987.14,1003.24,8.00,24.1,31.1,0.00,29.96,0.00,0.0,66
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,340,08-09-2019,10:00:00,998.59,1003.74,10.00,25.2,30.0,0.00,32.01,0.00,5.6,75
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,120,08-09-2019,10:00:00,988.61,1001.58,12.00,25.0,30.7,0.00,31.72,0.00,3.7,72
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,340,08-09-2019,10:00:00,994.02,1003.22,12.00,24.9,29.9,0.01,31.52,0.00,5.6,75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,290,08-09-2019,10:00:00,980.78,1002.17,10.00,23.7,29.6,0.00,29.24,0.00,9.3,71
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,08-09-2019,10:00:00,985.04,1002.23,10.00,24.6,31.0,0.00,30.90,0.00,0.0,69
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,240,08-09-2019,10:00:00,985.75,1001.30,12.00,24.8,30.6,0.00,31.23,0.00,3.7,71
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,230,08-09-2019,10:00:00,982.36,1000.92,10.00,23.9,30.4,0.30,29.70,0.00,1.9,68
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-09-2019,10:00:00,953.95,1005.01,9.00,22.7,26.0,25.10,27.66,0.00,0.0,82
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,320,08-09-2019,10:00:00,999.18,1003.07,8.00,24.8,31.1,0.00,31.39,0.00,9.3,69
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,250,08-09-2019,10:00:00,910.66,1005.29,2.50,21.3,22.5,5.50,25.28,0.01,9.3,93
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,250,08-09-2019,10:00:00,986.39,1002.10,10.00,25.6,30.8,0.00,32.80,0.00,5.6,74
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-09-2019,10:00:00,999.83,1003.79,10.00,25.3,31.5,0.01,32.22,0.00,0.0,70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,120,08-09-2019,10:00:00,994.15,1004.78,9.00,24.6,27.5,0.00,30.97,0.00,3.7,84
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,210,08-09-2019,10:00:00,1002.37,1004.29,10.00,24.6,28.2,8.60,30.95,0.00,3.7,81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,300,08-09-2019,10:00:00,982.01,1002.48,12.00,22.5,31.3,0.00,27.30,0.00,5.6,60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,240,08-09-2019,10:00:00,984.46,1001.82,10.00,24.7,30.7,7.30,31.15,0.00,5.6,71
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,200,08-09-2019,10:00:00,985.79,1001.67,10.00,24.2,30.8,14.00,30.21,0.00,5.6,68
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,290,08-09-2019,10:00:00,988.96,1002.78,10.00,23.7,30.3,0.00,29.22,0.00,9.3,68
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,150,08-09-2019,10:00:00,988.69,1003.35,10.00,24.3,29.3,4.10,30.32,0.00,3.7,74
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,300,08-09-2019,10:00:00,988.34,1002.80,8.00,26.0,30.2,0.00,33.59,0.00,11.1,78
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-09-2019,10:00:00,1000.34,1003.33,7.00,26.1,29.2,3.90,33.83,0.20,0.0,83
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-09-2019,10:00:00,995.55,1003.40,10.00,24.5,29.8,0.00,30.75,0.00,0.0,73
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,230,08-09-2019,10:00:00,1002.94,1004.04,8.00,24.0,28.9,5.80,29.82,0.00,9.3,75
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-09-2019,10:00:00,988.92,1003.39,8.00,24.2,30.5,0.00,30.18,0.00,0.0,69
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,260,08-09-2019,10:00:00,870.90,1005.37,.10,19.9,20.2,13.40,23.20,0.00,5.6,98
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,08-09-2019,10:00:00,997.90,1003.71,10.00,25.0,29.6,0.40,31.77,0.00,0.0,77
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,000,08-09-2019,10:00:00,1003.71,1004.50,8.00,25.3,28.3,9.20,32.27,5.50,0.0,84
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-09-2019,10:00:00,1003.93,1004.37,10.00,25.4,30.5,1.90,32.46,0.10,16.7,74
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-09-2019,10:00:00,994.75,1005.99,4.00,24.7,28.3,18.30,31.14,0.00,0.0,81
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,08-09-2019,10:00:00,1003.49,1004.49,12.00,25.0,29.8,1.00,31.60,0.30,0.0,75
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,08-09-2019,10:00:00,1002.76,1004.57,9.00,24.3,28.2,10.30,30.40,0.00,0.0,80
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-09-2019,10:00:00,1003.61,1004.37,8.00,24.7,28.3,3.40,31.14,0.50,0.0,81
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,260,08-09-2019,10:00:00,1003.89,1004.59,10.00,23.7,29.9,2.20,29.27,0.00,20.4,69
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,250,08-09-2019,10:00:00,1003.53,1004.23,7.00,24.0,29.6,0.80,29.80,0.00,3.7,72
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,290,08-09-2019,10:00:00,981.93,1002.63,12.00,22.2,32.3,0.01,26.75,0.00,11.1,55
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,240,08-09-2019,10:00:00,986.57,1003.01,11.00,23.1,30.8,0.00,28.26,0.00,9.3,64
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,270,08-09-2019,10:00:00,987.18,1003.36,9.00,23.2,30.6,0.00,28.42,0.00,5.6,65
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,270,08-09-2019,10:00:00,981.36,1002.74,10.00,22.3,32.5,0.01,26.86,0.00,20.4,55
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,240,08-09-2019,10:00:00,961.13,1004.11,14.00,22.1,27.9,14.70,26.62,0.00,14.8,71
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,230,08-09-2019,10:00:00,982.47,1002.67,11.00,22.4,31.0,0.00,27.00,0.00,13.0,60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,250,08-09-2019,10:00:00,983.94,1004.47,9.00,24.5,30.4,0.00,30.82,0.00,16.7,71
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,000,08-09-2019,10:00:00,1004.62,1005.05,10.00,24.8,30.1,1.60,31.35,0.00,0.0,73
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-09-2019,10:00:00,1002.65,1004.05,10.00,24.7,29.0,0.40,31.13,0.00,0.0,78
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,260,08-09-2019,10:00:00,999.44,1004.31,9.00,25.1,30.1,0.00,31.93,0.00,3.7,75
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,220,08-09-2019,10:00:00,1001.46,1004.71,12.00,23.6,30.0,3.40,29.19,0.00,3.7,69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,260,08-09-2019,10:00:00,1003.56,1004.65,10.00,24.7,29.0,2.60,31.13,0.10,7.4,78
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,230,08-09-2019,10:00:00,1004.37,1004.66,10.00,24.3,31.0,0.60,30.33,0.20,11.1,68
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,270,08-09-2019,10:00:00,1003.65,1004.33,10.00,24.6,31.3,0.30,30.94,0.01,7.4,68
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,260,08-09-2019,10:00:00,1003.87,1004.35,10.00,24.1,30.4,0.30,29.98,0.00,7.4,69
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,240,08-09-2019,10:00:00,1003.21,1004.61,9.00,25.0,28.4,2.40,31.62,1.20,16.7,82
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,230,08-09-2019,10:00:00,1003.50,1005.16,10.00,25.0,30.0,0.00,31.72,0.00,14.8,75
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,08-09-2019,10:00:00,999.27,1007.20,12.00,24.4,30.0,0.00,30.59,0.00,5.6,72
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,300,08-09-2019,10:00:00,1004.19,1004.47,10.00,25.2,30.3,3.00,32.05,0.01,9.3,74
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,260,08-09-2019,10:00:00,1001.49,1004.58,10.00,24.9,30.3,0.00,31.48,0.00,5.6,73
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,08-09-2019,10:00:00,998.14,1005.00,10.00,25.2,30.0,0.00,32.01,0.00,0.0,75
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,260,08-09-2019,10:00:00,998.20,1003.70,8.00,22.5,31.4,0.00,27.21,0.00,14.8,59
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,270,08-09-2019,10:00:00,996.77,1005.99,10.00,25.4,29.8,0.80,32.46,0.00,13.0,77
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,08-09-2019,10:00:00,1004.35,1005.59,15.00,24.9,30.3,2.90,31.48,0.00,0.0,73
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,180,08-09-2019,10:00:00,1004.28,1004.70,11.00,24.4,31.4,7.50,30.57,0.00,7.4,67
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,270,08-09-2019,10:00:00,993.22,1005.34,10.00,23.8,29.7,1.00,29.44,0.00,7.4,71
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,240,08-09-2019,10:00:00,1004.32,1005.02,10.00,26.0,31.9,1.00,33.67,0.00,3.7,71
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,200,08-09-2019,10:00:00,1002.95,1005.34,10.00,25.5,32.4,0.30,32.66,0.00,11.1,67
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,250,08-09-2019,10:00:00,1004.54,1005.05,10.00,26.0,29.5,0.40,33.58,0.00,14.8,81
