WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,WindDirection,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,DewPoint,VaporPressure,StationPressure,Rainfall24Hr,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.0,08-09-2019,13:00:00,0.0,000,12.00,1002.17,80,26.1,33.75,971.80,11.10,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.1,08-09-2019,13:00:00,9.3,070,.10,1000.60,99,18.9,21.87,840.51,7.40,0.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.2,08-09-2019,13:00:00,9.3,240,12.00,1000.04,79,24.2,30.12,957.09,0.30,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.0,08-09-2019,13:00:00,0.0,000,12.00,1000.10,85,25.1,31.95,955.24,2.70,2.20
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,27.4,08-09-2019,13:00:00,0.0,000,6.00,1000.54,90,25.7,33.01,963.36,4.30,4.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.5,08-09-2019,13:00:00,7.4,200,8.00,1000.83,82,25.1,31.82,956.44,4.20,1.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,28.0,08-09-2019,13:00:00,3.7,180,7.00,1001.12,88,25.9,33.37,974.72,13.50,11.50
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.7,08-09-2019,13:00:00,3.7,220,10.00,1003.04,87,25.4,32.48,981.46,3.70,3.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.0,08-09-2019,13:00:00,0.0,000,8.00,1003.78,88,25.9,33.37,979.90,3.00,1.70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.9,08-09-2019,13:00:00,3.7,140,8.00,1001.65,66,23.9,29.56,967.86,0.01,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.5,08-09-2019,13:00:00,0.0,000,10.00,1001.88,73,25.1,31.88,974.87,0.10,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.5,08-09-2019,13:00:00,0.0,000,10.00,1001.20,66,24.4,30.49,968.41,0.40,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.2,08-09-2019,13:00:00,3.7,210,2.00,1002.25,94,26.1,33.74,983.87,4.50,4.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.2,08-09-2019,13:00:00,0.0,000,7.00,1001.17,94,25.2,32.04,978.47,17.00,16.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.0,08-09-2019,13:00:00,0.0,000,8.00,1000.85,90,25.3,32.21,971.21,19.80,18.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,29.6,08-09-2019,13:00:00,0.0,000,6.00,1001.44,82,26.2,34.08,966.53,1.00,0.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.5,08-09-2019,13:00:00,0.0,000,3.00,1001.26,98,25.2,32.07,971.64,11.20,9.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.5,08-09-2019,13:00:00,0.0,000,7.00,1002.46,92,26.1,33.78,995.20,11.40,4.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.2,08-09-2019,13:00:00,3.7,290,12.00,1000.14,78,26.0,33.59,980.59,14.60,0.30
48353,LOEI,เลย,เลย,17.45000,101.73333,26.3,08-09-2019,13:00:00,3.7,020,5.00,1001.04,92,24.9,31.41,972.53,10.20,9.80
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.0,08-09-2019,13:00:00,14.8,250,15.00,1000.74,73,25.7,32.93,980.97,3.30,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.8,08-09-2019,13:00:00,0.0,000,15.00,1001.07,63,24.9,31.44,979.89,24.50,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.1,08-09-2019,13:00:00,0.0,000,18.00,999.92,66,24.9,31.44,980.91,2.40,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.3,08-09-2019,13:00:00,3.7,050,14.00,1000.82,67,24.5,30.65,984.42,2.70,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,33.5,08-09-2019,13:00:00,3.7,260,12.00,1000.89,64,25.8,33.25,983.96,13.60,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.1,08-09-2019,13:00:00,7.4,300,9.00,1000.56,78,24.8,31.33,975.14,1.00,0.01
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.8,08-09-2019,13:00:00,9.3,260,10.00,1002.24,92,27.4,36.52,996.52,3.00,1.10
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.5,08-09-2019,13:00:00,0.0,000,7.00,1002.81,91,26.8,35.28,996.68,6.60,1.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.0,08-09-2019,13:00:00,3.7,310,10.00,1002.77,75,25.0,31.72,986.57,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.2,08-09-2019,13:00:00,0.0,000,10.00,1002.79,80,24.3,30.40,980.66,1.10,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.8,08-09-2019,13:00:00,16.7,260,8.00,1003.29,70,23.7,29.36,989.09,1.40,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.0,08-09-2019,13:00:00,0.0,000,6.00,1002.85,89,26.9,35.46,986.64,1.50,1.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.5,08-09-2019,13:00:00,13.0,330,10.00,1002.88,74,24.3,30.44,997.72,0.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.7,08-09-2019,13:00:00,0.0,000,12.00,1000.59,70,25.5,32.64,987.68,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.7,08-09-2019,13:00:00,3.7,010,12.00,1002.49,71,24.7,31.15,993.32,0.01,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,34.0,08-09-2019,13:00:00,7.4,280,10.00,999.51,55,23.5,29.00,978.47,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,32.6,08-09-2019,13:00:00,0.0,000,10.00,1001.13,67,25.6,32.79,984.05,0.01,0.01
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.5,08-09-2019,13:00:00,3.7,070,12.00,1000.35,75,24.5,30.72,984.75,0.40,0.40
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,32.9,08-09-2019,13:00:00,1.9,340,10.00,999.55,62,24.7,31.07,981.17,0.30,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.2,08-09-2019,13:00:00,0.0,000,10.00,1003.64,73,22.0,26.41,952.85,20.90,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.5,08-09-2019,13:00:00,5.6,340,8.00,1001.99,68,25.8,33.17,998.12,0.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.4,08-09-2019,13:00:00,11.1,210,.80,1004.25,96,21.8,26.09,909.69,5.90,0.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.9,08-09-2019,13:00:00,3.7,280,10.00,1000.68,67,26.1,33.74,985.10,0.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.7,08-09-2019,13:00:00,0.0,000,10.00,1001.81,64,26.0,33.69,997.89,0.01,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,33.8,08-09-2019,13:00:00,3.7,260,10.00,1002.89,54,23.3,28.59,992.50,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,34.0,08-09-2019,13:00:00,3.7,190,10.00,1002.54,53,23.2,28.43,1000.66,8.60,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,32.7,08-09-2019,13:00:00,13.0,270,12.00,1000.78,58,23.3,28.65,980.43,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,33.3,08-09-2019,13:00:00,0.0,000,11.00,999.89,62,25.0,31.62,982.71,7.30,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,33.5,08-09-2019,13:00:00,5.6,290,10.00,999.82,59,24.2,30.28,984.11,14.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,32.3,08-09-2019,13:00:00,3.7,220,10.00,1000.86,65,24.8,31.27,987.15,0.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.5,08-09-2019,13:00:00,0.0,000,10.00,1002.30,70,25.4,32.52,987.76,4.10,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.5,08-09-2019,13:00:00,7.4,310,10.00,1001.20,64,25.8,33.25,986.92,0.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,34.0,08-09-2019,13:00:00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,1002.32,51,22.4,27.01,999.38,3.90,0.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,31.6,08-09-2019,13:00:00,11.1,260,10.00,1001.93,66,24.5,30.69,994.14,0.01,0.01
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.8,08-09-2019,13:00:00,11.1,180,8.00,1002.94,72,25.1,31.93,1001.85,5.80,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,33.5,08-09-2019,13:00:00,0.0,000,8.00,1001.22,45,20.0,23.33,986.92,0.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.8,08-09-2019,13:00:00,7.4,260,.10,1003.20,98,21.5,25.62,869.68,13.40,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,33.1,08-09-2019,13:00:00,3.7,220,10.00,1001.93,61,24.4,30.61,996.20,0.40,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.8,08-09-2019,13:00:00,13.0,230,8.00,1003.20,73,25.4,32.51,1002.41,9.70,0.50
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.3,08-09-2019,13:00:00,7.4,210,5.00,1003.82,89,25.3,32.25,1003.38,7.50,5.60
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.0,08-09-2019,13:00:00,7.4,350,7.00,1004.51,71,24.3,30.31,993.35,15.40,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.1,08-09-2019,13:00:00,0.0,000,12.00,1002.69,61,24.6,30.90,1001.70,1.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,32.0,08-09-2019,13:00:00,0.0,000,10.00,1002.72,61,23.7,29.22,1000.94,10.30,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,31.7,08-09-2019,13:00:00,0.0,000,8.00,1002.37,65,24.4,30.61,1001.62,3.40,0.01
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.7,08-09-2019,13:00:00,11.1,220,9.00,1003.61,87,25.3,32.20,1002.91,7.60,5.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.2,08-09-2019,13:00:00,7.4,270,7.00,1002.89,67,25.3,32.23,1002.21,0.80,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,35.0,08-09-2019,13:00:00,11.1,280,12.00,1001.08,48,22.2,26.75,980.60,0.01,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,33.5,08-09-2019,13:00:00,11.1,270,13.00,1001.41,56,23.4,28.84,985.14,0.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,33.5,08-09-2019,13:00:00,14.8,270,10.00,1001.49,59,24.2,30.28,985.49,0.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,34.0,08-09-2019,13:00:00,22.2,300,10.00,1001.28,51,22.4,27.01,980.04,0.01,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,29.0,08-09-2019,13:00:00,25.9,230,14.00,1002.17,71,23.2,28.37,959.42,14.70,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,34.3,08-09-2019,13:00:00,3.7,210,12.00,1002.07,52,23.1,28.18,982.10,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.6,08-09-2019,13:00:00,7.4,270,10.00,1002.55,64,25.8,33.17,982.27,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.8,08-09-2019,13:00:00,9.3,140,10.00,1003.48,71,25.0,31.64,1003.05,1.60,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.8,08-09-2019,13:00:00,3.7,270,11.00,1002.87,70,25.6,32.86,1001.48,0.40,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.8,08-09-2019,13:00:00,5.6,250,9.00,1002.87,66,25.5,32.63,998.05,0.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,32.5,08-09-2019,13:00:00,3.7,330,12.00,1003.09,59,23.6,29.09,999.87,3.20,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.5,08-09-2019,13:00:00,7.4,280,10.00,1002.88,64,24.7,31.11,1001.80,2.60,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.0,08-09-2019,13:00:00,5.6,230,7.00,1003.63,83,25.8,33.12,1003.34,1.90,1.30
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.1,08-09-2019,13:00:00,0.0,000,8.00,1003.17,79,26.0,33.67,1002.50,0.80,0.50
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.0,08-09-2019,13:00:00,0.0,000,8.00,1003.48,85,26.2,33.99,1003.00,1.30,1.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.0,08-09-2019,13:00:00,24.1,250,10.00,1002.93,75,25.0,31.72,1001.54,4.20,1.80
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.8,08-09-2019,13:00:00,11.1,240,10.00,1003.75,73,25.4,32.51,1002.09,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.8,08-09-2019,13:00:00,3.7,230,10.00,1005.33,69,23.6,29.08,997.41,0.01,0.01
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.7,08-09-2019,13:00:00,7.4,290,10.00,1003.41,72,26.1,33.83,1003.14,3.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.5,08-09-2019,13:00:00,0.0,000,10.00,1003.44,70,24.5,30.74,1000.35,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.6,08-09-2019,13:00:00,7.4,300,12.00,1003.85,74,25.4,32.38,997.01,0.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,32.0,08-09-2019,13:00:00,9.3,250,8.00,1002.26,66,24.9,31.52,996.78,0.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.1,08-09-2019,13:00:00,9.3,260,10.00,1003.72,73,25.6,32.84,994.56,0.80,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.0,08-09-2019,13:00:00,3.7,320,15.00,1004.28,66,24.9,31.52,1003.04,2.90,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.5,08-09-2019,13:00:00,0.0,000,11.00,1003.14,69,26.1,33.77,1002.72,6.90,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,32.4,08-09-2019,13:00:00,3.7,270,10.00,1003.51,61,23.8,29.46,991.51,1.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,34.1,08-09-2019,13:00:00,22.2,280,10.00,1003.57,61,25.6,32.75,1002.88,0.90,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.5,08-09-2019,13:00:00,11.1,200,10.00,1004.35,65,25.0,31.69,1001.97,0.30,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.8,08-09-2019,13:00:00,18.5,260,10.00,1003.82,76,25.1,31.89,1003.31,0.40,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.7,08-09-2019,13:00:00,3.7,220,14.00,1003.41,65,24.3,30.32,998.36,1.90,0.00
