WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility,StationPressure,AirTemperature,WindDirection,MeanSeaLevelPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,33.66,08-09-2019,16:00:00,0.0,11.10,82,26.0,7.00,969.64,29.4,000,1000.00,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.01,08-09-2019,16:00:00,7.4,8.60,99,19.0,.10,839.87,19.2,070,999.78,1.20
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,30.38,08-09-2019,16:00:00,0.0,0.30,69,24.3,12.00,955.37,30.6,000,997.90,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.72,08-09-2019,16:00:00,0.0,2.70,75,25.0,12.00,953.59,30.0,000,998.08,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.32,08-09-2019,16:00:00,0.0,4.30,86,25.3,12.00,961.93,27.9,000,999.00,0.01
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,34.88,08-09-2019,16:00:00,7.4,4.40,84,26.6,8.00,954.17,29.7,070,998.26,0.20
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.07,08-09-2019,16:00:00,7.4,15.20,93,25.2,8.00,973.26,26.5,150,999.76,1.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.36,08-09-2019,16:00:00,5.6,4.00,84,24.8,13.00,978.67,27.7,240,1000.18,0.30
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.95,08-09-2019,16:00:00,0.0,3.20,85,25.1,8.00,977.61,28.0,000,1001.44,0.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,32.68,08-09-2019,16:00:00,3.7,4.10,88,25.5,10.00,965.75,27.8,210,999.81,4.10
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,34.81,08-09-2019,16:00:00,0.0,1.50,92,26.6,10.00,972.54,28.0,000,999.71,1.40
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,32.92,08-09-2019,16:00:00,0.0,1.30,86,25.6,10.00,966.46,28.2,000,999.54,0.90
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,32.89,08-09-2019,16:00:00,3.7,11.10,91,25.6,4.00,981.24,27.2,180,999.56,6.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.90,08-09-2019,16:00:00,0.0,20.40,97,25.1,7.00,977.24,25.7,000,999.96,3.40
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,31.08,08-09-2019,16:00:00,0.0,27.20,94,24.7,6.00,969.64,25.7,000,999.36,7.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,34.99,08-09-2019,16:00:00,0.0,1.20,90,26.7,6.00,964.91,28.5,000,999.89,0.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.69,08-09-2019,16:00:00,3.7,12.00,91,25.5,12.00,969.37,27.1,100,998.76,0.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.77,08-09-2019,16:00:00,0.0,18.20,92,25.6,6.00,992.68,27.0,000,999.93,6.80
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,34.06,08-09-2019,16:00:00,0.0,14.60,77,26.2,12.00,978.92,30.7,000,998.40,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,33.05,08-09-2019,16:00:00,3.7,10.70,89,25.7,12.00,970.88,27.7,050,999.21,0.50
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.17,08-09-2019,16:00:00,14.8,3.30,68,25.8,15.00,978.54,32.5,280,998.16,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.22,08-09-2019,16:00:00,3.7,25.80,73,25.3,15.00,976.78,30.8,280,998.03,1.30
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.77,08-09-2019,16:00:00,1.9,2.40,67,24.5,15.00,978.33,31.5,140,997.33,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.62,08-09-2019,16:00:00,3.7,2.70,59,23.9,14.00,981.68,32.9,050,997.94,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.99,08-09-2019,16:00:00,0.0,13.60,62,24.6,12.00,981.03,33.0,000,997.93,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.68,08-09-2019,16:00:00,7.4,1.00,70,25.0,11.00,972.81,31.1,320,998.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.97,08-09-2019,16:00:00,3.7,9.90,98,26.7,10.00,994.10,27.1,210,999.85,6.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.67,08-09-2019,16:00:00,0.0,16.60,97,26.0,7.00,993.85,26.6,000,1000.00,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,34.00,08-09-2019,16:00:00,0.0,0.00,82,26.2,10.00,984.98,29.7,000,1001.17,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.52,08-09-2019,16:00:00,14.8,1.00,78,22.7,10.00,978.28,26.8,240,1000.46,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.72,08-09-2019,16:00:00,9.3,2.20,75,24.5,7.00,986.74,29.5,270,1000.92,0.80
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,33.78,08-09-2019,16:00:00,0.0,5.50,92,26.1,6.00,984.06,27.5,000,1000.31,4.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.74,08-09-2019,16:00:00,11.1,0.01,74,23.9,8.00,995.65,29.0,030,1000.81,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,34.15,08-09-2019,16:00:00,0.0,5.20,86,26.3,12.00,985.56,28.8,000,998.56,5.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.64,08-09-2019,16:00:00,3.7,0.01,70,25.5,12.00,990.94,31.7,270,1000.06,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.48,08-09-2019,16:00:00,13.0,0.01,66,23.8,10.00,977.33,31.0,240,998.55,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,33.58,08-09-2019,16:00:00,3.7,0.01,81,26.0,10.00,982.06,29.5,230,999.28,0.01
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,33.17,08-09-2019,16:00:00,3.7,0.40,78,25.8,12.00,982.52,30.0,180,998.06,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.48,08-09-2019,16:00:00,5.6,29.30,90,24.4,5.00,979.45,26.1,190,998.22,29.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.12,08-09-2019,16:00:00,0.0,16.40,78,21.8,10.00,952.48,26.0,000,1003.47,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.62,08-09-2019,16:00:00,11.1,5.00,80,26.0,7.00,995.90,29.8,340,999.80,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.30,08-09-2019,16:00:00,11.1,6.70,98,21.3,.10,907.75,21.6,210,1002.37,1.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.87,08-09-2019,16:00:00,0.0,0.00,63,25.1,10.00,982.74,33.0,000,998.27,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.81,08-09-2019,16:00:00,7.4,0.01,75,26.1,8.00,995.80,31.0,190,999.76,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,35.28,08-09-2019,16:00:00,7.4,4.90,91,26.8,8.00,995.21,28.5,330,1005.82,4.90
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,31.44,08-09-2019,16:00:00,5.6,8.60,66,24.9,10.00,997.64,32.1,150,999.53,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,32.96,08-09-2019,16:00:00,5.6,1.20,81,25.7,10.00,979.60,29.2,350,1000.17,1.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.91,08-09-2019,16:00:00,7.4,30.80,95,25.6,6.00,980.56,26.5,230,998.09,23.50
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.18,08-09-2019,16:00:00,5.6,35.10,92,25.3,10.00,982.13,26.7,140,998.16,21.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.00,08-09-2019,16:00:00,3.7,0.00,59,24.6,10.00,984.08,33.7,170,997.68,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,32.46,08-09-2019,16:00:00,0.0,4.10,65,25.4,10.00,984.54,33.0,000,998.96,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,34.42,08-09-2019,16:00:00,7.4,0.00,64,26.4,10.00,984.12,34.3,270,998.32,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.97,08-09-2019,16:00:00,0.0,3.90,71,25.2,10.00,997.00,31.1,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",999.95,0.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.28,08-09-2019,16:00:00,9.3,4.10,84,25.8,10.00,991.95,28.8,250,999.79,4.10
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.48,08-09-2019,16:00:00,16.7,5.80,65,24.9,8.00,998.77,32.4,230,999.85,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.15,08-09-2019,16:00:00,0.0,0.00,43,20.5,8.00,984.16,34.8,000,998.35,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,25.22,08-09-2019,16:00:00,3.7,9.80,97,21.2,8.00,867.61,21.7,300,1000.85,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.48,08-09-2019,16:00:00,5.6,0.40,76,24.9,10.00,994.36,29.6,020,1000.14,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.11,08-09-2019,16:00:00,7.4,9.70,60,24.2,9.00,999.32,33.0,230,1000.11,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.42,08-09-2019,16:00:00,11.1,9.20,82,25.4,10.00,1000.55,28.8,230,1000.99,1.70
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.01,08-09-2019,16:00:00,5.6,12.20,79,24.1,7.00,991.76,28.0,330,1002.98,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.75,08-09-2019,16:00:00,5.6,1.00,61,25.0,12.00,998.74,33.5,200,999.72,0.00
