WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindSpeed,DewPoint,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.6,08-09-2019,22:00:00,7.00,0.0,25.6,32.82,0.80,94,22.60,1002.20,971.49,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.9,08-09-2019,22:00:00,.10,5.6,18.7,21.60,0.00,99,11.30,1002.44,841.96,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.1,08-09-2019,22:00:00,10.00,0.0,24.7,31.02,0.00,87,0.30,1000.79,957.65,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.8,08-09-2019,22:00:00,10.00,0.0,24.1,29.93,0.00,90,2.70,1000.90,955.68,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.1,08-09-2019,22:00:00,6.00,0.0,24.9,31.58,0.20,99,4.50,1002.35,964.81,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.5,08-09-2019,22:00:00,8.00,3.7,24.9,31.52,0.00,97,4.40,1001.80,956.94,110
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.7,08-09-2019,22:00:00,7.00,0.0,25.1,31.90,1.20,97,16.40,1002.28,975.65,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.2,08-09-2019,22:00:00,13.00,0.0,25.5,32.59,0.00,96,4.30,1002.09,980.43,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.5,08-09-2019,22:00:00,6.00,0.0,25.1,31.79,0.20,92,2.70,1003.09,979.10,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.5,08-09-2019,22:00:00,8.00,0.0,25.1,31.79,8.80,92,12.90,1001.96,967.68,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.7,08-09-2019,22:00:00,10.00,0.0,25.8,33.30,0.10,95,1.80,1001.67,974.32,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.5,08-09-2019,22:00:00,8.00,0.0,25.8,33.19,2.50,96,3.80,1001.70,968.36,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.1,08-09-2019,22:00:00,12.00,0.0,25.5,32.68,0.60,97,12.30,1001.72,983.29,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.9,08-09-2019,22:00:00,6.00,0.0,25.2,32.01,0.90,96,25.80,1001.87,979.13,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,08-09-2019,22:00:00,6.00,0.0,24.3,30.32,1.00,96,30.20,1002.00,972.14,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,26.4,08-09-2019,22:00:00,6.00,0.0,25.3,32.15,0.00,93,1.20,1001.69,966.40,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.3,08-09-2019,22:00:00,5.00,0.0,24.9,31.41,0.80,97,12.80,1001.45,971.80,000
