WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,LandVisibility,AirTemperature,Rainfall24Hr,DewPoint,Rainfall,StationPressure,WindSpeed,VaporPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,999.84,08-10-2019,04:00:00,97,4.00,25.3,32.20,24.9,20.10,969.08,1.9,31.41,150
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,999.93,08-10-2019,04:00:00,99,.10,18.5,21.30,18.3,10.00,839.66,11.1,21.06,080
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,999.98,08-10-2019,04:00:00,93,10.00,23.8,9.80,22.6,9.50,956.41,11.1,27.42,040
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,999.88,08-10-2019,04:00:00,96,5.00,24.0,4.70,23.3,2.00,954.44,0.0,28.53,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1000.43,08-10-2019,04:00:00,99,6.00,24.9,4.50,24.7,0.00,962.94,0.0,31.20,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,999.74,08-10-2019,04:00:00,97,6.00,25.4,4.40,24.8,0.00,954.96,7.4,31.33,030
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1000.37,08-10-2019,04:00:00,97,6.00,25.7,16.40,25.1,0.00,973.79,0.0,31.90,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1000.09,08-10-2019,04:00:00,97,13.00,25.3,5.80,24.9,0.00,978.41,0.0,31.41,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1000.63,08-10-2019,04:00:00,96,5.00,25.5,9.60,24.8,6.90,976.62,0.0,31.25,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1000.24,08-10-2019,04:00:00,94,10.00,25.7,13.00,24.7,0.00,965.92,0.0,31.08,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1000.38,08-10-2019,04:00:00,96,10.00,26.0,1.80,25.3,0.00,973.01,0.0,32.20,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,999.32,08-10-2019,04:00:00,96,8.00,25.6,3.00,24.9,0.00,965.96,0.0,31.44,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,999.31,08-10-2019,04:00:00,97,10.00,25.4,12.30,24.8,0.00,980.88,1.9,31.33,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,1000.01,08-10-2019,04:00:00,98,6.00,25.6,25.80,25.3,0.00,977.29,0.0,32.26,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1000.62,08-10-2019,04:00:00,96,5.00,24.5,30.20,23.8,0.00,970.75,0.0,29.41,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1000.31,08-10-2019,04:00:00,97,5.00,25.2,1.20,24.6,0.01,964.93,0.0,30.96,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,999.69,08-10-2019,04:00:00,98,2.00,24.2,31.30,23.9,18.00,969.99,0.0,29.66,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.36,08-10-2019,04:00:00,96,6.00,25.5,20.50,24.8,1.80,992.08,0.0,31.25,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,999.50,08-10-2019,04:00:00,98,5.00,27.0,16.00,26.6,1.40,979.76,5.6,34.77,210
48353,LOEI,เลย,เลย,17.45000,101.73333,1000.36,08-10-2019,04:00:00,95,3.00,24.6,22.70,23.7,11.90,971.71,0.0,29.33,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,999.94,08-10-2019,04:00:00,94,12.00,26.5,3.30,25.5,0.00,979.89,9.3,32.63,160
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1001.43,08-10-2019,04:00:00,95,10.00,25.4,9.50,24.5,0.00,979.72,0.0,30.79,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1000.42,08-10-2019,04:00:00,97,10.00,25.3,42.10,24.7,0.00,980.96,3.7,31.14,170
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1001.26,08-10-2019,04:00:00,95,8.00,25.1,6.50,24.2,4.10,984.51,0.0,30.23,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1001.54,08-10-2019,04:00:00,95,10.00,25.2,16.90,24.3,5.20,984.13,0.0,30.42,000
