WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,MaximumTemperature,MeanSeaLevelPressure,StationPressure,LandVisibility,AirTemperature,RelativeHumidity,DewPoint,Rainfall,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-10-2019,19:00:00,000,29.9,999.19,968.66,10.00,27.4,90,25.7,1.50,88.60,33.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.4,08-10-2019,19:00:00,140,21.5,997.99,838.90,.10,20.3,99,20.1,1.00,22.60,23.57
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,5.6,08-10-2019,19:00:00,180,33.7,998.75,955.78,8.00,27.7,82,24.4,0.70,10.70,30.53
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-10-2019,19:00:00,000,31.7,998.90,953.95,12.00,27.0,88,24.8,0.20,5.00,31.38
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-10-2019,19:00:00,000,33.5,999.89,962.56,10.00,26.0,97,25.4,0.00,15.30,32.48
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.7,08-10-2019,19:00:00,170,31.0,999.61,954.94,7.00,26.1,95,25.2,0.70,15.80,32.12
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,08-10-2019,19:00:00,150,33.0,999.78,973.41,9.00,28.0,90,26.2,0.00,3.20,33.94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-10-2019,19:00:00,000,30.4,999.03,977.54,8.00,27.6,93,26.3,0.20,24.90,34.27
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-10-2019,19:00:00,000,33.5,998.86,974.99,6.00,26.8,94,25.7,3.00,15.20,32.94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-10-2019,19:00:00,000,32.7,998.82,964.67,10.00,26.7,92,25.3,2.50,34.10,32.18
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-10-2019,19:00:00,000,30.4,999.61,972.26,10.00,26.0,96,25.3,33.20,76.80,32.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-10-2019,19:00:00,000,31.6,998.43,965.25,10.00,27.0,92,25.6,0.20,4.40,32.77
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,08-10-2019,19:00:00,300,30.3,998.80,980.51,10.00,27.4,92,26.0,0.30,28.20,33.58
48331,NAN,น่าน,น่าน,18.77972,100.77778,3.7,08-10-2019,19:00:00,090,32.0,999.35,976.80,8.00,27.6,91,25.9,0.80,18.00,33.41
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-10-2019,19:00:00,000,29.4,999.46,969.89,7.00,27.2,90,25.3,0.60,3.90,32.33
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-10-2019,19:00:00,000,30.0,999.79,964.46,6.00,25.5,96,24.8,5.50,25.00,31.25
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-10-2019,19:00:00,000,30.6,999.75,970.21,12.00,25.9,95,25.0,0.20,24.80,31.74
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-10-2019,19:00:00,000,31.5,999.05,991.87,8.00,29.8,78,25.6,0.00,2.60,32.75
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,08-10-2019,19:00:00,350,31.3,1000.02,980.30,12.00,27.4,91,25.8,0.30,16.20,33.29
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-10-2019,19:00:00,000,30.6,999.54,971.05,13.00,26.0,92,24.6,0.20,24.10,30.84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,08-10-2019,19:00:00,050,32.6,999.57,979.70,15.00,29.0,85,26.2,0.00,2.20,33.99
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,08-10-2019,19:00:00,000,33.1,1000.77,979.36,12.00,29.4,78,25.1,0.00,8.30,31.93
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,08-10-2019,19:00:00,120,33.3,1000.47,981.31,13.00,30.0,73,24.7,0.20,39.90,31.15
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-10-2019,19:00:00,000,32.0,1001.49,984.98,10.00,29.5,79,25.5,0.00,6.60,32.71
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-10-2019,19:00:00,000,31.0,1001.63,984.39,12.00,28.0,88,25.9,0.00,18.40,33.37
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.3,08-10-2019,19:00:00,320,33.4,999.29,973.80,11.00,27.9,88,25.8,0.00,65.80,33.17
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,08-10-2019,19:00:00,110,31.0,999.15,993.44,10.00,29.0,86,26.5,0.00,8.70,34.58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-10-2019,19:00:00,000,30.7,998.65,992.56,10.00,29.2,87,26.8,0.00,5.70,35.30
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-10-2019,19:00:00,000,33.5,999.81,983.60,10.00,29.0,74,23.9,0.00,0.00,29.74
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-10-2019,19:00:00,000,29.8,997.69,975.52,10.00,26.1,93,24.8,0.50,53.10,31.30
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.7,08-10-2019,19:00:00,130,30.8,999.79,985.50,6.00,26.7,93,25.4,1.20,18.30,32.46
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-10-2019,19:00:00,000,30.8,999.26,982.96,6.00,26.1,98,25.8,5.00,33.00,33.23
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-10-2019,19:00:00,000,30.0,1000.22,995.04,10.00,27.5,88,25.4,0.40,33.80,32.36
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-10-2019,19:00:00,000,32.1,998.30,985.35,12.00,30.2,77,25.7,0.00,4.50,33.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,08-10-2019,19:00:00,000,32.4,999.10,989.83,8.00,26.1,96,25.4,9.00,18.60,32.40
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,08-10-2019,19:00:00,140,34.2,1000.58,978.96,6.00,25.9,93,24.6,31.80,35.10,30.92
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,22.2,08-10-2019,19:00:00,200,35.0,1000.28,982.95,7.00,28.0,77,23.6,0.00,0.00,29.19
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,08-10-2019,19:00:00,000,33.0,1001.40,985.78,10.00,29.5,78,25.2,0.00,5.60,32.13
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,08-10-2019,19:00:00,000,34.5,999.19,980.41,7.00,26.2,93,25.0,16.80,30.40,31.76
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-10-2019,19:00:00,000,29.5,1001.20,950.19,8.00,25.2,92,23.7,2.60,23.00,29.36
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,9.3,08-10-2019,19:00:00,090,30.3,999.16,995.24,4.00,27.0,93,25.7,2.90,35.40,33.06
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.6,08-10-2019,19:00:00,200,25.3,999.54,905.61,2.50,23.0,95,22.1,25.70,74.50,26.58
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-10-2019,19:00:00,000,33.7,1000.18,984.44,10.00,29.7,87,27.3,0.40,0.50,36.38
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.3,08-10-2019,19:00:00,160,31.8,999.00,995.03,10.00,29.6,77,25.2,0.00,1.30,32.05
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,11.1,08-10-2019,19:00:00,180,33.2,1000.95,990.41,8.00,29.0,76,24.3,0.00,0.70,30.29
