WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,WindSpeed,Rainfall24Hr,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall,DewPoint,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,968.66,08-11-2019,04:00:00,96,0.0,67.90,000,999.34,26.0,6.00,0.00,25.3,32.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,839.48,08-11-2019,04:00:00,99,0.0,17.60,000,999.85,18.3,.10,0.00,18.1,20.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,957.88,08-11-2019,04:00:00,91,5.6,4.20,040,1001.23,25.8,10.00,0.00,24.2,30.19
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,956.31,08-11-2019,04:00:00,96,0.0,14.00,000,1001.80,24.2,10.00,0.00,23.5,28.88
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,964.50,08-11-2019,04:00:00,100,0.0,24.10,000,1002.10,24.5,5.00,0.00,24.5,30.73
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,956.91,08-11-2019,04:00:00,97,0.0,17.50,000,1001.82,25.2,6.00,0.80,24.8,31.22
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,975.76,08-11-2019,04:00:00,96,0.0,18.70,000,1002.40,25.7,6.00,0.00,25.0,31.63
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,979.11,08-11-2019,04:00:00,98,0.0,67.40,000,1000.84,24.8,7.00,30.00,24.5,30.75
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,975.03,08-11-2019,04:00:00,93,0.0,18.50,000,998.96,26.0,6.00,0.00,24.8,31.38
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,966.94,08-11-2019,04:00:00,93,0.0,29.90,000,1001.30,25.6,8.00,0.90,24.4,30.63
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,973.35,08-11-2019,04:00:00,96,0.0,76.70,000,1000.82,25.0,10.00,0.00,24.3,30.32
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,967.00,08-11-2019,04:00:00,95,0.0,6.40,000,1000.46,25.1,10.00,3.50,24.2,30.23
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,983.04,08-11-2019,04:00:00,98,0.0,27.80,000,1001.46,26.2,12.00,0.20,25.8,33.15
48331,NAN,น่าน,น่าน,18.77972,100.77778,978.79,08-11-2019,04:00:00,97,0.0,17.70,000,1001.53,25.8,8.00,0.00,25.4,32.37
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,972.08,08-11-2019,04:00:00,97,0.0,4.10,000,1001.98,24.6,6.00,0.00,24.0,29.85
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,964.02,08-11-2019,04:00:00,93,0.0,25.00,000,999.29,25.8,6.00,0.00,24.6,31.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,971.86,08-11-2019,04:00:00,99,0.0,15.00,000,1001.62,24.2,4.00,1.50,24.0,29.92
