WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,DewPoint,Rainfall,AirTemperature,VaporPressure,LandVisibility,WindSpeed,WindDirection,RelativeHumidity,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,999.72,08-11-2019,10:00:00,969.37,26.7,0.00,29.5,35.05,10.00,3.7,270,85,36.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1001.22,08-11-2019,10:00:00,840.93,18.7,1.80,18.9,21.60,.10,18.5,140,99,26.30
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1002.20,08-11-2019,10:00:00,959.27,24.2,0.00,29.1,30.21,12.00,5.6,110,75,3.70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1002.26,08-11-2019,10:00:00,957.27,24.8,0.00,27.8,31.28,15.00,0.0,000,84,11.20
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1003.25,08-11-2019,10:00:00,966.04,25.1,0.00,28.0,31.95,12.00,5.6,060,85,22.60
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1002.75,08-11-2019,10:00:00,958.21,25.1,0.00,28.0,31.95,8.00,9.3,200,85,11.30
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1003.79,08-11-2019,10:00:00,977.24,25.6,2.10,27.0,32.77,7.00,3.7,180,92,20.90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1003.29,08-11-2019,10:00:00,981.71,25.1,0.00,27.7,31.92,12.00,0.0,000,86,49.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1001.70,08-11-2019,10:00:00,977.71,24.7,0.40,26.1,31.03,8.00,0.0,000,92,21.30
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1002.59,08-11-2019,10:00:00,968.49,23.9,0.20,28.4,29.68,10.00,3.7,240,77,31.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.14,08-11-2019,10:00:00,975.96,24.7,0.00,29.0,31.13,10.00,0.0,000,78,66.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1002.25,08-11-2019,10:00:00,969.11,23.4,0.00,28.5,28.78,10.00,0.0,000,74,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1003.07,08-11-2019,10:00:00,984.70,25.4,0.00,27.5,32.36,15.00,3.7,260,88,29.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,1003.26,08-11-2019,10:00:00,980.65,25.6,0.01,28.0,32.80,10.00,0.0,000,87,23.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1003.26,08-11-2019,10:00:00,973.63,25.2,3.40,27.8,32.12,8.00,0.0,000,86,9.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1003.14,08-11-2019,10:00:00,967.99,25.1,0.00,28.0,31.95,6.00,0.0,000,85,23.80
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1003.48,08-11-2019,10:00:00,973.86,25.8,0.40,26.2,33.15,6.00,0.0,000,98,13.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1003.68,08-11-2019,10:00:00,996.43,25.1,0.00,28.0,31.95,6.00,0.0,000,85,1.90
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1003.72,08-11-2019,10:00:00,984.00,26.4,0.00,28.5,34.40,20.00,7.4,140,88,22.20
48353,LOEI,เลย,เลย,17.45000,101.73333,1003.50,08-11-2019,10:00:00,975.00,24.8,0.00,27.2,31.22,10.00,3.7,120,87,18.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1004.04,08-11-2019,10:00:00,984.05,25.8,0.90,28.6,33.16,13.00,7.4,170,85,27.10
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1004.93,08-11-2019,10:00:00,983.41,25.4,0.00,29.1,32.46,15.00,3.7,120,81,25.50
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1004.01,08-11-2019,10:00:00,984.75,25.1,0.00,29.5,31.85,12.00,9.3,160,77,2.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1005.24,08-11-2019,10:00:00,988.65,24.4,0.00,29.1,30.49,12.00,5.6,120,76,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1005.64,08-11-2019,10:00:00,988.35,24.9,0.00,28.5,31.54,12.00,5.6,180,81,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1002.78,08-11-2019,10:00:00,977.21,25.1,0.00,28.0,31.95,12.00,3.7,200,85,45.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1003.29,08-11-2019,10:00:00,997.55,26.3,1.70,28.0,34.23,10.00,9.3,150,91,1.70
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.35,08-11-2019,10:00:00,997.20,26.1,1.90,27.5,33.78,10.00,9.3,140,92,1.90
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.50,08-11-2019,10:00:00,988.20,23.6,0.00,28.7,29.16,10.00,11.1,140,74,4.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1001.70,08-11-2019,10:00:00,979.58,23.6,0.10,28.0,29.19,8.00,11.1,130,77,38.80
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.10,08-11-2019,10:00:00,989.82,25.9,0.00,28.3,33.41,6.00,3.7,160,87,4.40
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.40,08-11-2019,10:00:00,987.13,25.1,0.00,28.0,31.95,7.00,0.0,000,85,11.10
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.97,08-11-2019,10:00:00,998.80,24.6,0.00,29.2,30.96,10.00,7.4,200,76,0.40
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.77,08-11-2019,10:00:00,989.72,24.7,0.00,29.0,31.13,12.00,0.0,000,78,0.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1003.57,08-11-2019,10:00:00,994.33,25.7,0.00,28.5,32.96,10.00,7.4,110,85,9.90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1005.27,08-11-2019,10:00:00,983.71,23.7,0.00,28.2,29.30,10.00,7.4,250,77,33.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.76,08-11-2019,10:00:00,986.58,25.1,0.00,31.5,31.93,12.00,0.0,000,69,37.40
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1004.25,08-11-2019,10:00:00,988.60,24.7,0.00,29.7,31.12,12.00,3.7,150,75,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1003.06,08-11-2019,10:00:00,984.43,24.3,0.00,29.9,30.39,10.00,5.6,230,72,18.10
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1003.49,08-11-2019,10:00:00,952.50,22.7,2.20,26.0,27.66,9.00,0.0,000,82,17.10
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.58,08-11-2019,10:00:00,999.67,24.9,0.00,29.2,31.53,8.00,16.7,180,78,31.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1003.92,08-11-2019,10:00:00,909.57,20.1,0.00,23.0,23.45,7.00,7.4,150,84,48.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1004.08,08-11-2019,10:00:00,988.26,26.5,0.00,29.4,34.54,10.00,11.1,210,84,3.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.96,08-11-2019,10:00:00,999.96,24.2,0.00,28.8,30.18,10.00,11.1,210,76,1.10
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.89,08-11-2019,10:00:00,994.35,24.1,0.00,30.0,30.03,8.00,3.7,200,71,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.76,08-11-2019,10:00:00,1002.85,22.9,0.00,29.6,27.88,10.00,14.8,180,67,0.20
