WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,VaporPressure,WindDirection,MaximumTemperature,WindSpeed,RelativeHumidity,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,StationPressure,DewPoint,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-11-2019,19:00:00,10.00,32.46,000,33.1,0.0,93,16.40,26.7,1000.10,969.47,25.4,3.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-11-2019,19:00:00,.10,21.46,000,20.5,0.0,99,27.70,18.8,1000.21,840.04,18.6,5.40
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-11-2019,19:00:00,10.00,30.64,040,31.8,5.6,86,17.60,26.9,1000.89,957.72,24.4,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-11-2019,19:00:00,6.00,30.89,060,31.5,3.7,89,22.20,26.6,1001.05,955.94,24.6,0.01
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-11-2019,19:00:00,10.00,33.19,000,31.5,0.0,96,10.30,26.5,1001.96,964.62,25.8,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-11-2019,19:00:00,12.00,31.22,150,29.2,5.6,87,3.60,27.2,1000.99,956.41,24.8,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-11-2019,19:00:00,10.00,34.56,150,29.8,7.4,94,24.10,27.6,1001.80,975.35,26.5,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-11-2019,19:00:00,12.00,30.15,090,32.7,13.0,82,42.20,27.5,1001.65,980.09,24.2,0.01
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-11-2019,19:00:00,8.00,30.84,000,29.5,0.0,92,13.20,26.0,1001.13,977.14,24.6,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-11-2019,19:00:00,10.00,28.37,000,31.5,0.0,71,6.40,29.0,1001.04,967.07,23.2,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-11-2019,19:00:00,10.00,30.56,000,32.0,0.0,81,1.70,28.0,1001.24,974.03,24.4,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-11-2019,19:00:00,10.00,28.37,000,32.9,0.0,71,7.30,29.0,1000.33,967.31,23.2,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-11-2019,19:00:00,15.00,31.93,310,32.6,3.7,75,3.10,30.1,1001.17,982.99,25.1,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-11-2019,19:00:00,10.00,33.62,000,31.6,0.0,94,17.60,27.0,1001.80,979.15,26.0,1.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-11-2019,19:00:00,8.00,32.77,000,30.4,0.0,92,16.30,27.0,1001.87,972.21,25.6,1.20
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-11-2019,19:00:00,8.00,29.03,000,31.0,0.0,76,6.00,28.2,1001.14,966.08,23.5,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-11-2019,19:00:00,10.00,31.93,000,34.2,0.0,95,13.20,26.0,1001.65,972.07,25.1,2.50
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-11-2019,19:00:00,7.00,32.75,000,33.6,0.0,75,1.90,30.5,1000.98,993.81,25.6,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-11-2019,19:00:00,1.00,32.34,320,32.4,9.3,99,87.30,25.5,1002.72,982.83,25.3,67.80
48353,LOEI,เลย,เลย,17.45000,101.73333,08-11-2019,19:00:00,10.00,31.79,000,33.2,0.0,92,37.70,26.5,1002.19,973.66,25.1,19.60
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-11-2019,19:00:00,13.00,34.34,290,33.4,11.1,81,24.90,30.0,1001.61,981.76,26.4,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-11-2019,19:00:00,12.00,31.86,000,32.7,0.0,80,29.00,28.8,1003.07,981.57,25.1,2.60
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-11-2019,19:00:00,12.00,33.33,180,33.0,3.7,83,4.90,29.1,1001.92,982.68,25.9,2.50
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-11-2019,19:00:00,11.00,32.67,000,32.5,0.0,84,0.30,28.5,1003.30,986.71,25.5,0.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-11-2019,19:00:00,10.00,32.93,000,32.2,0.0,90,2.20,27.5,1003.36,986.06,25.7,2.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-11-2019,19:00:00,10.00,30.84,040,33.8,3.7,92,53.20,26.0,1001.13,975.44,24.6,8.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-11-2019,19:00:00,10.00,36.63,000,32.5,0.0,89,1.70,29.4,1001.07,995.36,27.5,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-11-2019,19:00:00,10.00,35.28,000,32.5,0.0,91,1.90,28.5,1001.49,995.37,26.8,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-11-2019,19:00:00,10.00,29.19,220,33.9,7.4,73,4.40,29.0,1002.53,986.28,23.6,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-11-2019,19:00:00,10.00,30.29,000,29.6,0.0,85,16.50,27.0,1000.56,978.39,24.3,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-11-2019,19:00:00,6.00,34.03,080,31.8,5.6,91,4.00,27.9,1001.95,987.68,26.2,0.60
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-11-2019,19:00:00,7.00,30.72,000,31.5,0.0,75,5.50,29.5,1000.98,984.83,24.5,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-11-2019,19:00:00,10.00,34.12,120,32.3,5.6,84,0.00,29.2,1001.46,996.30,26.3,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-11-2019,19:00:00,10.00,32.77,000,32.8,0.0,92,6.60,27.0,1000.61,987.50,25.6,3.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-11-2019,19:00:00,10.00,31.32,130,32.9,11.1,75,0.90,29.8,1001.55,992.37,24.8,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-11-2019,19:00:00,10.00,31.25,180,34.0,13.0,77,1.70,29.2,1002.45,981.02,24.8,0.10
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-11-2019,19:00:00,12.00,33.24,230,34.8,11.1,85,37.40,28.5,1002.43,985.10,25.8,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-11-2019,19:00:00,10.00,34.40,260,32.6,5.6,88,2.20,28.5,1003.01,987.32,26.4,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-11-2019,19:00:00,8.00,34.82,170,34.5,3.7,88,5.70,28.7,1001.31,982.64,26.6,4.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-11-2019,19:00:00,7.00,27.60,000,26.8,0.0,90,16.10,24.5,1002.34,951.16,22.7,1.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-11-2019,19:00:00,8.00,31.31,000,33.1,0.0,72,0.20,30.5,1001.13,997.24,24.8,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-11-2019,19:00:00,5.00,24.81,190,26.0,5.6,93,5.10,22.2,1002.38,907.93,21.0,0.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-11-2019,19:00:00,8.00,34.90,000,33.4,0.0,89,2.60,28.6,1002.03,986.21,26.6,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-11-2019,19:00:00,10.00,29.60,170,33.7,11.1,72,0.00,29.5,1002.25,998.27,23.9,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-11-2019,19:00:00,6.00,30.54,000,33.1,0.0,93,7.10,25.7,1003.60,992.92,24.4,7.10
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-11-2019,19:00:00,8.00,31.24,150,33.2,3.7,90,2.30,26.5,1003.02,1001.09,24.8,2.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-11-2019,19:00:00,10.00,28.42,270,34.6,7.4,65,0.00,30.6,1002.42,981.90,23.2,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-11-2019,19:00:00,10.00,30.37,180,31.5,22.2,81,11.50,27.9,1002.61,985.08,24.3,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-11-2019,19:00:00,10.00,29.60,200,31.7,11.1,76,19.90,28.5,1002.88,986.87,23.9,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-11-2019,19:00:00,10.00,32.80,000,34.4,0.0,87,6.00,28.0,1003.80,989.86,25.6,1.40
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-11-2019,19:00:00,8.00,32.96,000,34.0,0.0,88,2.00,27.8,1004.26,989.51,25.7,1.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-11-2019,19:00:00,10.00,32.96,210,34.4,3.7,85,0.00,28.5,1004.17,989.61,25.7,0.00
