WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection,Rainfall,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1002.95,08-11-2019,22:00:00,8.00,15.70,0.0,000,0.00,93,24.9,972.17,26.1,31.57
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1002.05,08-11-2019,22:00:00,.10,28.80,9.3,140,6.10,99,18.5,841.53,18.7,21.33
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1003.63,08-11-2019,22:00:00,10.00,18.30,0.0,000,2.20,92,24.3,960.19,25.8,30.46
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1003.71,08-11-2019,22:00:00,15.00,32.00,0.0,000,10.00,94,23.8,958.21,24.8,29.42
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1004.88,08-11-2019,22:00:00,8.00,4.70,0.0,000,0.00,97,24.9,967.30,25.5,31.52
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1003.93,08-11-2019,22:00:00,10.00,3.00,5.6,110,0.00,92,24.8,959.07,26.2,31.22
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1004.64,08-11-2019,22:00:00,8.00,7.90,0.0,000,0.00,93,25.4,978.03,26.7,32.46
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1004.56,08-11-2019,22:00:00,10.00,37.00,1.9,090,0.00,88,23.5,982.80,25.6,29.03
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1003.94,08-11-2019,22:00:00,8.00,5.30,0.0,000,0.00,88,23.8,979.90,26.0,29.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.57,08-11-2019,22:00:00,10.00,2.60,0.0,000,0.01,80,23.3,969.29,27.0,28.67
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1005.78,08-11-2019,22:00:00,10.00,1.70,0.0,000,0.00,84,23.6,978.31,26.5,29.08
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.22,08-11-2019,22:00:00,10.00,7.10,0.0,000,0.00,84,24.3,969.90,27.2,30.39
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1003.65,08-11-2019,22:00:00,15.00,3.10,0.0,000,0.00,87,25.2,985.28,27.6,32.00
