WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,DewPoint,AirTemperature,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,15.70,08-12-2019,01:00:00,0.00,24.8,25.5,31.25,96,1003.23,000,0.0,7.00,972.38
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.20,08-12-2019,01:00:00,1.00,17.9,18.1,20.54,99,1002.01,140,7.4,.10,841.20
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,16.80,08-12-2019,01:00:00,0.00,24.5,25.5,30.71,94,1003.73,000,0.0,10.00,960.23
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.20,08-12-2019,01:00:00,0.00,23.5,24.5,28.89,94,1003.64,000,0.0,15.00,958.11
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.80,08-12-2019,01:00:00,11.50,24.4,24.8,30.48,97,1004.90,000,0.0,6.00,967.23
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.70,08-12-2019,01:00:00,0.00,23.5,25.0,29.00,92,1003.95,000,0.0,10.00,958.92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,16.40,08-12-2019,01:00:00,9.00,24.8,25.5,31.25,96,1004.90,000,0.0,5.00,978.18
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.20,08-12-2019,01:00:00,0.00,24.9,25.9,31.46,94,1004.23,000,0.0,12.00,982.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,2.80,08-12-2019,01:00:00,0.00,23.9,25.7,29.74,90,1004.07,000,0.0,6.00,980.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,2.60,08-12-2019,01:00:00,0.00,23.3,26.5,28.55,83,1003.63,000,0.0,10.00,969.29
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.70,08-12-2019,01:00:00,0.00,24.6,26.0,30.84,92,1005.15,000,0.0,10.00,977.65
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,7.10,08-12-2019,01:00:00,0.00,24.4,26.3,30.59,89,1003.54,000,0.0,10.00,970.12
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.10,08-12-2019,01:00:00,0.00,24.2,26.7,30.26,86,1003.81,000,0.0,12.00,985.38
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.60,08-12-2019,01:00:00,13.60,24.9,25.3,31.41,97,1004.43,000,0.0,8.00,981.58
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.80,08-12-2019,01:00:00,9.40,24.5,24.8,30.75,98,1004.82,000,0.0,6.00,974.86
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,08-12-2019,01:00:00,0.00,24.6,25.8,31.00,93,1003.85,000,0.0,6.00,968.41
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,17.90,08-12-2019,01:00:00,0.50,24.5,24.8,30.75,98,1003.72,000,0.0,4.00,973.96
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1.90,08-12-2019,01:00:00,0.00,24.7,27.3,31.14,86,1004.15,000,0.0,7.00,996.87
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,107.10,08-12-2019,01:00:00,22.20,24.7,25.0,31.12,98,1004.38,000,0.0,6.00,984.41
48353,LOEI,เลย,เลย,17.45000,101.73333,36.10,08-12-2019,01:00:00,8.40,24.6,25.8,31.00,93,1004.17,000,0.0,10.00,975.52
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,55.40,08-12-2019,01:00:00,8.30,24.9,25.3,31.41,97,1004.67,000,0.0,7.00,984.44
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.80,08-12-2019,01:00:00,0.00,23.8,26.1,29.41,87,1006.47,170,3.7,12.00,984.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.50,08-12-2019,01:00:00,0.00,24.0,26.5,29.89,86,1004.19,170,3.7,10.00,984.74
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.30,08-12-2019,01:00:00,0.00,24.3,26.5,30.43,88,1005.55,000,0.0,10.00,988.81
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,2.20,08-12-2019,01:00:00,0.00,24.6,26.0,30.84,92,1005.47,000,0.0,10.00,988.04
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,14.60,08-12-2019,01:00:00,4.60,24.6,25.0,30.85,97,1003.03,000,0.0,9.00,977.21
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,4.40,08-12-2019,01:00:00,0.00,26.1,26.1,33.80,100,1004.35,000,0.0,10.00,998.56
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,2.10,08-12-2019,01:00:00,0.20,25.6,26.3,32.79,96,1003.12,000,0.0,10.00,996.94
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.60,08-12-2019,01:00:00,0.00,24.6,26.0,30.84,92,1005.14,000,0.0,9.00,988.69
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,4.50,08-12-2019,01:00:00,0.00,23.9,25.4,29.72,92,1003.04,090,3.7,10.00,980.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,2.60,08-12-2019,01:00:00,0.00,24.7,25.9,31.19,93,1004.79,000,0.0,5.00,990.38
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.00,08-12-2019,01:00:00,0.00,23.7,25.5,29.38,90,1004.19,000,0.0,7.00,987.78
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,16.00,08-12-2019,01:00:00,0.01,25.2,26.1,32.12,95,1004.43,000,0.0,10.00,999.20
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,6.20,08-12-2019,01:00:00,0.00,24.8,26.0,31.38,93,1003.46,000,0.0,10.00,990.27
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-12-2019,01:00:00,0.00,24.7,25.7,31.08,94,1003.83,000,0.0,10.00,994.49
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.10,08-12-2019,01:00:00,0.00,24.3,26.5,30.43,88,1004.62,180,5.6,9.00,982.95
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-12-2019,01:00:00,0.00,23.6,26.5,29.08,84,1003.24,210,11.1,10.00,985.78
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,19.90,08-12-2019,01:00:00,2.20,24.6,25.8,31.00,93,1004.59,000,0.0,10.00,988.73
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,4.40,08-12-2019,01:00:00,0.00,24.7,26.7,31.08,89,1003.44,000,0.0,8.00,984.61
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,12.90,08-12-2019,01:00:00,1.50,22.2,23.3,26.83,94,1005.17,000,0.0,4.00,953.65
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.50,08-12-2019,01:00:00,0.00,24.8,26.2,31.22,92,1004.06,100,11.1,7.00,1000.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.60,08-12-2019,01:00:00,0.01,20.8,21.4,24.52,96,1004.75,200,7.4,4.00,909.84
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,4.20,08-12-2019,01:00:00,0.20,25.3,25.9,32.29,97,1004.60,190,5.6,6.00,988.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,08-12-2019,01:00:00,0.01,24.4,26.4,30.51,89,1004.37,210,3.7,9.00,1000.34
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.50,08-12-2019,01:00:00,0.90,24.3,25.0,30.32,96,1005.47,000,0.0,6.00,994.75
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,4.00,08-12-2019,01:00:00,0.80,24.3,25.0,30.32,96,1005.20,150,3.7,5.00,1003.26
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.01,08-12-2019,01:00:00,0.00,23.7,26.2,29.33,86,1004.19,280,5.6,10.00,983.33
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.10,08-12-2019,01:00:00,0.30,24.7,26.0,31.11,93,1004.20,000,0.0,10.00,986.53
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.60,08-12-2019,01:00:00,0.40,25.2,26.2,32.04,94,1004.19,210,9.3,8.00,988.03
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.70,08-12-2019,01:00:00,0.00,23.9,26.8,29.64,84,1005.78,000,0.0,10.00,991.75
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.80,08-12-2019,01:00:00,0.00,24.6,25.8,31.00,93,1006.22,000,0.0,8.00,991.34
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.30,08-12-2019,01:00:00,0.01,24.9,26.1,31.57,93,1006.01,000,0.0,10.00,991.31
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.90,08-12-2019,01:00:00,0.10,24.9,26.2,31.49,93,1004.33,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,8.00,1001.31
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,2.00,08-12-2019,01:00:00,0.01,24.5,25.5,30.71,94,1004.65,000,0.0,7.00,996.68
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,13.60,08-12-2019,01:00:00,0.00,24.0,25.9,29.84,89,1004.66,000,0.0,7.00,1003.55
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,6.50,08-12-2019,01:00:00,0.00,25.0,26.0,31.65,94,1005.35,000,0.0,8.00,990.64
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,50.20,08-12-2019,01:00:00,0.60,19.8,20.0,23.13,99,1006.31,190,5.6,.10,871.62
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,21.00,08-12-2019,01:00:00,2.60,24.7,25.1,31.04,97,1004.99,000,0.0,10.00,999.08
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.01,08-12-2019,01:00:00,0.00,25.1,28.0,31.95,85,1005.21,000,0.0,8.00,1004.41
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-12-2019,01:00:00,0.00,24.6,28.6,30.90,79,1005.00,210,11.1,10.00,1004.55
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,47.90,08-12-2019,01:00:00,19.20,24.2,24.6,30.12,97,1006.62,000,0.0,3.00,995.23
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.90,08-12-2019,01:00:00,0.00,25.0,26.0,31.65,94,1005.04,220,3.7,8.00,1004.02
