WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,Rainfall,DewPoint,WindSpeed,MeanSeaLevelPressure,StationPressure,LandVisibility,WindDirection,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.7,08-12-2019,04:00:00,15.70,0.00,24.7,0.0,1002.84,972.02,6.00,000,94,31.08
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.9,08-12-2019,04:00:00,19.20,0.00,17.7,0.0,1001.47,840.65,.10,000,99,20.28
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.5,08-12-2019,04:00:00,16.80,0.00,24.5,3.7,1003.03,959.57,10.00,120,94,30.71
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.0,08-12-2019,04:00:00,21.20,0.00,23.1,0.0,1003.17,957.58,12.00,000,95,28.27
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.2,08-12-2019,04:00:00,15.80,3.00,24.0,0.0,1004.51,966.78,6.00,000,99,29.92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.0,08-12-2019,04:00:00,1.90,0.00,23.8,0.0,1003.35,958.34,10.00,000,93,29.52
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.7,08-12-2019,04:00:00,39.90,23.50,24.1,0.0,1004.50,977.72,5.00,000,97,30.03
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.9,08-12-2019,04:00:00,0.01,0.00,24.3,5.6,1003.73,981.94,10.00,100,97,30.40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,08-12-2019,04:00:00,3.60,0.80,23.7,0.0,1003.82,979.70,6.00,000,92,29.26
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.0,08-12-2019,04:00:00,1.70,0.00,23.1,0.0,1003.27,968.89,10.00,000,84,28.18
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.0,08-12-2019,04:00:00,1.70,0.00,24.3,0.0,1003.83,976.28,10.00,000,96,30.32
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.5,08-12-2019,04:00:00,3.60,0.00,24.0,0.0,1003.41,969.90,10.00,000,92,29.91
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.0,08-12-2019,04:00:00,3.40,0.50,24.6,3.7,1003.62,985.14,10.00,270,92,30.84
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.0,08-12-2019,04:00:00,31.70,1.10,24.4,0.0,1004.04,981.18,7.00,000,97,30.58
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.2,08-12-2019,04:00:00,25.20,0.40,23.9,0.0,1004.27,974.26,7.00,000,98,29.66
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.0,08-12-2019,04:00:00,6.00,0.00,24.0,0.0,1003.29,967.78,4.00,000,94,29.79
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.9,08-12-2019,04:00:00,16.40,0.00,24.7,0.0,1003.30,973.56,3.00,000,99,31.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.9,08-12-2019,04:00:00,1.80,0.00,24.7,0.0,1004.16,996.88,7.00,000,88,31.19
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.0,08-12-2019,04:00:00,107.30,3.00,24.7,5.6,1004.43,984.46,9.00,060,98,31.12
48353,LOEI,เลย,เลย,17.45000,101.73333,25.7,08-12-2019,04:00:00,35.00,0.00,24.8,0.0,1003.95,975.30,10.00,000,95,31.36
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.5,08-12-2019,04:00:00,55.70,0.30,25.1,0.0,1005.26,985.04,10.00,000,97,31.79
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.3,08-12-2019,04:00:00,3.80,0.00,24.4,0.0,1005.54,983.74,12.00,000,95,30.60
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.2,08-12-2019,04:00:00,2.50,0.00,24.8,0.0,1004.33,984.85,10.00,000,92,31.22
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.2,08-12-2019,04:00:00,0.30,0.00,24.6,0.0,1005.25,988.50,10.00,000,91,30.94
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.5,08-12-2019,04:00:00,2.20,0.01,24.5,0.0,1005.31,987.85,9.00,000,94,30.71
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.0,08-12-2019,04:00:00,14.80,0.20,24.7,0.0,1003.30,977.47,10.00,000,98,31.12
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.0,08-12-2019,04:00:00,4.40,0.00,26.0,0.0,1004.33,998.54,10.00,000,100,33.60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.0,08-12-2019,04:00:00,2.10,0.00,25.7,0.0,1002.01,995.84,10.00,000,98,33.04
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.6,08-12-2019,04:00:00,0.60,0.00,24.0,0.0,1004.87,988.39,8.00,000,91,29.82
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.5,08-12-2019,04:00:00,0.90,0.00,23.0,3.7,1002.68,980.28,10.00,250,91,28.11
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.6,08-12-2019,04:00:00,2.60,0.00,24.7,0.0,1004.18,989.77,5.00,000,95,31.17
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.0,08-12-2019,04:00:00,1.00,0.00,24.3,0.0,1003.68,987.24,7.00,000,96,30.32
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.8,08-12-2019,04:00:00,16.00,0.00,24.6,9.3,1003.89,998.66,10.00,150,93,31.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.7,08-12-2019,04:00:00,6.00,0.00,24.5,0.0,1003.22,990.01,10.00,000,93,30.81
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.6,08-12-2019,04:00:00,0.00,0.00,24.7,0.0,1003.84,994.50,10.00,000,95,31.17
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.2,08-12-2019,04:00:00,0.10,0.00,24.5,5.6,1004.49,982.80,9.00,180,90,30.67
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.5,08-12-2019,04:00:00,0.00,0.00,23.3,0.0,1003.47,985.95,10.00,000,88,28.59
