WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,Rainfall,LandVisibility,WindDirection,WindSpeed,Rainfall24Hr,DewPoint,AirTemperature,RelativeHumidity,MinimumTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.26,08-12-2019,07:00:00,1004.15,0.10,8.00,000,0.0,15.80,24.5,25.4,95,23.9,30.79
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.87,08-12-2019,07:00:00,1002.69,0.00,.10,000,0.0,14.30,18.1,18.3,99,17.8,20.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.87,08-12-2019,07:00:00,1004.43,0.00,10.00,120,5.6,16.80,24.0,25.2,93,24.8,29.89
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.00,08-12-2019,07:00:00,1004.50,0.00,15.00,000,0.0,21.20,24.4,25.0,97,23.5,30.58
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,968.06,08-12-2019,07:00:00,1005.81,0.01,6.00,000,0.0,15.80,24.4,24.4,100,23.7,30.54
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,960.01,08-12-2019,07:00:00,1005.09,0.00,12.00,000,0.0,0.00,23.5,25.0,92,24.5,29.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.84,08-12-2019,07:00:00,1005.65,0.40,5.00,000,0.0,40.20,24.3,24.7,97,24.0,30.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.03,08-12-2019,07:00:00,1004.82,0.00,12.00,120,5.6,0.01,24.2,25.2,94,24.7,30.15
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,980.79,08-12-2019,07:00:00,1004.92,0.30,6.00,000,0.0,1.50,23.7,25.3,91,23.0,29.28
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.21,08-12-2019,07:00:00,1004.68,0.00,10.00,000,0.0,0.20,23.2,25.7,86,25.3,28.42
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.59,08-12-2019,07:00:00,1005.17,0.00,10.00,000,0.0,1.70,24.5,25.1,97,24.5,30.77
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.88,08-12-2019,07:00:00,1004.45,0.00,10.00,000,0.0,0.00,24.2,25.2,94,25.0,30.15
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.55,08-12-2019,07:00:00,1005.07,0.00,10.00,000,0.0,0.50,24.7,25.7,94,25.4,31.08
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.49,08-12-2019,07:00:00,1005.35,1.50,7.00,000,0.0,27.40,24.9,25.3,97,24.8,31.41
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.55,08-12-2019,07:00:00,1005.52,0.00,8.00,000,0.0,22.90,23.8,25.0,93,24.0,29.52
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.64,08-12-2019,07:00:00,1005.25,0.00,4.00,000,0.0,0.00,24.4,24.7,98,24.5,30.56
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.42,08-12-2019,07:00:00,1005.18,0.00,5.00,000,0.0,16.40,25.0,25.2,99,24.8,31.77
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.69,08-12-2019,07:00:00,1004.98,0.00,6.00,000,0.0,0.00,25.0,26.7,90,26.5,31.63
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.40,08-12-2019,07:00:00,1005.37,0.30,10.00,000,0.0,107.60,24.9,25.2,98,24.2,31.49
48353,LOEI,เลย,เลย,17.45000,101.73333,976.61,08-12-2019,07:00:00,1005.29,0.00,4.00,000,0.0,34.20,24.8,25.7,95,25.5,31.36
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.37,08-12-2019,07:00:00,1005.56,0.00,10.00,090,3.7,52.50,25.3,26.0,96,24.8,32.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,984.29,08-12-2019,07:00:00,1006.05,0.01,7.00,000,0.0,3.80,24.6,26.0,92,25.3,30.84
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.98,08-12-2019,07:00:00,1005.45,0.00,10.00,000,0.0,2.50,25.1,26.5,92,25.7,31.79
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.82,08-12-2019,07:00:00,1006.57,0.00,10.00,000,0.0,0.30,24.9,26.5,91,26.2,31.52
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.44,08-12-2019,07:00:00,1006.87,0.00,10.00,000,0.0,2.20,25.1,26.5,92,24.5,31.79
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.66,08-12-2019,07:00:00,1004.51,0.20,10.00,000,0.0,15.00,24.9,25.2,98,25.0,31.49
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,998.94,08-12-2019,07:00:00,1004.73,0.00,10.00,140,3.7,4.40,26.0,26.0,100,23.8,33.60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.99,08-12-2019,07:00:00,1005.18,0.00,10.00,000,0.0,2.10,25.4,26.0,97,25.5,32.48
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.28,08-12-2019,07:00:00,1005.78,0.00,10.00,000,0.0,0.60,24.0,25.5,92,25.0,29.91
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,981.52,08-12-2019,07:00:00,1003.96,0.00,10.00,000,0.0,0.10,23.1,24.3,93,23.8,28.28
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.03,08-12-2019,07:00:00,1005.46,0.00,5.00,000,0.0,2.60,24.8,25.5,96,24.9,31.25
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,988.31,08-12-2019,07:00:00,1004.75,0.00,7.00,000,0.0,1.00,24.2,25.2,94,24.6,30.15
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.33,08-12-2019,07:00:00,1005.57,0.00,10.00,000,0.0,16.00,24.6,25.8,93,24.7,31.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.79,08-12-2019,07:00:00,1004.02,0.00,10.00,000,0.0,6.00,24.2,25.2,94,24.8,30.15
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,995.84,08-12-2019,07:00:00,1005.17,0.00,10.00,120,3.7,0.00,25.3,26.0,96,25.5,32.20
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.43,08-12-2019,07:00:00,1006.14,0.00,8.00,150,7.4,0.10,24.5,26.2,90,25.8,30.67
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,988.02,08-12-2019,07:00:00,1005.55,0.00,10.00,000,0.0,0.00,23.8,26.0,88,25.5,29.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.71,08-12-2019,07:00:00,1005.58,0.00,10.00,000,0.0,19.90,24.8,25.7,95,25.2,31.36
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.05,08-12-2019,07:00:00,1004.93,0.00,10.00,170,11.1,4.40,24.2,26.4,88,25.6,30.24
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.98,08-12-2019,07:00:00,1007.78,2.60,6.00,000,0.0,13.30,21.7,22.5,95,22.0,26.01
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.19,08-12-2019,07:00:00,1005.16,0.30,6.00,110,5.6,0.80,25.1,26.1,94,25.2,31.85
