WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,Rainfall24Hr,AirTemperature,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall,StationPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.7,08-12-2019,10:00:00,000,15.80,28.4,0.0,1005.46,80,31.06,0.00,974.83,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.5,08-12-2019,10:00:00,000,12.50,19.7,0.0,1004.15,99,22.71,0.00,843.79,.10
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.0,08-12-2019,10:00:00,180,16.80,28.8,9.3,1005.41,76,29.90,0.00,962.31,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.8,08-12-2019,10:00:00,000,21.20,28.4,0.0,1005.44,81,31.34,0.00,960.40,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.2,08-12-2019,10:00:00,160,15.80,27.1,5.6,1006.80,90,32.13,0.00,969.35,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.8,08-12-2019,10:00:00,130,0.00,29.0,7.4,1005.98,83,33.12,0.00,961.44,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.9,08-12-2019,10:00:00,200,38.10,27.5,3.7,1006.73,86,31.52,0.00,980.13,7.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.1,08-12-2019,10:00:00,270,0.01,28.8,3.7,1006.59,71,28.27,0.00,985.02,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.6,08-12-2019,10:00:00,000,1.10,28.5,0.0,1006.49,75,29.05,0.00,982.58,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.0,08-12-2019,10:00:00,210,0.01,29.3,5.6,1006.23,69,28.12,0.00,972.12,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.6,08-12-2019,10:00:00,000,1.70,29.8,0.0,1006.43,69,29.08,0.00,979.24,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.7,08-12-2019,10:00:00,000,0.00,30.6,0.0,1005.34,63,27.60,0.00,972.32,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.6,08-12-2019,10:00:00,240,0.50,30.0,3.7,1006.31,73,30.87,0.00,988.03,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.1,08-12-2019,10:00:00,000,27.40,29.8,0.0,1006.16,76,31.89,0.01,983.62,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.6,08-12-2019,10:00:00,000,19.50,27.8,0.0,1006.48,83,31.00,0.00,976.76,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.2,08-12-2019,10:00:00,000,0.00,28.8,0.0,1006.29,76,30.18,0.00,971.12,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.4,08-12-2019,10:00:00,120,16.00,27.5,5.6,1006.04,88,32.36,0.00,976.47,13.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.6,08-12-2019,10:00:00,000,0.00,30.3,0.0,1006.46,72,30.91,0.00,999.24,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.9,08-12-2019,10:00:00,170,107.60,28.0,5.6,1006.24,88,33.37,0.00,986.44,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.0,08-12-2019,10:00:00,180,34.20,28.6,5.6,1006.32,81,31.74,0.00,977.87,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.9,08-12-2019,10:00:00,170,51.60,28.5,5.6,1006.14,81,31.54,0.00,986.10,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.0,08-12-2019,10:00:00,180,4.20,29.0,9.3,1006.76,79,31.69,0.40,985.20,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.3,08-12-2019,10:00:00,180,2.50,30.1,5.6,1006.13,76,32.21,0.00,986.87,12.00
