WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,AirTemperature,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall,VaporPressure,RelativeHumidity,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,15.80,08-12-2019,13:00:00,12.00,31.4,000,0.0,1004.01,0.00,34.08,74,973.72,26.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.90,08-12-2019,13:00:00,.10,19.4,000,0.0,1003.06,6.40,22.28,99,842.72,19.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,14.40,08-12-2019,13:00:00,12.00,30.6,140,5.6,1003.38,0.00,28.15,64,960.61,23.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.20,08-12-2019,13:00:00,15.00,31.3,230,7.4,1003.25,0.00,29.24,64,958.72,23.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,17.20,08-12-2019,13:00:00,12.00,28.8,160,5.6,1004.63,1.40,31.86,80,967.46,25.1
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-12-2019,13:00:00,12.00,30.5,000,0.0,1004.34,0.00,29.89,68,960.09,24.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,35.30,08-12-2019,13:00:00,9.00,30.0,000,0.0,1005.13,0.50,34.34,81,978.79,26.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.01,08-12-2019,13:00:00,12.00,29.8,210,5.6,1005.41,0.01,30.47,73,983.93,24.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1.10,08-12-2019,13:00:00,8.00,28.7,000,0.0,1005.29,0.00,28.62,73,981.42,23.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.30,08-12-2019,13:00:00,10.00,32.0,200,5.6,1004.62,0.00,28.66,60,977.67,23.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.01,08-12-2019,13:00:00,10.00,31.6,280,5.6,1004.10,0.01,29.27,63,971.23,23.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.50,08-12-2019,13:00:00,12.00,31.5,240,7.4,1004.55,0.00,30.49,66,986.39,24.4
48331,NAN,น่าน,น่าน,18.77972,100.77778,22.40,08-12-2019,13:00:00,10.00,30.7,000,0.0,1004.37,0.00,31.43,71,981.93,24.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,18.20,08-12-2019,13:00:00,8.00,27.5,000,0.0,1005.20,6.90,31.80,87,975.49,25.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-12-2019,13:00:00,7.00,31.0,000,0.0,1004.43,0.00,29.48,66,969.57,23.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.90,08-12-2019,13:00:00,15.00,31.1,090,3.7,1003.71,0.00,33.14,73,974.56,25.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-12-2019,13:00:00,10.00,33.0,230,9.3,1004.62,0.00,32.16,64,997.47,25.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,105.40,08-12-2019,13:00:00,15.00,31.0,200,3.7,1004.44,0.00,33.81,75,984.86,26.1
48353,LOEI,เลย,เลย,17.45000,101.73333,33.40,08-12-2019,13:00:00,15.00,32.0,150,7.4,1003.70,0.00,29.51,62,975.64,23.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,52.80,08-12-2019,13:00:00,14.00,30.2,310,5.6,1004.98,1.20,34.18,80,985.08,26.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,4.20,08-12-2019,13:00:00,12.00,30.2,210,5.6,1005.40,0.00,31.27,73,983.95,24.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.70,08-12-2019,13:00:00,12.00,29.3,240,3.7,1005.15,1.20,32.59,80,985.86,25.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.60,08-12-2019,13:00:00,12.00,31.8,220,3.7,1005.36,0.80,32.56,69,988.92,25.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,2.20,08-12-2019,13:00:00,10.00,29.5,180,3.7,1006.08,0.00,30.72,75,988.84,24.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,15.00,08-12-2019,13:00:00,13.00,30.4,200,3.7,1003.93,0.00,29.98,69,978.54,24.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,2.70,08-12-2019,13:00:00,10.00,32.4,200,3.7,1004.89,0.00,34.16,70,999.21,26.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.20,08-12-2019,13:00:00,12.00,31.5,000,0.0,1003.67,0.00,33.40,72,997.59,25.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.60,08-12-2019,13:00:00,10.00,32.0,000,0.0,1006.15,0.00,28.66,60,990.00,23.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-12-2019,13:00:00,10.00,29.5,000,0.0,1004.22,0.00,30.72,75,982.15,24.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.00,08-12-2019,13:00:00,6.00,30.6,190,3.7,1005.90,0.00,32.09,73,991.70,25.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.40,08-12-2019,13:00:00,7.00,30.8,000,0.0,1005.05,0.00,30.49,69,988.90,24.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,16.00,08-12-2019,13:00:00,10.00,31.7,190,11.1,1005.45,0.00,32.06,69,1000.31,25.2
