WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,VaporPressure,DewPoint,RelativeHumidity,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,LandVisibility,WindDirection,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.67,08-12-2019,19:00:00,27.6,28.45,23.2,77,0.0,1004.34,0.10,0.00,12.00,000,33.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.28,08-12-2019,19:00:00,19.2,22.01,19.0,99,0.0,1002.65,22.60,1.00,.10,000,20.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.66,08-12-2019,19:00:00,26.5,29.08,23.6,84,5.6,1004.03,7.20,5.00,9.00,100,32.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.75,08-12-2019,19:00:00,25.6,28.51,23.2,87,0.0,1004.14,11.80,1.80,12.00,000,33.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.14,08-12-2019,19:00:00,27.5,33.50,25.9,91,0.0,1003.42,17.40,0.00,10.00,000,30.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.29,08-12-2019,19:00:00,29.2,30.40,24.3,75,0.0,1003.70,0.00,0.00,12.00,000,32.2
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,977.83,08-12-2019,19:00:00,28.0,33.94,26.2,90,0.0,1004.32,38.90,5.50,10.00,000,31.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.64,08-12-2019,19:00:00,27.8,31.00,24.6,83,1.9,1004.23,2.20,2.20,10.00,180,32.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.39,08-12-2019,19:00:00,25.8,31.00,24.6,93,0.0,1005.49,4.80,1.20,8.00,000,29.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,969.18,08-12-2019,19:00:00,30.6,28.15,23.0,64,5.6,1003.05,0.01,0.00,10.00,210,33.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,976.61,08-12-2019,19:00:00,30.3,30.06,24.1,70,3.7,1003.68,0.00,0.00,10.00,180,34.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,969.94,08-12-2019,19:00:00,30.2,33.00,25.7,77,0.0,1002.92,0.30,0.00,10.00,000,33.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,985.64,08-12-2019,19:00:00,29.0,30.29,24.3,76,11.1,1003.94,5.30,0.00,10.00,240,33.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,980.47,08-12-2019,19:00:00,29.8,29.08,23.6,69,0.0,1002.95,16.20,0.00,10.00,000,34.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,974.66,08-12-2019,19:00:00,27.0,31.38,24.8,88,0.0,1004.40,21.00,1.80,7.00,000,31.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,968.65,08-12-2019,19:00:00,29.2,33.83,26.1,83,0.0,1003.68,0.01,0.01,6.00,000,31.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.40,08-12-2019,19:00:00,26.0,30.84,24.6,92,0.0,1004.06,19.60,6.90,10.00,000,33.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.13,08-12-2019,19:00:00,27.6,32.28,25.3,87,0.0,1004.40,8.80,6.40,8.00,000,34.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.23,08-12-2019,19:00:00,28.2,34.65,26.5,91,3.7,1003.98,38.90,0.00,10.00,190,31.7
48353,LOEI,เลย,เลย,17.45000,101.73333,975.67,08-12-2019,19:00:00,26.5,30.43,24.3,88,3.7,1004.25,16.90,2.90,5.00,130,32.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.41,08-12-2019,19:00:00,28.5,32.96,25.7,85,7.4,1004.42,52.80,0.00,12.00,290,32.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,982.80,08-12-2019,19:00:00,29.8,33.62,26.0,80,0.0,1004.25,0.40,0.00,12.00,000,33.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,984.60,08-12-2019,19:00:00,30.0,32.59,25.5,77,0.0,1003.82,1.20,0.00,15.00,000,33.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,987.90,08-12-2019,19:00:00,30.0,32.59,25.5,77,0.0,1004.43,1.30,0.00,10.00,000,32.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,987.35,08-12-2019,19:00:00,29.0,33.99,26.2,85,0.0,1004.59,0.01,0.00,12.00,000,32.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,977.61,08-12-2019,19:00:00,26.5,33.19,25.8,96,5.6,1003.31,8.00,1.20,10.00,330,33.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.08,08-12-2019,19:00:00,27.2,33.74,26.1,94,0.0,1004.86,3.00,0.30,9.00,000,33.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.94,08-12-2019,19:00:00,26.2,32.04,25.2,94,0.0,1005.14,8.00,7.50,7.00,000,32.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.08,08-12-2019,19:00:00,28.0,29.19,23.6,77,0.0,1005.44,0.60,0.00,10.00,000,33.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.08,08-12-2019,19:00:00,25.3,29.54,23.8,92,0.0,1004.46,10.50,5.30,10.00,000,31.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.04,08-12-2019,19:00:00,27.6,30.89,24.6,84,0.0,1005.37,1.30,0.00,6.00,000,32.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,988.43,08-12-2019,19:00:00,25.5,31.25,24.8,96,0.0,1004.86,2.40,2.00,6.00,000,31.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.39,08-12-2019,19:00:00,29.5,35.05,26.7,85,5.6,1005.57,16.10,0.01,8.00,170,32.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.27,08-12-2019,19:00:00,27.5,32.93,25.7,90,0.0,1003.40,0.80,0.80,10.00,000,33.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,995.68,08-12-2019,19:00:00,27.6,31.72,25.0,86,3.7,1004.96,0.00,0.00,10.00,020,33.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.02,08-12-2019,19:00:00,31.5,28.51,23.2,62,3.7,1003.30,0.00,0.00,10.00,210,33.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.44,08-12-2019,19:00:00,30.8,32.51,25.4,73,0.0,1004.68,0.00,0.00,10.00,000,34.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.00,08-12-2019,19:00:00,27.5,32.36,25.4,88,0.0,1004.77,19.30,1.60,10.00,000,33.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.34,08-12-2019,19:00:00,31.3,30.94,24.6,68,0.0,1002.89,0.00,0.00,10.00,000,33.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.34,08-12-2019,19:00:00,26.2,28.54,23.3,84,0.0,1006.44,6.10,0.00,8.00,000,29.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.91,08-12-2019,19:00:00,30.7,32.30,25.3,73,9.3,1004.81,0.80,0.00,8.00,180,33.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,910.88,08-12-2019,19:00:00,21.3,24.60,20.8,97,7.4,1005.93,5.70,1.10,.50,210,26.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,988.71,08-12-2019,19:00:00,29.5,33.58,26.0,81,0.0,1004.52,4.40,0.10,8.00,000,34.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.75,08-12-2019,19:00:00,27.7,33.62,26.0,91,0.0,1005.77,3.60,3.60,5.00,000,33.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.86,08-12-2019,19:00:00,30.0,31.44,24.9,74,0.0,1006.42,1.90,0.00,6.00,000,32.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.85,08-12-2019,19:00:00,26.4,30.51,24.4,89,9.3,1006.78,7.00,5.00,6.00,190,33.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.53,08-12-2019,19:00:00,30.4,27.22,22.5,63,0.0,1005.12,0.01,0.00,10.00,000,34.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.14,08-12-2019,19:00:00,30.5,31.60,25.0,72,0.0,1004.56,7.00,0.00,10.00,000,32.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,987.94,08-12-2019,19:00:00,29.7,33.71,26.0,81,0.0,1003.91,4.80,4.30,10.00,000,33.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,990.98,08-12-2019,19:00:00,30.4,31.39,24.9,72,5.6,1004.83,0.00,0.00,10.00,160,34.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,990.95,08-12-2019,19:00:00,28.8,31.29,24.8,79,3.7,1005.67,0.00,0.00,10.00,130,34.6
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,990.77,08-12-2019,19:00:00,31.0,32.93,25.7,73,7.4,1005.22,0.30,0.00,8.00,240,34.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.41,08-12-2019,19:00:00,28.3,32.84,25.6,85,0.0,1005.41,1.00,0.00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",33.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,996.83,08-12-2019,19:00:00,31.0,30.90,24.6,69,0.0,1004.66,0.20,0.00,10.00,000,33.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1002.87,08-12-2019,19:00:00,30.5,32.17,25.3,74,7.4,1003.96,8.10,0.00,7.00,180,33.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.78,08-12-2019,19:00:00,31.0,27.27,22.5,61,0.0,1005.24,0.00,0.00,8.00,000,33.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.65,08-12-2019,19:00:00,19.8,22.85,19.6,99,9.3,1007.58,31.40,0.00,.05,190,21.1
