WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,WindDirection,LandVisibility,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,VaporPressure,DewPoint,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,92,08-13-2019,04:00:00,25.1,000,8.00,0.00,1006.46,0.10,0.0,29.44,23.8,975.47
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,08-13-2019,04:00:00,17.9,140,.10,0.00,1003.84,15.50,14.8,20.28,17.7,842.64
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,95,08-13-2019,04:00:00,24.0,000,9.00,4.00,1005.88,44.30,0.0,28.27,23.1,962.08
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,96,08-13-2019,04:00:00,23.6,000,1.00,5.00,1006.04,20.40,0.0,27.83,22.9,960.26
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,08-13-2019,04:00:00,24.3,000,6.00,10.20,1006.27,42.40,0.0,30.36,24.3,968.49
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,96,08-13-2019,04:00:00,24.5,000,10.00,0.10,1006.52,3.10,0.0,29.41,23.8,961.30
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,96,08-13-2019,04:00:00,25.5,000,6.00,1.70,1006.60,10.30,0.0,31.25,24.8,979.84
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,97,08-13-2019,04:00:00,25.0,090,11.00,0.00,1006.45,2.20,5.6,30.58,24.4,984.61
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,94,08-13-2019,04:00:00,24.5,000,5.00,0.00,1006.82,6.10,0.0,28.89,23.5,982.58
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,90,08-13-2019,04:00:00,25.2,000,8.00,0.40,1007.11,0.40,0.0,28.83,23.4,972.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,86,08-13-2019,04:00:00,26.2,000,10.00,0.00,1007.85,0.00,0.0,29.33,23.7,980.29
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,96,08-13-2019,04:00:00,24.8,000,10.00,0.00,1006.57,26.20,0.0,29.95,24.1,972.88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,92,08-13-2019,04:00:00,25.7,000,10.00,0.00,1006.00,4.80,0.0,30.28,24.2,987.47
48331,NAN,น่าน,น่าน,18.77972,100.77778,94,08-13-2019,04:00:00,26.1,000,10.00,0.00,1006.34,8.60,0.0,31.85,25.1,983.51
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,95,08-13-2019,04:00:00,24.8,000,8.00,0.00,1006.53,10.90,0.0,29.69,23.9,976.51
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,97,08-13-2019,04:00:00,24.4,000,6.00,1.00,1006.35,5.60,0.0,29.49,23.8,970.67
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,99,08-13-2019,04:00:00,24.6,000,3.00,0.50,1005.92,10.80,0.0,30.65,24.4,976.08
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,94,08-13-2019,04:00:00,25.7,000,7.00,0.00,1006.28,11.00,0.0,31.08,24.7,998.95
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,98,08-13-2019,04:00:00,25.2,240,6.00,1.00,1005.72,38.30,5.6,31.49,24.9,985.75
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,94,08-13-2019,04:00:00,25.7,000,7.00,3.10,1005.89,7.10,0.0,31.08,24.7,985.67
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,96,08-13-2019,04:00:00,25.0,320,6.00,9.40,1006.19,9.80,3.7,30.32,24.3,984.36
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,96,08-13-2019,04:00:00,25.2,300,8.00,3.50,1005.81,4.70,3.7,30.69,24.5,986.24
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,94,08-13-2019,04:00:00,24.0,360,7.00,12.90,1006.48,14.50,1.9,28.01,23.0,989.59
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,93,08-13-2019,04:00:00,24.5,270,6.00,6.00,1006.45,6.00,9.3,28.63,23.3,988.91
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,98,08-13-2019,04:00:00,25.0,000,10.00,1.60,1005.31,7.40,0.0,31.12,24.7,979.42
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,100,08-13-2019,04:00:00,26.0,000,8.00,0.00,1006.06,6.30,0.0,33.60,26.0,1000.26
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,98,08-13-2019,04:00:00,25.7,000,6.00,0.00,1005.95,9.10,0.0,32.45,25.4,999.74
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,93,08-13-2019,04:00:00,25.0,000,8.00,0.00,1007.62,0.00,0.0,29.52,23.8,991.07
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,93,08-13-2019,04:00:00,24.3,170,10.00,0.00,1005.29,12.70,5.6,28.28,23.1,982.82
48376,TAK,ตาก,ตาก,16.87833,99.14333,97,08-13-2019,04:00:00,25.3,000,6.00,0.00,1006.72,1.70,0.0,31.14,24.7,992.26
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,96,08-13-2019,04:00:00,24.5,000,7.00,0.00,1006.26,2.90,0.0,29.41,23.8,989.76
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,94,08-13-2019,04:00:00,25.4,000,7.00,2.40,1006.88,2.50,0.0,30.52,24.4,1001.62
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,96,08-13-2019,04:00:00,25.0,000,8.00,0.80,1005.76,5.60,0.0,30.32,24.3,992.49
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,97,08-13-2019,04:00:00,25.7,000,10.00,0.50,1006.14,4.20,0.0,31.90,25.1,996.79
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,84,08-13-2019,04:00:00,27.1,000,8.00,0.00,1006.59,0.01,0.0,29.93,24.1,984.92
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,86,08-13-2019,04:00:00,27.4,000,10.00,0.00,1006.39,0.00,0.0,31.33,24.8,988.93
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,91,08-13-2019,04:00:00,26.6,230,10.00,0.00,1005.22,1.60,7.4,31.71,25.0,989.39
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,88,08-13-2019,04:00:00,27.0,000,8.00,0.10,1005.23,0.10,0.0,31.38,24.8,986.38
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,94,08-13-2019,04:00:00,23.4,000,6.00,0.00,1008.84,12.50,0.0,26.99,22.3,957.14
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,97,08-13-2019,04:00:00,25.8,090,4.00,2.10,1006.77,2.60,3.7,32.09,25.2,1002.79
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,08-13-2019,04:00:00,21.1,180,4.00,0.00,1006.84,7.10,7.4,24.53,20.8,911.64
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,96,08-13-2019,04:00:00,26.0,000,5.00,0.00,1006.11,0.70,0.0,32.20,25.3,990.08
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,97,08-13-2019,04:00:00,26.4,000,6.00,0.30,1006.41,5.50,0.0,33.27,25.8,1002.37
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,93,08-13-2019,04:00:00,26.2,000,5.00,0.00,1007.70,1.30,0.0,31.76,25.0,997.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,94,08-13-2019,04:00:00,25.0,000,8.00,0.20,1005.90,5.80,0.0,29.79,24.0,1003.96
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,93,08-13-2019,04:00:00,26.2,200,10.00,1.60,1006.87,1.60,3.7,31.49,24.9,985.96
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,92,08-13-2019,04:00:00,26.5,230,10.00,0.00,1006.13,0.00,7.4,31.79,25.1,988.46
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,92,08-13-2019,04:00:00,26.5,220,10.00,0.00,1005.80,4.30,5.6,31.79,25.1,989.63
