WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,RelativeHumidity,StationPressure,WindSpeed,Rainfall24Hr,WindDirection,LandVisibility,DewPoint,AirTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-13-2019,10:00:00,1008.54,84,977.68,0.0,0.00,000,10.00,24.1,27.0,30.02
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-13-2019,10:00:00,1006.03,96,845.36,11.1,42.80,270,8.00,19.1,19.7,22.04
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-13-2019,10:00:00,1008.21,81,964.71,5.6,44.60,160,10.00,23.3,26.8,28.57
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-13-2019,10:00:00,1007.89,81,962.52,0.0,20.40,000,15.00,23.4,26.9,28.76
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1.20,08-13-2019,10:00:00,1008.78,95,971.14,5.6,47.70,210,8.00,25.3,26.2,32.32
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.10,08-13-2019,10:00:00,1008.12,82,963.08,5.6,3.80,150,10.00,23.0,26.2,28.01
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.30,08-13-2019,10:00:00,1008.99,87,982.34,3.7,10.20,180,7.00,25.1,27.5,31.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-13-2019,10:00:00,1009.25,84,987.52,0.0,2.60,000,10.00,24.4,27.4,30.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-13-2019,10:00:00,1009.26,79,985.23,0.0,5.80,000,8.00,23.7,27.8,29.36
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.60,08-13-2019,10:00:00,1008.77,83,974.29,0.0,5.00,000,10.00,23.7,26.8,29.37
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-13-2019,10:00:00,1008.75,78,981.36,0.0,0.00,000,10.00,24.1,28.3,30.04
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-13-2019,10:00:00,1008.58,85,975.03,0.0,20.40,000,10.00,23.9,26.7,29.72
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.01,08-13-2019,10:00:00,1008.35,80,989.96,13.0,6.30,250,7.00,24.9,28.8,31.57
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.10,08-13-2019,10:00:00,1008.55,86,985.76,0.0,7.20,000,10.00,24.7,27.3,31.14
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-13-2019,10:00:00,1008.62,88,978.70,0.0,10.90,000,10.00,24.2,26.4,30.24
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-13-2019,10:00:00,1008.81,90,973.37,0.0,5.60,000,7.00,25.5,27.2,32.61
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.60,08-13-2019,10:00:00,1008.24,93,978.47,5.6,13.20,120,10.00,24.8,26.0,31.38
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.30,08-13-2019,10:00:00,1009.08,92,1001.76,0.0,11.30,000,8.00,25.6,27.0,32.77
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-13-2019,10:00:00,1007.96,90,988.14,5.6,38.40,080,12.00,26.5,28.3,34.57
48353,LOEI,เลย,เลย,17.45000,101.73333,0.40,08-13-2019,10:00:00,1008.62,89,979.89,7.4,5.50,150,10.00,24.4,26.3,30.59
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.10,08-13-2019,10:00:00,1008.52,83,988.38,11.1,8.20,220,10.00,24.5,27.7,30.81
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.50,08-13-2019,10:00:00,1009.05,84,987.38,0.0,10.90,000,12.00,25.2,28.2,32.07
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.20,08-13-2019,10:00:00,1008.14,86,988.73,3.7,6.90,200,15.00,25.6,28.2,32.92
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.50,08-13-2019,10:00:00,1009.06,89,992.24,3.7,15.80,250,8.00,24.0,26.0,29.76
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1.80,08-13-2019,10:00:00,1009.19,91,991.69,0.0,13.00,000,9.00,24.3,25.9,30.38
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.01,08-13-2019,10:00:00,1008.30,86,982.55,7.4,7.60,180,9.00,24.9,27.5,31.52
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-13-2019,10:00:00,1008.95,94,1003.16,0.0,6.30,000,10.00,26.3,27.3,34.23
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-13-2019,10:00:00,1009.60,90,1003.40,0.0,9.10,000,10.00,25.8,27.5,33.21
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-13-2019,10:00:00,1009.65,84,993.22,0.0,3.40,000,10.00,24.9,27.8,31.56
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-13-2019,10:00:00,1007.75,84,985.46,3.7,12.70,150,10.00,24.6,27.5,30.97
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-13-2019,10:00:00,1009.78,85,995.42,3.7,1.30,150,7.00,25.4,28.2,32.35
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-13-2019,10:00:00,1009.18,82,992.82,0.0,3.00,000,8.00,24.7,28.0,31.11
