WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MaximumTemperature,VaporPressure,LandVisibility,WindDirection,StationPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,Rainfall,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-13-2019,19:00:00,32.2,31.86,10.00,000,975.05,1005.64,0.0,25.1,0.01,0.00,28.8,80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-13-2019,19:00:00,23.4,21.73,8.00,290,844.34,1004.12,11.1,18.8,27.30,0.00,20.9,88
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-13-2019,19:00:00,30.4,31.73,10.00,220,961.86,1004.87,3.7,25.0,39.60,0.00,29.3,78
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-13-2019,19:00:00,30.4,31.79,15.00,000,959.86,1004.91,0.0,25.1,18.60,0.00,28.2,83
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-13-2019,19:00:00,28.5,33.01,8.00,000,968.62,1006.01,0.0,25.7,45.60,0.00,27.4,90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-13-2019,19:00:00,32.5,29.60,12.00,130,960.81,1005.55,9.3,23.9,3.80,0.00,27.5,81
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-13-2019,19:00:00,30.4,34.49,10.00,200,979.72,1006.16,3.7,26.4,4.40,0.00,29.1,86
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-13-2019,19:00:00,32.5,29.75,12.00,210,984.89,1006.37,3.7,24.0,0.40,0.00,30.0,70
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-13-2019,19:00:00,31.3,31.66,8.00,000,984.12,1008.19,0.0,25.0,6.70,0.50,27.0,89
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-13-2019,19:00:00,32.3,30.50,10.00,200,971.57,1005.57,3.7,24.4,5.00,0.00,30.1,72
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-13-2019,19:00:00,32.2,31.90,10.00,000,979.37,1006.70,0.0,25.1,0.00,0.00,28.4,82
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-13-2019,19:00:00,32.2,31.05,10.00,000,972.49,1005.68,0.0,24.7,20.10,0.00,29.1,77
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-13-2019,19:00:00,31.6,32.69,8.00,000,988.02,1006.48,0.0,25.5,3.50,1.50,27.1,91
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-13-2019,19:00:00,32.0,31.98,10.00,000,983.77,1006.38,0.0,25.2,0.10,0.00,29.0,80
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-13-2019,19:00:00,30.7,35.76,12.00,000,976.21,1005.80,0.0,27.0,0.00,0.00,29.0,89
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-13-2019,19:00:00,29.5,31.79,7.00,000,971.17,1006.62,0.0,25.1,5.60,0.00,26.5,92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-13-2019,19:00:00,32.4,33.41,13.00,250,975.85,1005.32,3.7,25.9,6.30,0.00,28.3,87
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-13-2019,19:00:00,31.9,32.96,9.00,000,999.81,1007.10,0.0,25.7,2.50,0.01,27.8,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-13-2019,19:00:00,30.3,34.15,10.00,000,986.22,1005.96,0.0,26.3,37.00,0.00,28.8,86
48353,LOEI,เลย,เลย,17.45000,101.73333,08-13-2019,19:00:00,32.0,27.96,15.00,280,977.24,1005.58,3.7,22.9,2.40,0.00,29.5,68
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-13-2019,19:00:00,30.1,32.30,12.00,180,985.65,1005.68,1.9,25.3,7.10,0.01,28.6,83
