WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall24Hr,DewPoint,Rainfall,AirTemperature,LandVisibility,VaporPressure,MeanSeaLevelPressure,StationPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-14-2019,01:00:00,0.20,24.6,0.01,25.9,7.00,30.92,1008.91,977.92,000,93
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,08-14-2019,01:00:00,1.20,18.7,0.00,19.5,8.00,21.54,1006.14,845.36,270,95
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-14-2019,01:00:00,4.30,24.5,0.01,26.8,10.00,30.72,1006.83,963.38,000,87
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-14-2019,01:00:00,5.00,24.6,0.00,26.0,12.00,30.84,1006.82,961.36,000,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-14-2019,01:00:00,16.30,25.2,0.00,25.8,6.00,32.09,1007.45,969.81,000,97
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.3,08-14-2019,01:00:00,0.80,24.0,0.00,25.5,10.00,29.91,1007.40,962.29,140,92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-14-2019,01:00:00,2.20,25.2,0.01,26.5,7.00,32.07,1008.52,981.79,000,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-14-2019,01:00:00,0.40,24.8,0.00,26.0,10.00,31.38,1008.81,986.99,000,93
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-14-2019,01:00:00,7.10,24.4,0.00,25.6,6.00,30.63,1009.86,985.64,000,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-14-2019,01:00:00,5.00,24.4,0.00,27.0,10.00,30.56,1007.72,973.30,000,86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-14-2019,01:00:00,0.00,24.2,0.00,26.8,10.00,30.18,1008.65,981.13,000,86
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-14-2019,01:00:00,0.20,24.9,0.00,27.5,10.00,31.52,1007.69,974.26,000,86
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,9.3,08-14-2019,01:00:00,3.50,24.0,0.00,25.5,7.00,29.91,1008.13,989.54,250,92
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-14-2019,01:00:00,0.10,25.1,0.00,26.7,10.00,31.91,1007.63,984.82,000,91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-14-2019,01:00:00,0.00,24.6,0.00,25.5,7.00,30.98,1007.75,977.77,000,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-14-2019,01:00:00,1.00,25.3,0.00,26.0,6.00,32.20,1008.35,972.78,000,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-14-2019,01:00:00,2.90,25.2,0.00,25.6,10.00,31.98,1006.97,977.18,000,97
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-14-2019,01:00:00,2.70,24.7,0.01,25.7,8.00,31.08,1008.43,1001.09,000,94
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,08-14-2019,01:00:00,2.60,26.3,1.00,27.0,10.00,34.19,1007.07,987.19,000,96
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-14-2019,01:00:00,1.60,24.8,0.00,26.5,13.00,31.24,1007.57,978.89,000,90
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,08-14-2019,01:00:00,4.90,25.5,0.60,26.9,10.00,32.58,1006.92,986.76,000,92
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,08-14-2019,01:00:00,14.20,24.4,0.00,26.4,10.00,30.51,1007.83,986.06,000,89
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,08-14-2019,01:00:00,9.70,24.9,0.00,26.5,10.00,31.52,1006.87,987.37,160,91
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-14-2019,01:00:00,29.50,24.6,0.00,25.5,10.00,30.98,1007.68,990.84,000,95
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-14-2019,01:00:00,30.80,24.7,0.00,25.3,10.00,31.14,1007.88,990.37,000,97
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-14-2019,01:00:00,3.00,26.2,0.00,26.8,8.00,34.07,1007.19,981.41,000,97
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,08-14-2019,01:00:00,3.40,25.7,0.00,26.0,10.00,33.04,1007.94,1002.13,000,98
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-14-2019,01:00:00,2.70,25.5,0.00,25.8,10.00,32.65,1008.29,1002.06,000,98
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-14-2019,01:00:00,3.40,23.2,0.00,25.0,8.00,28.48,1008.97,992.39,000,90
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,08-14-2019,01:00:00,8.00,24.3,1.60,25.0,10.00,30.32,1007.81,985.33,180,96
48376,TAK,ตาก,ตาก,16.87833,99.14333,7.4,08-14-2019,01:00:00,8.20,23.0,0.00,27.8,6.00,28.02,1008.89,994.52,270,75
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-14-2019,01:00:00,1.50,23.6,0.00,28.0,7.00,29.19,1008.06,991.71,000,77
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-14-2019,01:00:00,11.00,24.0,0.01,25.5,10.00,29.91,1009.01,1003.74,000,92
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-14-2019,01:00:00,7.00,23.4,0.00,25.3,10.00,28.75,1006.69,993.42,000,89
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,08-14-2019,01:00:00,33.70,25.4,0.00,25.8,10.00,32.37,1008.50,999.13,000,97
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.7,08-14-2019,01:00:00,1.70,24.9,0.00,26.9,8.00,31.46,1007.71,986.01,200,89
