WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity,LandVisibility,Rainfall24Hr,VaporPressure,WindSpeed,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-14-2019,10:00:00,978.87,1009.68,24.9,000,84,10.00,0.80,31.47,0.0,27.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-14-2019,10:00:00,846.29,1007.30,19.2,270,99,5.00,1.20,22.28,37.0,19.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.90,08-14-2019,10:00:00,964.99,1008.52,24.8,170,90,10.00,2.30,31.35,9.3,26.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,2.50,08-14-2019,10:00:00,962.84,1008.29,24.3,000,88,15.00,3.50,30.43,0.0,26.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,3.10,08-14-2019,10:00:00,971.55,1009.28,25.4,000,99,6.00,4.80,32.53,0.0,25.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1.10,08-14-2019,10:00:00,963.99,1009.03,25.1,000,92,8.00,1.10,31.79,0.0,26.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.50,08-14-2019,10:00:00,982.98,1009.70,25.1,000,90,7.00,0.70,31.94,0.0,27.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-14-2019,10:00:00,987.06,1008.57,23.8,120,68,12.00,0.00,29.50,7.4,30.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,12.20,08-14-2019,10:00:00,986.45,1010.71,24.8,000,97,4.00,21.50,31.33,0.0,25.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-14-2019,10:00:00,974.52,1008.84,23.3,000,75,10.00,0.00,28.68,0.0,28.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-14-2019,10:00:00,981.77,1009.28,24.7,000,87,10.00,0.00,31.02,0.0,27.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-14-2019,10:00:00,975.17,1008.66,24.0,000,83,12.00,0.00,29.85,0.0,27.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-14-2019,10:00:00,990.44,1008.88,24.4,240,81,8.00,2.00,30.56,3.7,28.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-14-2019,10:00:00,986.00,1008.69,24.9,000,80,10.00,0.00,31.46,0.0,28.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-14-2019,10:00:00,978.53,1008.44,24.0,000,86,10.00,0.00,29.89,0.0,26.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-14-2019,10:00:00,974.01,1009.56,25.1,000,92,6.00,0.00,31.79,0.0,26.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-14-2019,10:00:00,977.90,1007.46,25.1,000,85,15.00,0.00,31.95,0.0,28.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-14-2019,10:00:00,1001.83,1009.11,25.4,000,83,6.00,2.40,32.39,0.0,28.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-14-2019,10:00:00,987.48,1007.07,25.9,250,72,20.00,2.60,33.40,13.0,31.5
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-14-2019,10:00:00,979.26,1007.65,24.4,280,74,12.00,0.00,30.63,3.7,29.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-14-2019,10:00:00,987.56,1007.52,24.2,240,71,13.00,1.00,30.22,7.4,30.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-14-2019,10:00:00,986.26,1007.92,25.1,220,85,10.00,3.30,31.95,5.6,28.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-14-2019,10:00:00,988.38,1007.78,25.0,250,82,15.00,4.00,31.62,5.6,28.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.01,08-14-2019,10:00:00,991.66,1008.33,25.6,220,84,9.00,15.40,32.88,1.9,28.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-14-2019,10:00:00,991.21,1008.53,25.1,260,81,12.00,17.80,31.94,3.7,28.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-14-2019,10:00:00,981.79,1007.28,25.2,290,74,9.00,1.00,32.05,7.4,30.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-14-2019,10:00:00,1003.26,1008.99,26.3,000,78,10.00,3.40,34.22,0.0,30.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-14-2019,10:00:00,1002.43,1008.57,26.2,000,80,10.00,2.70,34.05,0.0,30.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-14-2019,10:00:00,992.87,1009.27,24.3,000,80,10.00,0.00,30.40,0.0,28.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.20,08-14-2019,10:00:00,986.39,1008.79,24.1,150,87,8.00,9.60,29.97,3.7,26.4
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-14-2019,10:00:00,995.81,1010.19,23.6,300,77,8.00,8.20,29.19,7.4,28.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-14-2019,10:00:00,992.59,1008.79,24.8,000,71,12.00,1.00,31.35,0.0,30.8
