WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,RelativeHumidity,DewPoint,WindSpeed,LandVisibility,Rainfall24Hr,AirTemperature,StationPressure,WindDirection,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.17,08-17-2019,01:00:00,2.10,95,24.7,0.0,6.00,14.00,25.6,974.42,000,1005.32
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.25,08-17-2019,01:00:00,0.00,98,18.5,33.3,1.00,21.30,18.8,842.61,300,1003.27
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.48,08-17-2019,01:00:00,0.00,90,23.2,1.9,10.00,0.10,25.0,960.44,170,1004.01
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.89,08-17-2019,01:00:00,0.00,94,23.5,0.0,12.00,2.40,24.5,958.69,000,1004.26
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.04,08-17-2019,01:00:00,0.00,97,23.6,0.0,5.00,10.50,24.0,967.53,000,1005.31
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.23,08-17-2019,01:00:00,0.00,96,23.7,5.6,6.00,15.10,24.4,959.13,120,1004.26
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.41,08-17-2019,01:00:00,5.20,96,23.8,0.0,5.00,93.40,24.5,978.70,000,1005.52
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.79,08-17-2019,01:00:00,0.10,97,25.1,0.0,10.00,3.10,25.5,983.49,000,1005.27
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.25,08-17-2019,01:00:00,2.30,96,24.8,0.0,6.00,7.50,25.5,982.12,000,1006.26
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.79,08-17-2019,01:00:00,0.20,94,24.0,0.0,10.00,14.60,25.0,970.61,000,1005.17
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.25,08-17-2019,01:00:00,0.50,96,24.8,0.0,7.00,36.10,25.5,979.14,000,1006.73
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.32,08-17-2019,01:00:00,0.20,96,24.3,0.0,2.00,8.30,25.0,971.29,000,1004.90
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.41,08-17-2019,01:00:00,0.60,97,24.9,0.0,6.00,25.10,25.3,986.17,000,1004.71
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.58,08-17-2019,01:00:00,1.50,97,24.4,0.0,7.00,57.00,25.0,981.87,000,1004.75
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.53,08-17-2019,01:00:00,1.50,96,23.3,0.0,5.00,45.40,24.0,975.52,000,1005.59
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.08,08-17-2019,01:00:00,2.00,94,24.7,0.0,6.00,5.50,25.7,969.56,000,1005.04
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.39,08-17-2019,01:00:00,1.80,99,24.8,0.0,3.00,10.70,25.0,974.72,000,1004.49
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.27,08-17-2019,01:00:00,0.01,94,24.8,0.0,8.00,4.60,25.8,997.74,000,1005.06
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.30,08-17-2019,01:00:00,7.20,97,24.3,3.7,10.00,10.80,24.7,985.41,090,1005.41
48353,LOEI,เลย,เลย,17.45000,101.73333,31.25,08-17-2019,01:00:00,0.30,96,24.8,0.0,6.00,9.30,25.5,975.72,000,1004.40
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.17,08-17-2019,01:00:00,0.60,95,24.7,0.0,10.00,11.30,25.6,985.21,000,1005.43
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.41,08-17-2019,01:00:00,1.60,96,23.8,0.0,10.00,14.40,24.5,984.31,000,1006.18
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.48,08-17-2019,01:00:00,2.40,97,24.4,3.7,8.00,16.70,24.8,986.05,040,1005.64
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.70,08-17-2019,01:00:00,3.00,96,23.4,0.0,6.00,19.60,24.1,990.23,000,1007.13
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.23,08-17-2019,01:00:00,4.80,96,23.7,0.0,6.00,17.40,24.4,989.34,000,1006.89
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.49,08-17-2019,01:00:00,1.20,98,24.9,0.0,10.00,8.60,25.2,978.47,000,1004.31
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.56,08-17-2019,01:00:00,0.00,81,24.4,5.6,10.00,0.00,28.0,998.72,280,1004.47
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.95,08-17-2019,01:00:00,0.00,85,25.1,0.0,10.00,0.00,28.0,997.35,000,1003.50
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,32.07,08-17-2019,01:00:00,0.00,93,25.2,0.0,8.00,4.20,26.5,988.75,000,1005.18
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.00,08-17-2019,01:00:00,0.80,92,23.5,9.3,7.00,6.10,25.0,983.05,240,1005.47
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.65,08-17-2019,01:00:00,0.00,76,23.3,0.0,6.00,0.00,28.0,991.50,000,1005.82
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.95,08-17-2019,01:00:00,0.00,75,23.5,0.0,7.00,0.00,28.3,988.57,000,1004.85
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.78,08-17-2019,01:00:00,0.00,92,26.1,3.7,10.00,0.01,27.5,1000.27,170,1005.49
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.78,08-17-2019,01:00:00,0.00,87,24.0,0.0,10.00,0.00,26.3,989.71,000,1002.88
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.66,08-17-2019,01:00:00,0.00,93,26.0,0.0,10.00,1.40,27.3,995.42,000,1004.71
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,32.15,08-17-2019,01:00:00,0.00,93,25.3,1.9,8.00,0.40,26.4,983.60,020,1005.28
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,31.95,08-17-2019,01:00:00,0.00,85,25.1,0.0,10.00,0.00,28.0,988.27,000,1005.68
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.71,08-17-2019,01:00:00,1.20,97,25.0,0.0,10.00,14.10,25.6,989.48,000,1005.36
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,33.90,08-17-2019,01:00:00,0.00,91,26.1,0.0,8.00,0.00,27.7,985.59,000,1004.37
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.42,08-17-2019,01:00:00,0.00,93,22.6,0.0,6.00,2.50,23.8,957.52,000,1009.17
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.97,08-17-2019,01:00:00,0.00,88,25.2,7.4,7.00,0.00,27.3,1001.29,110,1005.23
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.88,08-17-2019,01:00:00,0.00,91,20.3,18.5,4.00,0.20,21.9,911.46,230,1006.37
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.26,08-17-2019,01:00:00,0.00,93,25.3,0.0,7.00,0.00,26.6,989.34,000,1005.32
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.72,08-17-2019,01:00:00,0.00,86,25.0,3.7,9.00,0.00,27.6,1001.72,200,1005.74
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,32.74,08-17-2019,01:00:00,0.00,94,25.6,0.0,7.00,3.80,26.7,996.18,000,1006.86
