WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1004.86,08-17-2019,04:00:00,30.69,0.0,96,973.93,19.70,25.2,5.90,5.00,000,24.5
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1003.05,08-17-2019,04:00:00,21.25,18.5,98,842.42,21.30,18.8,0.00,1.00,300,18.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1003.04,08-17-2019,04:00:00,28.22,3.7,89,959.51,0.10,25.0,0.00,10.00,210,23.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1003.24,08-17-2019,04:00:00,28.79,0.0,95,957.69,2.40,24.3,0.00,10.00,000,23.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1004.55,08-17-2019,04:00:00,28.68,7.4,99,966.74,55.00,23.5,44.50,4.00,200,23.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1004.64,08-17-2019,04:00:00,29.66,5.6,98,959.46,11.60,24.2,0.00,7.00,100,23.9
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1004.52,08-17-2019,04:00:00,29.41,0.0,96,977.72,93.10,24.5,0.40,4.00,000,23.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1004.43,08-17-2019,04:00:00,31.12,0.0,98,982.64,3.30,25.0,0.20,10.00,000,24.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1005.52,08-17-2019,04:00:00,31.33,0.0,97,981.39,7.80,25.4,0.30,6.00,000,24.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1004.27,08-17-2019,04:00:00,30.05,0.0,95,969.74,14.60,25.0,0.00,10.00,000,24.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1005.67,08-17-2019,04:00:00,30.32,0.0,96,978.07,36.10,25.0,0.00,7.00,000,24.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1004.22,08-17-2019,04:00:00,30.87,0.0,96,970.66,8.30,25.3,0.00,10.00,000,24.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1004.32,08-17-2019,04:00:00,30.85,0.0,97,985.77,25.10,25.0,0.00,7.00,000,24.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,1003.55,08-17-2019,04:00:00,30.22,0.0,97,980.68,56.80,24.8,3.20,7.00,000,24.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1004.05,08-17-2019,04:00:00,28.53,0.0,96,974.03,46.10,24.0,2.20,5.00,000,23.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1004.11,08-17-2019,04:00:00,31.25,0.0,96,968.64,5.50,25.5,0.00,6.00,000,24.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1004.38,08-17-2019,04:00:00,31.39,11.1,99,974.62,5.90,25.0,0.40,7.00,150,24.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.53,08-17-2019,04:00:00,31.44,0.0,96,997.21,4.60,25.6,0.01,8.00,000,24.9
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1004.73,08-17-2019,04:00:00,30.85,5.6,97,984.76,9.60,25.0,0.00,10.00,120,24.6
48353,LOEI,เลย,เลย,17.45000,101.73333,1004.45,08-17-2019,04:00:00,30.34,7.4,94,975.75,2.60,25.3,0.01,10.00,170,24.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1005.06,08-17-2019,04:00:00,30.71,1.9,94,984.85,11.50,25.5,0.20,10.00,140,24.5
