WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,Rainfall24Hr,VaporPressure,DewPoint,LandVisibility,WindSpeed,Rainfall,StationPressure,MeanSeaLevelPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-17-2019,10:00:00,27.0,22.80,32.21,25.3,8.00,0.0,0.30,975.72,1006.52,90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,300,08-17-2019,10:00:00,20.5,12.40,22.73,19.6,5.00,25.9,0.00,843.96,1003.89,94
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,08-17-2019,10:00:00,29.7,0.10,30.27,24.2,12.00,0.0,0.00,961.51,1004.45,73
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-17-2019,10:00:00,28.9,2.40,30.65,24.5,15.00,0.0,0.00,959.64,1004.57,77
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-17-2019,10:00:00,23.9,103.10,29.64,23.9,7.00,0.0,18.80,972.88,1010.88,100
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,100,08-17-2019,10:00:00,26.1,10.50,30.76,24.5,7.00,11.1,0.00,960.95,1005.91,91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,180,08-17-2019,10:00:00,25.0,130.50,30.32,24.3,4.00,7.4,8.40,979.67,1006.48,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,210,08-17-2019,10:00:00,27.5,3.30,30.97,24.6,12.00,3.7,0.00,985.35,1007.03,84
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-17-2019,10:00:00,27.5,7.80,30.70,24.5,8.00,0.0,0.00,983.47,1007.49,84
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,190,08-17-2019,10:00:00,25.5,18.30,30.44,24.3,8.00,3.7,3.90,972.44,1007.01,93
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-17-2019,10:00:00,24.7,54.30,30.56,24.4,5.00,0.0,16.00,979.83,1007.52,98
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-17-2019,10:00:00,26.0,13.30,30.84,24.6,10.00,0.0,4.30,973.08,1006.64,92
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,260,08-17-2019,10:00:00,25.8,23.10,32.09,25.2,4.00,1.9,6.20,988.39,1006.94,97
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-17-2019,10:00:00,24.6,57.30,30.12,24.2,7.00,0.0,1.20,983.55,1006.50,97
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-17-2019,10:00:00,25.0,67.30,29.00,23.5,8.00,0.0,2.40,976.35,1006.34,92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-17-2019,10:00:00,24.6,12.90,29.85,24.0,5.00,0.0,7.20,971.50,1007.19,97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,220,08-17-2019,10:00:00,27.2,15.70,32.33,25.3,10.00,3.7,1.00,976.74,1006.34,90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-17-2019,10:00:00,27.5,6.90,33.78,26.1,6.00,0.0,1.00,1000.21,1007.50,92
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,220,08-17-2019,10:00:00,29.0,9.60,33.99,26.2,18.00,7.4,0.00,986.93,1006.68,85
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-17-2019,10:00:00,27.8,11.80,31.28,24.8,10.00,0.0,1.80,978.15,1006.68,84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,150,08-17-2019,10:00:00,29.2,14.60,33.24,25.8,10.00,5.6,0.40,986.71,1006.72,82
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,200,08-17-2019,10:00:00,28.2,32.50,31.79,25.1,10.00,3.7,0.00,985.40,1007.02,83
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,190,08-17-2019,10:00:00,27.9,29.20,30.92,24.6,12.00,7.4,0.00,987.92,1007.34,82
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,150,08-17-2019,10:00:00,26.8,51.60,31.82,25.1,10.00,3.7,1.40,991.61,1008.38,90
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,270,08-17-2019,10:00:00,27.5,15.00,30.97,24.6,10.00,3.7,0.50,991.16,1008.56,84
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,200,08-17-2019,10:00:00,28.6,10.60,32.88,25.6,10.00,7.4,0.20,980.88,1006.49,84
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,260,08-17-2019,10:00:00,31.9,0.00,29.02,23.5,10.00,9.3,0.00,1001.22,1006.91,61
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-17-2019,10:00:00,31.3,0.00,32.10,25.2,12.00,0.0,0.00,1000.58,1006.68,70
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-17-2019,10:00:00,29.2,4.20,29.85,24.0,10.00,0.0,0.00,991.07,1007.39,74
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,220,08-17-2019,10:00:00,25.4,38.80,30.25,24.2,8.00,3.7,3.20,984.44,1006.87,93
48376,TAK,ตาก,ตาก,16.87833,99.14333,270,08-17-2019,10:00:00,28.6,0.00,28.16,23.0,8.00,9.3,0.00,993.62,1007.95,72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,120,08-17-2019,10:00:00,29.2,0.00,27.67,22.8,7.00,9.3,0.00,990.38,1006.64,68
