WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,AirTemperature,Rainfall,WindDirection,LandVisibility,RelativeHumidity,WindSpeed,Rainfall24Hr,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1002.94,08-17-2019,16:00:00,33.26,30.6,0.01,000,10.00,76,0.0,16.10,972.61,25.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,999.08,08-17-2019,16:00:00,24.62,24.2,0.00,000,9.00,82,0.0,0.00,841.69,20.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1001.81,08-17-2019,16:00:00,29.82,28.9,2.10,000,15.00,75,0.0,2.10,958.88,24.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1001.93,08-17-2019,16:00:00,32.10,28.5,4.00,210,15.00,83,7.4,4.20,957.06,25.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1003.76,08-17-2019,16:00:00,32.54,26.6,1.60,000,7.00,93,0.0,97.10,966.35,25.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1002.65,08-17-2019,16:00:00,28.67,29.3,0.00,160,12.00,70,11.1,1.40,958.30,23.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1004.11,08-17-2019,16:00:00,31.23,28.2,0.00,170,10.00,82,9.3,126.80,977.65,24.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1004.02,08-17-2019,16:00:00,30.46,30.5,0.00,210,12.00,70,3.7,3.30,982.62,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1004.68,08-17-2019,16:00:00,30.31,28.3,0.00,000,8.00,79,0.0,9.80,980.79,24.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.98,08-17-2019,16:00:00,31.94,27.0,1.30,200,10.00,90,5.6,12.80,969.69,25.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1004.53,08-17-2019,16:00:00,32.61,27.2,2.00,000,8.00,90,0.0,31.20,977.15,25.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.94,08-17-2019,16:00:00,29.98,28.7,0.00,000,10.00,76,0.0,14.50,970.76,24.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1004.03,08-17-2019,16:00:00,31.49,26.2,3.90,090,8.00,93,3.7,25.60,985.56,24.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,1003.92,08-17-2019,16:00:00,31.13,29.0,0.00,030,10.00,78,3.7,58.30,981.37,24.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1003.83,08-17-2019,16:00:00,30.18,28.8,0.00,000,12.00,76,0.0,53.20,974.28,24.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1004.65,08-17-2019,16:00:00,32.54,26.6,1.80,000,5.00,93,0.0,24.90,969.28,25.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1002.54,08-17-2019,16:00:00,31.44,32.8,0.00,290,14.00,63,5.6,15.70,973.57,24.9
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.04,08-17-2019,16:00:00,32.52,31.5,0.00,000,7.00,70,0.0,7.10,996.87,25.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1003.46,08-17-2019,16:00:00,36.22,31.0,0.00,030,20.00,81,9.3,9.60,983.90,27.3
48353,LOEI,เลย,เลย,17.45000,101.73333,1002.60,08-17-2019,16:00:00,29.91,32.2,0.00,140,12.00,62,5.6,10.70,974.59,24.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1003.26,08-17-2019,16:00:00,30.03,32.4,0.00,220,13.00,62,3.7,8.70,983.53,24.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1004.47,08-17-2019,16:00:00,31.56,32.3,0.00,150,15.00,65,3.7,32.10,983.18,24.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1003.67,08-17-2019,16:00:00,31.06,32.2,0.00,160,15.00,65,7.4,29.20,984.59,24.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1004.97,08-17-2019,16:00:00,32.59,30.0,0.00,110,12.00,77,3.7,51.60,988.43,25.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1005.24,08-17-2019,16:00:00,33.17,30.0,0.00,180,10.00,78,5.6,13.90,988.04,25.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1003.49,08-17-2019,16:00:00,32.68,27.8,1.20,020,9.00,88,3.7,11.80,977.89,25.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.69,08-17-2019,16:00:00,31.39,31.1,0.00,250,10.00,69,5.6,0.00,999.00,24.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.79,08-17-2019,16:00:00,31.47,31.0,0.00,000,12.00,70,0.0,0.00,997.70,24.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.48,08-17-2019,16:00:00,31.38,27.0,3.20,000,10.00,88,0.0,7.40,988.09,24.8
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.66,08-17-2019,16:00:00,29.93,29.1,0.00,260,10.00,74,5.6,33.80,981.57,24.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.83,08-17-2019,16:00:00,27.38,31.2,0.00,260,8.00,60,13.0,0.00,990.67,22.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.87,08-17-2019,16:00:00,29.15,31.4,0.00,000,7.00,63,0.0,0.00,987.78,23.6
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.38,08-17-2019,16:00:00,34.24,28.7,2.50,000,7.00,87,0.0,2.50,999.19,26.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.63,08-17-2019,16:00:00,32.84,34.0,0.00,000,12.00,62,0.0,0.00,989.79,25.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.07,08-17-2019,16:00:00,31.02,32.6,0.00,330,10.00,63,1.9,1.40,994.94,24.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.20,08-17-2019,16:00:00,25.05,33.7,0.00,220,10.00,48,11.1,0.40,982.07,21.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1004.64,08-17-2019,16:00:00,31.53,29.2,0.00,150,10.00,78,3.7,0.00,987.31,24.9
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1004.45,08-17-2019,16:00:00,33.78,27.5,19.20,000,10.00,92,0.0,31.00,988.68,26.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.49,08-17-2019,16:00:00,29.25,33.0,0.00,180,10.00,58,3.7,0.00,984.06,23.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1004.77,08-17-2019,16:00:00,25.66,27.8,0.00,000,11.00,69,0.0,0.00,954.01,21.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.71,08-17-2019,16:00:00,31.32,32.6,0.00,180,7.00,64,7.4,0.00,999.84,24.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1004.93,08-17-2019,16:00:00,25.51,24.0,0.01,200,7.00,86,13.0,6.40,910.79,21.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1004.62,08-17-2019,16:00:00,33.95,28.7,0.40,210,8.00,86,7.4,0.40,988.76,26.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.58,08-17-2019,16:00:00,28.90,27.7,0.00,200,10.00,78,14.8,0.00,1000.56,23.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1005.60,08-17-2019,16:00:00,30.07,32.7,0.00,190,7.00,61,7.4,3.80,995.14,24.1
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.56,08-17-2019,16:00:00,30.69,33.0,0.00,270,10.00,61,5.6,0.80,1002.67,24.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.49,08-17-2019,16:00:00,28.43,34.0,0.00,210,10.00,53,11.1,0.00,983.17,23.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1004.28,08-17-2019,16:00:00,33.60,30.9,0.00,210,10.00,75,9.3,0.00,986.89,26.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1004.17,08-17-2019,16:00:00,35.29,30.3,1.70,190,10.00,82,7.4,1.70,988.24,26.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1006.20,08-17-2019,16:00:00,32.33,27.2,2.70,170,10.00,90,7.4,18.50,992.18,25.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1007.05,08-17-2019,16:00:00,31.79,26.5,9.60,140,10.00,92,3.7,9.60,992.20,25.1
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1005.75,08-17-2019,16:00:00,33.37,31.9,0.00,200,10.00,71,5.6,0.00,991.33,25.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.88,08-17-2019,16:00:00,31.71,26.6,13.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,91,0.0,13.00,1001.86,25.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1004.49,08-17-2019,16:00:00,31.03,29.8,0.01,260,10.00,74,11.1,0.01,996.63,24.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.53,08-17-2019,16:00:00,32.86,31.8,0.00,120,8.00,70,7.4,5.00,1004.44,25.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.76,08-17-2019,16:00:00,32.96,32.4,0.00,000,8.00,68,0.0,0.20,991.35,25.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1007.67,08-17-2019,16:00:00,23.42,20.2,1.20,200,.05,99,13.0,26.40,872.89,20.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.92,08-17-2019,16:00:00,31.53,32.7,0.00,000,10.00,64,0.0,0.00,999.16,24.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.87,08-17-2019,16:00:00,30.11,33.0,0.00,230,8.00,60,7.4,27.20,1005.09,24.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.39,08-17-2019,16:00:00,31.80,29.9,0.00,210,10.00,75,16.7,0.00,1005.94,25.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1007.37,08-17-2019,16:00:00,32.36,27.5,3.50,000,6.00,88,0.0,4.70,996.08,25.4
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.48,08-17-2019,16:00:00,30.41,33.7,0.00,220,12.00,58,11.1,0.00,1004.49,24.3
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.31,08-17-2019,16:00:00,28.84,33.5,0.00,240,9.00,56,9.3,0.00,1003.53,23.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.58,08-17-2019,16:00:00,30.44,29.5,4.00,230,8.00,74,7.4,6.00,1004.82,24.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.61,08-17-2019,16:00:00,30.83,29.7,0.00,190,10.00,74,20.4,0.01,1005.91,24.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.17,08-17-2019,16:00:00,33.39,30.8,0.00,000,7.00,75,0.0,11.00,1005.48,25.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1005.18,08-17-2019,16:00:00,31.84,27.8,24.50,100,9.00,85,5.6,25.00,984.12,25.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1005.61,08-17-2019,16:00:00,30.57,31.4,0.00,190,11.00,67,11.1,0.00,989.16,24.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1006.19,08-17-2019,16:00:00,30.61,32.4,0.00,180,9.00,63,31.5,0.00,990.06,24.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1005.25,08-17-2019,16:00:00,28.65,32.7,0.00,270,10.00,58,9.3,0.90,983.84,23.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1005.12,08-17-2019,16:00:00,28.92,31.0,0.00,240,12.00,64,22.2,14.90,962.52,23.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1005.25,08-17-2019,16:00:00,27.14,30.5,0.00,110,10.00,62,14.8,0.00,984.96,22.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1006.48,08-17-2019,16:00:00,32.69,32.0,0.00,180,10.00,69,22.2,3.80,986.01,25.5
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.36,08-17-2019,16:00:00,32.63,31.0,0.00,170,11.00,73,14.8,0.01,1005.93,25.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.52,08-17-2019,16:00:00,31.66,27.0,0.00,280,10.00,89,3.7,0.00,1005.11,25.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1007.46,08-17-2019,16:00:00,34.90,31.5,0.00,000,9.00,76,0.0,15.90,1002.60,26.6
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.67,08-17-2019,16:00:00,31.87,33.0,0.00,310,12.00,63,11.1,0.00,1002.44,25.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.49,08-17-2019,16:00:00,31.70,33.2,0.00,000,10.00,62,0.0,1.50,1004.41,25.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.52,08-17-2019,16:00:00,30.58,30.7,0.00,180,10.00,69,7.4,0.00,1006.22,24.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.22,08-17-2019,16:00:00,31.60,31.9,0.00,210,10.00,67,9.3,0.00,1005.54,25.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.18,08-17-2019,16:00:00,31.51,31.3,0.00,270,10.00,69,5.6,0.00,1005.70,24.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.74,08-17-2019,16:00:00,27.74,31.1,0.00,180,10.00,61,7.4,12.60,1004.36,22.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.72,08-17-2019,16:00:00,34.59,29.7,0.00,190,10.00,83,31.5,0.00,1005.05,26.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.29,08-17-2019,16:00:00,29.33,29.5,3.40,180,10.00,71,3.7,3.40,1000.34,23.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.42,08-17-2019,16:00:00,31.31,31.2,0.00,000,10.00,69,0.0,0.60,1006.14,24.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.90,08-17-2019,16:00:00,31.48,30.3,0.00,220,12.00,73,7.4,0.00,1003.80,24.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1007.55,08-17-2019,16:00:00,31.72,30.0,0.00,270,12.00,75,11.1,0.00,1000.67,25.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1007.03,08-17-2019,16:00:00,32.10,28.5,11.10,000,7.00,83,0.0,11.20,1001.46,25.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1006.19,08-17-2019,16:00:00,31.72,30.0,0.00,230,12.00,75,14.8,0.00,996.98,25.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.61,08-17-2019,16:00:00,30.90,31.7,0.00,140,10.00,66,3.7,1.70,1006.36,24.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.22,08-17-2019,16:00:00,34.30,31.5,0.00,000,11.00,74,0.0,0.60,1005.79,26.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.96,08-17-2019,16:00:00,30.06,30.3,0.00,210,10.00,70,7.4,0.01,994.83,24.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.09,08-17-2019,16:00:00,29.24,31.3,0.00,220,10.00,64,11.1,0.00,1006.39,23.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.91,08-17-2019,16:00:00,31.27,30.2,0.00,200,10.00,73,7.4,0.01,1005.50,24.8
