WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,WindSpeed,VaporPressure,AirTemperature,WindDirection,RelativeHumidity,LandVisibility,Rainfall,DewPoint,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,08-17-2019,22:00:00,977.35,0.0,29.79,25.0,000,94,8.00,0.01,24.0,1008.41
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-17-2019,22:00:00,844.66,11.1,21.83,20.5,260,91,9.00,0.00,18.9,1004.72
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,2.10,08-17-2019,22:00:00,962.95,7.4,29.43,26.4,180,86,12.00,0.00,23.8,1006.44
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,4.20,08-17-2019,22:00:00,960.99,7.4,28.97,26.0,230,86,12.00,0.00,23.5,1006.43
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,95.30,08-17-2019,22:00:00,970.16,0.0,30.32,25.0,000,96,6.00,0.00,24.3,1007.92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-17-2019,22:00:00,962.20,0.0,28.51,25.6,000,87,12.00,0.00,23.2,1007.29
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,47.10,08-17-2019,22:00:00,981.38,5.6,30.03,26.0,180,89,8.00,0.00,24.1,1008.14
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.40,08-17-2019,22:00:00,986.34,0.0,30.19,25.8,000,91,10.00,0.20,24.2,1008.17
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.10,08-17-2019,22:00:00,985.45,0.0,29.82,25.6,000,91,8.00,0.30,24.0,1009.67
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,8.40,08-17-2019,22:00:00,973.39,0.0,29.39,25.8,000,89,10.00,0.00,23.8,1007.96
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.40,08-17-2019,22:00:00,981.13,0.0,32.04,26.2,000,94,10.00,0.00,25.2,1008.71
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,6.50,08-17-2019,22:00:00,974.04,0.0,32.51,26.3,000,95,10.00,0.00,25.4,1007.60
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,20.40,08-17-2019,22:00:00,989.32,0.0,32.20,26.0,000,96,8.00,1.90,25.3,1007.87
48331,NAN,น่าน,น่าน,18.77972,100.77778,7.30,08-17-2019,22:00:00,984.74,0.0,30.76,26.1,000,91,10.00,0.00,24.5,1007.60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.10,08-17-2019,22:00:00,977.54,0.0,29.91,25.5,000,92,10.00,0.00,24.0,1007.52
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.80,08-17-2019,22:00:00,972.39,0.0,31.33,25.4,000,97,5.00,0.00,24.8,1008.02
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.60,08-17-2019,22:00:00,977.16,0.0,30.48,24.8,000,97,10.00,0.20,24.4,1007.02
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,2.50,08-17-2019,22:00:00,1001.01,0.0,30.72,27.8,000,82,7.00,0.00,24.5,1008.30
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,37.80,08-17-2019,22:00:00,988.27,9.3,31.12,25.0,040,98,6.00,30.60,24.7,1008.31
48353,LOEI,เลย,เลย,17.45000,101.73333,10.30,08-17-2019,22:00:00,979.04,3.7,29.54,25.3,120,92,10.00,0.60,23.8,1007.84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,16.00,08-17-2019,22:00:00,988.22,5.6,30.17,25.5,290,93,7.00,9.60,24.2,1008.50
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,20.70,08-17-2019,22:00:00,987.17,7.4,29.23,26.0,190,87,12.00,0.00,23.7,1008.99
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,17.00,08-17-2019,22:00:00,988.07,3.7,29.74,25.7,200,90,10.00,0.00,23.9,1007.64
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,40.70,08-17-2019,22:00:00,991.81,0.0,31.82,26.8,000,90,10.00,0.01,25.1,1008.58
