WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,Rainfall24Hr,Rainfall,RelativeHumidity,AirTemperature,VaporPressure,MinimumTemperature,LandVisibility,MeanSeaLevelPressure,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,978.19,08-18-2019,07:00:00,23.3,1.00,0.00,94,24.3,28.54,23.1,8.00,1009.35,000,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.81,08-18-2019,07:00:00,17.2,0.00,0.00,95,18.0,19.57,17.6,8.00,1006.37,280,24.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,964.01,08-18-2019,07:00:00,23.9,2.10,0.00,92,25.2,29.62,24.5,10.00,1007.72,000,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,962.43,08-18-2019,07:00:00,23.3,4.20,0.00,96,24.0,28.53,22.4,15.00,1008.25,000,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,970.99,08-18-2019,07:00:00,24.5,21.30,0.00,100,24.5,30.73,24.0,8.00,1008.84,000,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,962.89,08-18-2019,07:00:00,23.8,0.00,0.00,93,25.0,29.52,24.2,10.00,1008.11,000,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.87,08-18-2019,07:00:00,24.1,12.20,0.00,93,25.3,30.07,24.8,8.00,1008.71,000,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.89,08-18-2019,07:00:00,23.5,1.10,0.00,92,25.0,29.00,24.8,12.00,1008.78,000,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,985.66,08-18-2019,07:00:00,22.5,2.50,0.00,91,24.0,27.25,22.0,5.00,1010.01,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,973.96,08-18-2019,07:00:00,23.3,8.20,0.00,94,24.3,28.54,24.0,10.00,1008.73,000,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,980.93,08-18-2019,07:00:00,24.3,24.70,0.00,97,24.7,30.30,24.2,10.00,1008.64,000,0.0
