WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,Rainfall,StationPressure,AirTemperature,WindDirection,VaporPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.4,08-18-2019,10:00:00,10.00,1010.10,0.70,78,0.00,979.36,28.6,000,30.62,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.6,08-18-2019,10:00:00,9.00,1006.53,0.00,83,0.00,846.17,20.5,270,20.07,22.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.9,08-18-2019,10:00:00,10.00,1008.76,2.10,74,0.00,965.39,27.9,200,27.93,9.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.1,08-18-2019,10:00:00,15.00,1008.62,4.20,79,0.00,963.38,28.0,230,30.01,7.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.6,08-18-2019,10:00:00,12.00,1009.57,2.50,85,0.00,972.03,27.3,000,30.86,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,08-18-2019,10:00:00,12.00,1009.44,0.00,76,0.00,964.63,28.2,210,29.03,11.1
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.5,08-18-2019,10:00:00,9.00,1009.72,3.80,76,0.00,983.20,29.2,000,30.68,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.9,08-18-2019,10:00:00,12.00,1009.72,1.10,64,0.00,988.20,30.5,260,27.95,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.9,08-18-2019,10:00:00,8.00,1011.42,2.50,74,0.00,987.35,28.0,000,27.85,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.2,08-18-2019,10:00:00,10.00,1009.70,4.30,71,0.00,975.43,29.0,170,28.37,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.9,08-18-2019,10:00:00,10.00,1009.81,8.70,65,0.00,982.56,30.2,220,27.93,3.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.7,08-18-2019,10:00:00,12.00,1009.14,1.30,65,0.00,975.93,30.0,000,27.55,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.6,08-18-2019,10:00:00,15.00,1009.64,12.20,78,0.00,991.23,28.9,220,30.93,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.7,08-18-2019,10:00:00,10.00,1009.33,1.00,72,0.00,986.76,30.4,160,31.11,5.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.3,08-18-2019,10:00:00,12.00,1009.19,3.00,69,0.00,979.58,29.7,000,28.61,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.7,08-18-2019,10:00:00,8.00,1008.97,14.40,68,0.00,973.87,30.2,000,29.30,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.1,08-18-2019,10:00:00,15.00,1009.25,1.60,83,0.00,979.66,28.2,080,31.79,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.2,08-18-2019,10:00:00,10.00,1010.14,0.20,78,0.00,1002.87,29.5,000,32.13,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.4,08-18-2019,10:00:00,12.00,1009.33,33.70,84,0.00,989.56,29.5,250,34.46,11.1
48353,LOEI,เลย,เลย,17.45000,101.73333,24.9,08-18-2019,10:00:00,14.00,1009.31,0.80,78,0.00,980.82,29.0,180,31.41,5.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.9,08-18-2019,10:00:00,14.00,1009.43,12.90,77,0.00,989.39,29.5,230,31.56,9.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.5,08-18-2019,10:00:00,12.00,1009.45,1.00,71,0.00,987.86,29.3,230,28.94,11.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.7,08-18-2019,10:00:00,15.00,1009.38,2.10,71,0.00,990.02,29.5,300,29.33,9.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.2,08-18-2019,10:00:00,12.00,1010.12,0.20,78,0.00,993.41,28.4,000,30.23,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.2,08-18-2019,10:00:00,10.00,1010.35,0.20,83,0.00,992.98,28.5,240,32.10,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.2,08-18-2019,10:00:00,9.00,1009.01,22.30,80,0.00,983.37,29.0,160,31.98,11.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.9,08-18-2019,10:00:00,10.00,1010.30,0.00,76,0.00,1004.56,30.5,000,33.34,0.0
