WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,Rainfall,RelativeHumidity,DewPoint,VaporPressure,StationPressure,WindSpeed,MeanSeaLevelPressure,WindDirection,LandVisibility,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-19-2019,01:00:00,24.8,0.40,94,23.8,29.42,978.06,0.0,1009.16,000,6.00,7.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-19-2019,01:00:00,19.0,0.00,90,17.4,19.80,844.84,33.3,1005.81,270,8.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-19-2019,01:00:00,26.0,0.00,87,23.7,29.23,963.35,0.0,1006.91,000,10.00,2.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-19-2019,01:00:00,25.5,0.00,91,23.9,29.64,961.60,0.0,1007.15,000,12.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-19-2019,01:00:00,23.0,0.00,100,23.0,28.07,970.76,0.0,1008.79,000,6.00,35.60
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-19-2019,01:00:00,25.5,0.00,89,23.6,29.11,962.65,0.0,1007.77,000,10.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-19-2019,01:00:00,24.0,1.50,96,23.3,28.53,982.17,0.0,1009.14,000,6.00,70.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-19-2019,01:00:00,26.0,0.01,89,24.1,30.03,986.74,0.0,1008.56,000,10.00,1.60
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-19-2019,01:00:00,24.8,0.00,95,23.9,29.69,985.46,0.0,1009.74,000,6.00,30.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-19-2019,01:00:00,25.6,0.01,88,23.4,28.77,973.66,0.0,1008.26,000,10.00,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-19-2019,01:00:00,25.5,0.00,96,24.8,31.25,980.82,0.0,1008.46,000,10.00,0.40
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-19-2019,01:00:00,25.0,0.00,90,23.2,28.48,974.60,0.0,1008.33,000,10.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-19-2019,01:00:00,26.2,0.00,93,24.9,31.49,989.02,1.9,1007.55,220,12.00,0.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-19-2019,01:00:00,25.4,0.40,92,24.1,29.99,985.17,0.0,1008.09,000,6.00,0.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-19-2019,01:00:00,25.8,0.00,93,24.6,31.00,978.67,0.0,1008.65,000,6.00,2.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-19-2019,01:00:00,24.0,0.00,96,23.3,28.53,972.46,0.0,1008.26,000,6.00,9.60
