WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,DewPoint,MeanSeaLevelPressure,Rainfall,VaporPressure,WindDirection,WindSpeed,RelativeHumidity,StationPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,7.50,08-19-2019,04:00:00,24.8,23.8,1008.54,0.00,29.42,000,0.0,94,977.45,4.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-19-2019,04:00:00,18.0,17.2,1005.54,0.00,19.57,280,27.8,95,844.12,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,2.00,08-19-2019,04:00:00,24.3,22.2,1006.35,0.00,26.76,000,0.0,88,962.57,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-19-2019,04:00:00,23.2,21.8,1006.48,0.00,26.17,000,0.0,92,960.62,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,35.60,08-19-2019,04:00:00,23.0,23.0,1007.64,0.00,28.07,000,0.0,100,969.65,5.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-19-2019,04:00:00,24.0,23.3,1007.12,0.00,28.53,000,0.0,96,961.80,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,70.60,08-19-2019,04:00:00,23.9,23.3,1007.82,0.00,28.61,000,0.0,97,980.88,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.60,08-19-2019,04:00:00,24.9,24.2,1007.77,0.00,30.13,000,0.0,96,985.90,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.20,08-19-2019,04:00:00,25.0,23.8,1008.91,0.00,29.52,000,0.0,93,984.67,5.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,08-19-2019,04:00:00,25.0,23.4,1008.33,0.00,28.74,000,0.0,91,973.66,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.40,08-19-2019,04:00:00,25.0,24.3,1008.22,0.00,30.32,000,0.0,96,980.54,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-19-2019,04:00:00,24.5,23.0,1007.86,0.00,28.11,000,0.0,91,974.09,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.40,08-19-2019,04:00:00,25.7,24.7,1007.23,0.00,31.08,000,0.0,94,988.67,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.50,08-19-2019,04:00:00,25.0,24.0,1007.07,0.00,29.79,000,0.0,94,984.14,6.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,2.00,08-19-2019,04:00:00,25.3,24.4,1007.20,0.00,30.60,000,0.0,95,977.21,5.00
