WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,RelativeHumidity,WindDirection,LandVisibility,VaporPressure,DewPoint,StationPressure,AirTemperature,MeanSeaLevelPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-19-2019,10:00:00,7.50,80,000,10.00,30.48,24.4,978.44,28.1,1009.21,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-19-2019,10:00:00,0.00,83,270,12.00,20.07,17.6,845.58,20.5,1005.82,14.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-19-2019,10:00:00,2.00,67,200,15.00,27.13,22.4,964.17,29.2,1007.30,5.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-19-2019,10:00:00,0.00,69,000,15.00,27.65,22.7,962.29,28.9,1007.35,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-19-2019,10:00:00,35.60,87,000,12.00,32.08,25.2,970.96,27.5,1008.42,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-19-2019,10:00:00,0.00,63,270,12.00,28.37,23.2,962.77,31.0,1007.07,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-19-2019,10:00:00,70.60,81,000,12.00,31.54,24.9,982.20,28.5,1008.76,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-19-2019,10:00:00,1.60,65,150,15.00,28.04,23.0,987.07,30.4,1008.58,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-19-2019,10:00:00,30.20,83,000,8.00,30.42,24.3,985.93,27.5,1010.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-19-2019,10:00:00,0.01,66,000,10.00,28.39,23.2,974.09,30.3,1008.16,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-19-2019,10:00:00,0.40,63,000,10.00,27.60,22.7,980.96,30.6,1008.13,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-19-2019,10:00:00,0.00,65,000,12.00,27.55,22.7,974.75,30.0,1007.92,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-19-2019,10:00:00,0.40,67,360,12.00,30.65,24.5,989.68,31.3,1007.91,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-19-2019,10:00:00,0.50,68,000,10.00,29.89,24.0,985.59,30.5,1008.13,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-19-2019,10:00:00,0.00,75,160,12.00,30.72,24.5,978.23,29.5,1007.83,3.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-19-2019,10:00:00,9.60,78,000,7.00,32.13,25.2,972.89,29.5,1008.04,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-19-2019,10:00:00,0.00,69,320,17.00,30.98,24.6,977.87,30.9,1007.14,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-19-2019,10:00:00,0.00,74,240,10.00,32.46,25.4,1001.54,30.5,1008.77,5.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-19-2019,10:00:00,0.00,68,270,15.00,31.43,24.9,987.70,31.4,1007.31,11.1
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-19-2019,10:00:00,0.00,68,260,15.00,29.89,24.0,978.96,30.5,1007.25,7.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-19-2019,10:00:00,1.60,69,210,15.00,30.09,24.1,987.72,30.6,1007.66,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-19-2019,10:00:00,8.30,74,250,15.00,32.17,25.3,986.93,30.5,1008.42,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-19-2019,10:00:00,7.60,72,220,15.00,30.70,24.5,988.16,30.2,1007.44,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-19-2019,10:00:00,8.00,73,150,12.00,31.88,25.1,991.54,30.5,1008.10,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-19-2019,10:00:00,1.40,74,270,12.00,31.56,24.9,990.87,30.2,1008.10,9.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-19-2019,10:00:00,0.00,74,200,13.00,31.56,24.9,981.41,30.2,1006.90,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-19-2019,10:00:00,0.00,75,000,10.00,33.73,26.1,1002.22,31.1,1007.94,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-19-2019,10:00:00,0.00,76,270,12.00,32.50,25.4,1002.58,30.1,1008.72,11.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-19-2019,10:00:00,1.50,71,190,10.00,29.44,23.8,993.01,29.7,1009.34,9.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.60,08-19-2019,10:00:00,5.30,90,000,8.00,31.05,24.7,986.49,26.4,1008.89,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-19-2019,10:00:00,0.60,65,280,8.00,27.55,22.7,995.15,30.0,1009.42,14.8
