WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MaximumTemperature,DewPoint,MeanSeaLevelPressure,WindDirection,WindSpeed,RelativeHumidity,AirTemperature,VaporPressure,Rainfall24Hr,StationPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-19-2019,19:00:00,33.2,24.3,1004.49,160,3.7,75,29.2,30.40,1.00,973.97,15.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-19-2019,19:00:00,25.5,18.7,1002.15,270,9.3,83,21.7,21.52,0.00,843.08,10.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-19-2019,19:00:00,34.4,24.1,1002.33,000,0.0,64,31.8,29.96,0.00,959.77,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-19-2019,19:00:00,34.0,24.5,1002.42,000,0.0,72,30.2,30.70,0.00,957.77,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-19-2019,19:00:00,32.0,26.0,1003.77,000,0.0,83,29.2,33.53,28.20,966.68,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-19-2019,19:00:00,34.5,25.1,1002.97,130,11.1,85,28.0,31.95,0.80,958.42,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-19-2019,19:00:00,33.5,26.9,1004.21,130,3.7,81,30.5,35.42,43.50,977.95,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-19-2019,19:00:00,34.2,23.7,1004.29,300,1.9,66,30.8,29.37,0.01,982.91,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,2.00,08-19-2019,19:00:00,33.8,24.0,1007.71,000,0.0,92,25.5,29.91,2.00,983.53,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,08-19-2019,19:00:00,34.6,22.7,1003.21,230,3.7,60,31.3,27.57,2.30,969.42,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-19-2019,19:00:00,35.3,23.7,1004.69,200,11.1,72,29.2,29.30,0.20,977.48,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-19-2019,19:00:00,35.3,23.0,1003.40,000,0.0,68,29.4,28.04,0.00,970.32,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-19-2019,19:00:00,34.7,24.4,1004.16,310,7.4,75,29.3,30.60,0.00,985.87,12.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-19-2019,19:00:00,33.2,25.3,1004.92,000,0.0,78,29.6,32.34,1.10,982.39,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-19-2019,19:00:00,31.6,25.6,1003.86,000,0.0,84,28.6,32.88,2.00,974.29,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.01,08-19-2019,19:00:00,32.5,24.7,1004.41,000,0.0,94,25.7,31.08,1.40,968.95,6.00
