WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,StationPressure,WindDirection,LandVisibility,DewPoint,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-19-2019,22:00:00,26.8,1007.37,0.0,83,976.52,000,10.00,23.7,0.40,29.37
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-19-2019,22:00:00,20.7,1004.05,13.0,87,844.19,290,10.00,18.5,0.00,21.22
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-19-2019,22:00:00,28.7,1005.20,5.6,80,962.09,160,10.00,24.8,0.00,31.38
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-19-2019,22:00:00,27.5,1005.36,0.0,84,960.19,000,12.00,24.6,0.00,30.97
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-19-2019,22:00:00,26.0,1006.38,0.0,94,968.80,000,8.00,25.0,0.00,31.65
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-19-2019,22:00:00,26.6,1005.62,7.4,83,960.75,090,10.00,23.5,0.80,29.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-19-2019,22:00:00,28.0,1006.73,3.7,86,980.18,180,8.00,25.4,1.50,32.52
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-19-2019,22:00:00,28.2,1006.43,0.0,76,984.82,000,12.00,23.5,0.01,29.03
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,40.20,08-19-2019,22:00:00,24.4,1009.68,0.0,95,985.37,000,6.00,23.5,42.20,28.97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-19-2019,22:00:00,28.0,1006.19,3.7,79,971.93,210,10.00,24.1,2.30,30.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-19-2019,22:00:00,26.6,1006.93,0.0,87,979.44,000,10.00,24.3,0.00,30.34
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-19-2019,22:00:00,28.2,1006.21,0.0,72,972.90,000,10.00,22.8,0.00,27.69
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.00,08-19-2019,22:00:00,27.0,1006.63,3.7,90,988.16,180,10.00,25.1,1.00,31.94
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-19-2019,22:00:00,27.4,1006.26,0.0,87,983.53,000,10.00,25.0,1.10,31.61
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-19-2019,22:00:00,25.5,1006.59,0.0,93,976.64,000,10.00,24.2,2.00,30.17
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-19-2019,22:00:00,25.8,1007.01,0.0,93,971.47,000,7.00,24.6,0.60,31.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-19-2019,22:00:00,26.2,1005.76,0.0,86,976.07,000,14.00,23.7,0.00,29.33
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-19-2019,22:00:00,28.5,1006.76,0.0,85,999.50,000,9.00,25.7,0.90,32.96
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-19-2019,22:00:00,29.7,1005.09,5.6,83,985.42,230,13.00,26.5,0.00,34.59
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-19-2019,22:00:00,26.8,1005.79,3.7,82,977.19,120,15.00,23.4,0.00,28.84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-19-2019,22:00:00,28.9,1005.66,3.7,78,985.65,210,15.00,24.6,0.00,30.93
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-19-2019,22:00:00,26.2,1006.58,0.0,93,984.82,000,10.00,24.9,11.20,31.49
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-19-2019,22:00:00,27.1,1005.40,3.7,86,985.96,160,12.00,24.5,0.01,30.75
