WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,AirTemperature,DewPoint,StationPressure,MeanSeaLevelPressure,VaporPressure,MinimumTemperature,WindSpeed,LandVisibility,Rainfall,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,92,08-20-2019,07:00:00,000,25.0,23.5,975.83,1006.84,29.00,24.1,0.0,10.00,0.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,97,08-20-2019,07:00:00,290,19.0,18.5,843.55,1004.27,21.30,18.6,24.1,.30,0.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,89,08-20-2019,07:00:00,150,26.1,24.2,961.69,1005.16,30.22,25.8,5.6,12.00,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,96,08-20-2019,07:00:00,000,24.5,23.8,959.27,1004.86,29.41,23.3,0.0,15.00,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,99,08-20-2019,07:00:00,000,25.0,24.8,968.16,1005.83,31.39,24.2,0.0,8.00,0.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,91,08-20-2019,07:00:00,000,24.8,23.2,960.12,1005.24,28.38,24.0,0.0,10.00,0.00,0.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,96,08-20-2019,07:00:00,000,25.5,24.8,979.36,1006.11,31.25,24.9,0.0,10.00,0.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,92,08-20-2019,07:00:00,060,24.5,23.2,983.89,1005.76,28.37,24.3,1.9,15.00,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,92,08-20-2019,07:00:00,000,25.0,23.5,983.11,1007.32,29.00,22.5,0.0,6.00,0.00,42.90
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,89,08-20-2019,07:00:00,000,25.0,23.1,971.17,1005.75,28.22,24.5,0.0,10.00,0.00,2.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,94,08-20-2019,07:00:00,000,24.7,23.7,978.03,1005.66,29.25,24.2,0.0,10.00,0.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,90,08-20-2019,07:00:00,000,24.4,22.6,972.10,1005.81,27.43,24.2,0.0,10.00,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,96,08-20-2019,07:00:00,190,25.6,24.9,986.74,1005.26,31.44,25.2,1.9,10.00,0.00,1.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,96,08-20-2019,07:00:00,000,25.7,25.0,982.65,1005.49,31.63,25.1,0.0,10.00,0.00,0.70
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,94,08-20-2019,07:00:00,000,25.2,24.2,975.02,1004.95,30.15,24.0,0.0,8.00,0.00,2.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,08-20-2019,07:00:00,000,23.5,22.8,969.99,1005.76,27.66,23.5,0.0,7.00,0.00,0.60
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,92,08-20-2019,07:00:00,120,24.9,23.6,974.45,1004.22,29.08,24.3,3.7,14.00,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,88,08-20-2019,07:00:00,000,26.0,23.8,998.38,1005.70,29.50,25.6,0.0,6.00,0.00,0.90
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,96,08-20-2019,07:00:00,000,27.2,26.5,984.36,1004.18,34.60,27.0,0.0,15.00,1.40,3.60
48353,LOEI,เลย,เลย,17.45000,101.73333,88,08-20-2019,07:00:00,000,25.5,23.4,975.55,1004.23,28.85,25.0,0.0,12.00,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,92,08-20-2019,07:00:00,000,26.4,25.0,984.33,1004.48,31.60,25.7,0.0,10.00,0.30,0.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,08-20-2019,07:00:00,000,26.0,24.6,983.48,1005.22,30.84,25.2,0.0,12.00,0.00,11.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,91,08-20-2019,07:00:00,190,26.5,24.9,985.57,1005.04,31.52,25.5,1.9,15.00,0.00,0.01
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,88,08-20-2019,07:00:00,130,26.0,23.8,989.36,1006.13,29.50,25.6,3.7,10.00,0.10,0.10
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,92,08-20-2019,07:00:00,000,25.5,24.0,988.52,1005.98,29.91,24.0,0.0,10.00,0.01,0.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,95,08-20-2019,07:00:00,000,25.6,24.7,978.20,1004.00,31.17,25.0,0.0,11.00,0.01,0.01
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,97,08-20-2019,07:00:00,120,25.6,25.2,999.28,1005.08,31.98,23.5,5.6,10.00,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,97,08-20-2019,07:00:00,000,25.4,24.8,999.71,1005.92,31.33,25.0,0.0,10.00,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,93,08-20-2019,07:00:00,000,24.0,22.8,990.07,1006.66,27.76,23.7,0.0,10.00,0.00,0.50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,95,08-20-2019,07:00:00,160,24.6,23.7,982.94,1005.40,29.33,23.6,5.6,10.00,0.00,7.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,76,08-20-2019,07:00:00,290,27.5,22.8,991.64,1005.98,27.73,26.5,3.7,8.00,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,82,08-20-2019,07:00:00,000,27.3,24.0,989.02,1005.35,29.77,26.5,0.0,7.00,0.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,92,08-20-2019,07:00:00,000,25.2,23.7,1000.60,1005.85,29.36,24.5,0.0,10.00,0.00,1.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,94,08-20-2019,07:00:00,000,24.3,23.3,991.62,1004.90,28.54,23.6,0.0,10.00,0.00,1.50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,97,08-20-2019,07:00:00,180,24.9,24.5,996.65,1006.03,30.67,24.5,1.9,.40,0.00,0.60
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,85,08-20-2019,07:00:00,210,25.6,22.8,983.33,1005.07,27.73,25.0,3.7,10.00,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,82,08-20-2019,07:00:00,230,26.5,23.1,988.14,1005.64,28.29,25.5,9.3,10.00,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,94,08-20-2019,07:00:00,000,25.8,24.8,989.08,1004.94,31.27,25.4,0.0,10.00,0.00,6.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,83,08-20-2019,07:00:00,000,26.0,22.9,985.36,1004.25,27.92,25.2,0.0,10.00,0.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,96,08-20-2019,07:00:00,000,23.0,22.2,957.70,1009.50,26.83,22.5,0.0,7.00,0.00,1.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,92,08-20-2019,07:00:00,120,25.5,24.0,1001.82,1005.80,29.91,24.7,7.4,6.00,0.00,15.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,96,08-20-2019,07:00:00,230,21.0,20.4,911.58,1006.81,23.92,20.3,9.3,.50,0.00,1.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,90,08-20-2019,07:00:00,240,25.7,23.9,989.34,1005.37,29.74,24.8,5.6,8.00,0.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,96,08-20-2019,07:00:00,000,25.6,24.9,1001.77,1005.82,31.44,24.7,0.0,10.00,0.00,13.50
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,96,08-20-2019,07:00:00,000,25.2,24.5,996.44,1007.18,30.69,24.2,0.0,7.00,0.00,45.90
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,96,08-20-2019,07:00:00,180,25.3,24.6,1004.50,1006.44,30.87,24.9,7.4,5.00,0.00,30.10
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,92,08-20-2019,07:00:00,000,24.8,23.5,984.87,1005.86,28.90,23.0,0.0,10.00,0.00,9.80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,81,08-20-2019,07:00:00,230,26.0,22.4,987.39,1005.08,27.14,25.0,13.0,10.00,0.00,0.01
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,81,08-20-2019,07:00:00,210,26.4,22.9,988.89,1005.05,27.85,26.0,7.4,10.00,0.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,96,08-20-2019,07:00:00,000,25.4,24.7,992.48,1006.58,31.06,24.0,0.0,9.00,1.50,22.90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,97,08-20-2019,07:00:00,000,25.1,24.5,992.14,1007.06,30.77,23.6,0.0,5.00,2.30,16.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,97,08-20-2019,07:00:00,220,25.1,24.5,991.92,1006.68,30.77,24.6,3.7,8.00,0.20,2.70
