WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,AirTemperature,RelativeHumidity,WindSpeed,VaporPressure,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,08-20-2019,10:00:00,0.00,29.1,72,0.0,29.11,000,23.6,1006.43,0.00,975.84
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-20-2019,10:00:00,0.00,21.0,91,11.1,22.54,300,19.4,1003.77,0.00,844.10
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-20-2019,10:00:00,0.00,31.0,68,9.3,30.33,200,24.3,1004.62,0.00,961.86
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,08-20-2019,10:00:00,0.00,30.0,71,0.0,30.31,000,24.3,1004.28,0.00,959.52
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,08-20-2019,10:00:00,0.00,29.0,81,0.0,32.55,000,25.5,1005.81,0.00,968.62
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,08-20-2019,10:00:00,0.80,30.5,62,7.4,27.14,180,22.4,1004.85,0.00,960.57
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,08-20-2019,10:00:00,0.00,29.5,78,5.6,32.13,190,25.2,1005.88,0.00,979.49
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,16.00,08-20-2019,10:00:00,0.00,30.0,66,5.6,28.09,150,23.0,1006.05,0.00,984.57
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,08-20-2019,10:00:00,42.90,27.3,84,0.0,30.59,000,24.4,1007.50,0.00,983.47
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-20-2019,10:00:00,2.30,30.3,64,3.7,27.57,060,22.7,1005.97,0.00,971.98
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-20-2019,10:00:00,0.00,29.0,68,0.0,27.30,000,22.5,1006.32,0.00,979.06
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,08-20-2019,10:00:00,0.00,29.8,67,0.0,28.26,000,23.1,1005.60,0.00,972.48
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,08-20-2019,10:00:00,1.00,29.3,77,7.4,31.45,240,24.9,1005.70,0.00,987.39
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-20-2019,10:00:00,0.70,30.1,72,0.0,30.50,000,24.4,1005.72,0.00,983.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,08-20-2019,10:00:00,2.00,29.1,74,0.0,29.93,000,24.1,1005.69,0.00,976.11
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,08-20-2019,10:00:00,0.60,28.2,75,0.0,28.49,000,23.2,1006.14,0.00,970.90
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,08-20-2019,10:00:00,0.00,28.7,76,3.7,29.98,220,24.1,1005.26,0.00,975.83
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.00,08-20-2019,10:00:00,0.90,29.0,76,0.0,30.57,000,24.4,1006.57,0.00,999.32
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,20.00,08-20-2019,10:00:00,3.60,28.6,88,5.6,34.61,240,26.5,1005.44,0.00,985.69
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-20-2019,10:00:00,0.00,29.0,74,3.7,29.74,060,23.9,1005.65,0.00,977.26
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-20-2019,10:00:00,0.30,29.0,75,7.4,30.01,200,24.1,1005.62,0.00,985.62
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,08-20-2019,10:00:00,11.20,27.0,86,0.0,30.56,000,24.4,1005.99,0.00,984.31
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,8.00,08-20-2019,10:00:00,1.30,25.8,93,5.6,30.73,140,24.5,1005.54,1.30,986.02
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.00,08-20-2019,10:00:00,10.50,24.5,94,1.9,28.89,180,23.5,1006.76,10.40,989.89
