WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,Rainfall,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,MinimumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,2.70,08-21-2019,07:00:00,24.7,1004.52,6.00,000,973.64,0.00,0.0,25.6,95,31.17,24.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,15.90,08-21-2019,07:00:00,18.0,1003.25,8.00,140,842.44,0.00,7.4,18.5,97,20.63,18.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,4.40,08-21-2019,07:00:00,23.7,1005.33,10.00,010,961.69,0.00,3.7,25.0,92,29.26,24.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,5.50,08-21-2019,07:00:00,23.8,1005.17,12.00,000,959.57,0.00,0.0,24.5,96,29.41,23.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,65.60,08-21-2019,07:00:00,22.0,1006.09,10.00,000,968.03,0.00,0.0,22.0,100,26.42,21.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.50,08-21-2019,07:00:00,23.0,1005.02,2.00,000,959.72,0.00,0.0,23.5,97,28.17,22.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,20.10,08-21-2019,07:00:00,22.8,1006.13,5.00,000,979.19,8.40,0.0,23.4,96,27.75,22.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.30,08-21-2019,07:00:00,23.0,1004.96,14.00,090,983.11,0.00,5.6,24.5,91,28.11,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.30,08-21-2019,07:00:00,23.7,1005.21,5.00,000,981.09,0.30,0.0,25.5,90,29.38,23.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,08-21-2019,07:00:00,23.3,1004.74,10.00,000,970.27,0.00,0.0,25.7,87,28.69,25.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,47.30,08-21-2019,07:00:00,24.4,1005.21,10.00,000,977.62,0.00,0.0,25.0,97,30.58,24.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,2.80,08-21-2019,07:00:00,24.8,1004.38,10.00,000,970.83,0.00,0.0,25.4,97,31.33,25.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.20,08-21-2019,07:00:00,24.8,1004.69,12.00,190,986.20,0.01,3.7,26.0,93,31.38,25.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,84.20,08-21-2019,07:00:00,22.7,1006.01,4.00,000,982.97,43.90,0.0,23.2,97,27.66,22.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,60.90,08-21-2019,07:00:00,21.8,1006.69,5.00,000,976.45,12.00,0.0,22.6,96,26.17,22.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.80,08-21-2019,07:00:00,23.6,1005.23,4.00,000,969.54,0.00,0.0,24.0,97,29.04,23.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.20,08-21-2019,07:00:00,23.9,1004.88,10.00,000,975.02,0.20,0.0,24.2,98,29.66,23.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-21-2019,07:00:00,23.6,1004.74,7.00,000,997.44,0.00,0.0,26.5,84,29.08,26.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,75.80,08-21-2019,07:00:00,24.7,1005.24,5.00,060,985.26,17.00,3.7,25.0,98,31.12,24.6
48353,LOEI,เลย,เลย,17.45000,101.73333,16.60,08-21-2019,07:00:00,24.0,1005.06,5.00,000,976.32,0.00,0.0,25.0,94,29.79,24.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,39.00,08-21-2019,07:00:00,24.5,1005.26,12.00,110,985.04,0.20,5.6,25.5,94,30.71,24.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,41.90,08-21-2019,07:00:00,23.7,1006.76,10.00,000,984.86,0.00,0.0,24.3,97,29.31,24.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.50,08-21-2019,07:00:00,23.8,1005.86,10.00,230,986.27,0.00,3.7,24.8,94,29.42,24.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,14.20,08-21-2019,07:00:00,23.5,1007.12,10.00,120,990.24,0.50,1.9,24.5,94,28.89,24.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.80,08-21-2019,07:00:00,23.8,1007.32,8.00,000,989.78,0.40,0.0,24.5,96,29.41,22.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.01,08-21-2019,07:00:00,24.9,1004.60,9.00,000,978.80,0.00,0.0,25.8,95,31.55,25.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.60,08-21-2019,07:00:00,25.1,1005.69,10.00,000,999.88,0.00,0.0,25.5,97,31.79,23.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-21-2019,07:00:00,24.6,1005.31,10.00,000,999.08,0.00,0.0,25.0,97,30.85,24.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,4.00,08-21-2019,07:00:00,23.8,1006.33,10.00,000,989.77,0.00,0.0,24.5,96,29.41,23.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.50,08-21-2019,07:00:00,23.0,1004.06,10.00,120,981.62,0.00,5.6,24.5,91,28.11,24.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.30,08-21-2019,07:00:00,22.6,1005.45,10.00,240,991.09,0.00,3.7,27.0,77,27.36,26.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,3.00,08-21-2019,07:00:00,23.4,1004.87,7.00,000,988.43,0.00,0.0,25.3,89,28.75,25.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-21-2019,07:00:00,24.2,1005.31,10.00,180,1000.07,0.00,3.7,25.8,91,30.19,24.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,4.50,08-21-2019,07:00:00,24.0,1004.48,10.00,000,991.21,0.00,0.0,24.7,96,29.77,24.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-21-2019,07:00:00,24.3,1005.05,11.00,270,995.69,0.00,3.7,25.2,95,30.42,24.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-21-2019,07:00:00,23.2,1005.78,10.00,180,984.03,0.00,7.4,25.6,87,28.51,25.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,35.20,08-21-2019,07:00:00,24.0,1005.17,10.00,000,987.62,35.20,0.0,25.5,92,29.91,25.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,19.90,08-21-2019,07:00:00,24.3,1006.29,10.00,000,990.36,0.00,0.0,25.0,96,30.32,24.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-21-2019,07:00:00,23.7,1004.87,8.00,210,985.97,0.00,5.6,26.0,87,29.23,25.3
