WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,MeanSeaLevelPressure,Rainfall,LandVisibility,WindSpeed,DewPoint,Rainfall24Hr,VaporPressure,StationPressure,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-21-2019,10:00:00,000,1004.83,0.00,10.00,0.0,25.1,2.70,31.81,974.30,79,29.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-21-2019,10:00:00,110,1003.96,0.00,8.00,14.8,18.9,15.90,21.87,843.33,99,19.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-21-2019,10:00:00,000,1005.35,0.00,10.00,0.0,23.6,4.40,29.09,962.11,78,27.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-21-2019,10:00:00,000,1005.55,0.00,15.00,0.0,24.1,5.50,30.02,960.30,84,27.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-21-2019,10:00:00,000,1007.00,0.00,12.00,0.0,23.8,65.60,29.41,969.22,96,24.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-21-2019,10:00:00,000,1005.80,0.70,7.00,0.0,25.1,9.20,31.79,960.90,92,26.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-21-2019,10:00:00,000,1007.18,1.30,8.00,0.0,23.4,21.40,28.75,980.38,89,25.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-21-2019,10:00:00,280,1005.40,0.00,18.00,20.4,22.5,0.30,27.26,983.91,65,29.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-21-2019,10:00:00,000,1006.04,0.00,8.00,0.0,22.9,0.30,27.83,982.18,70,29.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-21-2019,10:00:00,000,1005.45,0.00,10.00,0.0,24.0,0.30,29.87,971.27,77,28.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-21-2019,10:00:00,000,1005.77,0.00,10.00,0.0,24.9,47.30,31.54,978.48,81,28.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-21-2019,10:00:00,000,1004.60,0.00,12.00,0.0,25.0,2.80,31.72,971.54,75,30.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-21-2019,10:00:00,240,1005.30,0.00,15.00,11.1,24.9,0.20,31.41,986.98,78,29.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-21-2019,10:00:00,310,1006.68,5.80,5.00,7.4,23.5,90.00,29.00,983.77,92,25.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-21-2019,10:00:00,010,1006.54,0.60,6.00,3.7,22.8,61.50,27.70,976.55,88,25.0
