WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,AirTemperature,StationPressure,Rainfall,WindDirection,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.3,08-22-2019,01:00:00,7.90,25.3,975.16,0.01,000,0.0,6.00,1006.12,94,30.34
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.9,08-22-2019,01:00:00,1.20,18.1,843.15,0.00,300,3.7,6.00,1004.33,99,20.54
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.5,08-22-2019,01:00:00,7.10,25.4,962.32,0.00,000,0.0,10.00,1005.92,89,28.93
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.5,08-22-2019,01:00:00,0.60,24.5,960.48,0.00,000,0.0,12.00,1006.12,94,28.89
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.3,08-22-2019,01:00:00,4.20,25.0,968.85,4.20,000,0.0,6.00,1006.56,96,30.32
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,08-22-2019,01:00:00,4.20,25.6,960.99,0.00,160,9.3,7.00,1006.03,88,29.03
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.0,08-22-2019,01:00:00,23.90,24.9,980.50,3.20,000,0.0,6.00,1007.34,95,29.87
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.6,08-22-2019,01:00:00,0.00,25.8,984.54,0.00,120,3.7,16.00,1006.32,93,31.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.2,08-22-2019,01:00:00,0.30,25.2,981.78,0.00,000,0.0,6.00,1005.94,94,30.15
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.9,08-22-2019,01:00:00,3.00,25.4,971.97,0.00,000,0.0,10.00,1006.53,92,29.72
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.2,08-22-2019,01:00:00,54.00,25.6,978.73,0.00,000,0.0,10.00,1006.30,97,31.98
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.8,08-22-2019,01:00:00,2.80,25.4,972.22,0.00,000,0.0,10.00,1005.82,97,31.33
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.1,08-22-2019,01:00:00,13.10,25.0,987.63,6.10,000,0.0,3.00,1006.21,95,30.05
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.0,08-22-2019,01:00:00,107.30,24.6,983.90,24.60,000,0.0,6.00,1006.85,97,29.85
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.3,08-22-2019,01:00:00,57.30,24.5,976.54,11.90,000,0.0,5.00,1006.59,93,28.63
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.7,08-22-2019,01:00:00,0.80,25.7,971.38,0.00,000,0.0,7.00,1006.93,94,31.08
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.1,08-22-2019,01:00:00,24.40,24.3,976.21,0.00,000,0.0,10.00,1006.09,99,30.10
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.0,08-22-2019,01:00:00,11.80,25.5,999.06,0.01,000,0.0,7.00,1006.40,92,29.91
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.5,08-22-2019,01:00:00,76.60,26.5,986.22,0.00,000,0.0,11.00,1006.12,94,32.63
48353,LOEI,เลย,เลย,17.45000,101.73333,24.1,08-22-2019,01:00:00,13.70,25.0,977.59,0.00,000,0.0,10.00,1006.37,95,30.05
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.2,08-22-2019,01:00:00,66.70,26.2,986.13,2.80,230,3.7,3.00,1006.33,94,32.04
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.0,08-22-2019,01:00:00,25.50,24.2,985.37,0.50,000,0.0,10.00,1007.29,93,28.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.4,08-22-2019,01:00:00,10.30,24.0,986.51,3.50,000,0.0,10.00,1006.16,97,28.78
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.1,08-22-2019,01:00:00,19.30,24.1,990.27,16.40,000,0.0,7.00,1007.17,94,28.19
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.6,08-22-2019,01:00:00,10.80,23.6,989.34,7.10,000,0.0,5.00,1006.93,94,27.33
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.3,08-22-2019,01:00:00,0.80,26.0,979.51,0.40,000,0.0,10.00,1005.31,96,32.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.5,08-22-2019,01:00:00,52.20,25.8,1000.36,0.40,000,0.0,8.00,1006.16,98,32.65
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.1,08-22-2019,01:00:00,53.80,24.3,1000.08,0.20,000,0.0,7.00,1006.32,99,30.10
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.8,08-22-2019,01:00:00,2.50,24.5,990.51,2.50,000,0.0,8.00,1007.08,96,29.41
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.8,08-22-2019,01:00:00,0.40,25.0,982.91,0.00,210,5.6,10.00,1005.33,88,27.70
